,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Knights vs Roosters,2014
1,Interchange - Sin Bin Return,Nene Macdonald,,,,Roosters,80:00,Knights vs Roosters,2014
2,Conversion-Made,Tyrone Roberts,,,16-12,Knights,80:00,Knights vs Roosters,2014
3,Try,Joseph Leilua,,,14-12,Knights,79:18,Knights vs Roosters,2014
4,Line Dropout,James Maloney,,,,Roosters,78:18,Knights vs Roosters,2014
5,Penalty - Punching,Jake Friend,,,,Roosters,76:29,Knights vs Roosters,2014
6,Conversion-Made,James Maloney,,,10-12,Roosters,73:06,Knights vs Roosters,2014
7,Try,Frank-Paul Nuuausala,,,10-10,Roosters,71:56,Knights vs Roosters,2014
8,Kick Bomb,Mitchell Pearce,,,,Roosters,68:45,Knights vs Roosters,2014
9,Kick Bomb,Tyrone Roberts,,,,Knights,67:46,Knights vs Roosters,2014
10,Conversion-Missed,Dane Gagai,,,,Knights,66:20,Knights vs Roosters,2014
11,Try,Tyrone Roberts,,,10-6,Knights,64:33,Knights vs Roosters,2014
12,Linebreak,Willie Mason,,,,Knights,64:24,Knights vs Roosters,2014
13,Conversion-Made,Dane Gagai,,,6-6,Knights,61:17,Knights vs Roosters,2014
14,Interchange,,,,,Roosters,59:36,Knights vs Roosters,2014
15,Sin Bin,Jared Waerea-Hargreaves,,,,Roosters,59:36,Knights vs Roosters,2014
16,Penalty - Verbal Dissent,Jared Waerea-Hargreaves,,,,Roosters,59:36,Knights vs Roosters,2014
17,Try,Tyrone Roberts,,,4-6,Knights,59:32,Knights vs Roosters,2014
18,Linebreak,Beau Scott,,,,Knights,59:30,Knights vs Roosters,2014
19,Penalty - Offside General,Sonny Bill Williams,,,,Roosters,55:30,Knights vs Roosters,2014
20,Kick Bomb,James Maloney,,,,Roosters,54:35,Knights vs Roosters,2014
21,Penalty - Ball Strip,Isaac Liu,,,,Roosters,51:27,Knights vs Roosters,2014
22,Kick Bomb,Tyrone Roberts,,,,Knights,49:49,Knights vs Roosters,2014
23,Penalty - Offside inside 10m,Jake Friend,,,,Roosters,48:30,Knights vs Roosters,2014
24,Interchange - Sin Bin Return,Shaun Kenny-Dowall,,,,Roosters,48:11,Knights vs Roosters,2014
25,Penalty - Offside Downtown,Tyrone Roberts,,,,Knights,46:47,Knights vs Roosters,2014
26,Kick Bomb,James Maloney,,,,Roosters,41:31,Knights vs Roosters,2014
27,Penalty - 2nd Effort,Sonny Bill Williams,,,,Roosters,36:40,Knights vs Roosters,2014
28,Kick Bomb,Mitchell Pearce,,,,Roosters,34:32,Knights vs Roosters,2014
29,Interchange - Sin Bin Return,Roger Tuivasa-Sheck,,,,Roosters,28:45,Knights vs Roosters,2014
30,Linebreak,Boyd Cordner,,,,Roosters,27:38,Knights vs Roosters,2014
31,Line Dropout,James Maloney,,,,Roosters,25:45,Knights vs Roosters,2014
32,Kick Bomb,Jarrod Mullen,,,,Knights,24:45,Knights vs Roosters,2014
33,Interchange - Sin Bin Return,Aidan Guerra,,,,Roosters,23:24,Knights vs Roosters,2014
34,Penalty - Crowding,Beau Scott,,,,Knights,21:57,Knights vs Roosters,2014
35,Line Dropout,Jarrod Mullen,,,,Knights,21:30,Knights vs Roosters,2014
36,Penalty - 2nd Effort,Tyrone Roberts,,,,Knights,19:29,Knights vs Roosters,2014
37,Interchange - Sin Bin Return,Tyrone Roberts,,,,Knights,17:36,Knights vs Roosters,2014
38,Penalty - Lying in the Ruck,Jared Waerea-Hargreaves,,,,Roosters,16:31,Knights vs Roosters,2014
39,Penalty - Offside inside 10m,Jared Waerea-Hargreaves,,,,Roosters,15:28,Knights vs Roosters,2014
40,Interchange - Sin Bin Return,James Maloney,,,,Roosters,13:55,Knights vs Roosters,2014
41,Kick Bomb,Mitchell Pearce,,,,Roosters,08:51,Knights vs Roosters,2014
42,Interchange - Sin Bin Return,Kade Snowden,,,,Knights,05:05,Knights vs Roosters,2014
43,Penalty - Holding Down,Jared Waerea-Hargreaves,,,,Roosters,04:14,Knights vs Roosters,2014
44,Conversion-Made,James Maloney,,,0-6,Roosters,02:49,Knights vs Roosters,2014
45,Try,Anthony Minichiello,,,0-4,Roosters,01:46,Knights vs Roosters,2014
46,Penalty - Dangerous Tackle,Willie Mason,,,,Knights,00:24,Knights vs Roosters,2014
47,KICK OFF,,,,,,00:00,Knights vs Roosters,2014
