,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Rabbitohs vs Knights,2014
1,Interchange - Sin Bin Return,Kirisome Auva'a,,,,Rabbitohs,78:53,Rabbitohs vs Knights,2014
2,Penalty - Ball Strip,Jake Mamo,,,,Knights,76:11,Rabbitohs vs Knights,2014
3,Conversion-Missed,Issac Luke,,,,Rabbitohs,75:29,Rabbitohs vs Knights,2014
4,Try,Kirisome Auva'a,,,50-10,Rabbitohs,74:11,Rabbitohs vs Knights,2014
5,Linebreak,Dylan Walker,,,,Rabbitohs,74:05,Rabbitohs vs Knights,2014
6,Conversion-Missed,Adam Reynolds,,,,Rabbitohs,73:04,Rabbitohs vs Knights,2014
7,Try,Alex Johnston,,,46-10,Rabbitohs,71:20,Rabbitohs vs Knights,2014
8,Linebreak,Alex Johnston,,,,Rabbitohs,71:19,Rabbitohs vs Knights,2014
9,Interchange - Sin Bin Return,Jake Mamo,,,,Knights,70:22,Rabbitohs vs Knights,2014
10,Penalty - Dangerous Tackle,Alex Johnston,,,,Rabbitohs,67:21,Rabbitohs vs Knights,2014
11,Kick Bomb,Luke Keary,,,,Rabbitohs,67:17,Rabbitohs vs Knights,2014
12,Line Dropout,Tyrone Roberts,,,,Knights,64:23,Rabbitohs vs Knights,2014
13,Kick Bomb,Adam Reynolds,,,,Rabbitohs,63:59,Rabbitohs vs Knights,2014
14,Conversion-Made,Adam Reynolds,,,42-10,Rabbitohs,62:37,Rabbitohs vs Knights,2014
15,Try,Alex Johnston,,,40-10,Rabbitohs,61:03,Rabbitohs vs Knights,2014
16,Interchange - Sin Bin Return,Beau Scott,,,,Knights,60:50,Rabbitohs vs Knights,2014
17,Line Dropout,Adam Reynolds,,,,Rabbitohs,60:26,Rabbitohs vs Knights,2014
18,Conversion-Missed,Adam Reynolds,,,,Rabbitohs,56:53,Rabbitohs vs Knights,2014
19,Try,Alex Johnston,,,36-10,Rabbitohs,55:06,Rabbitohs vs Knights,2014
20,Linebreak,Alex Johnston,,,,Rabbitohs,55:02,Rabbitohs vs Knights,2014
21,Kick Bomb,Greg Inglis,,,,Rabbitohs,54:26,Rabbitohs vs Knights,2014
22,Conversion-Made,Kurt Gidley,,,32-10,Knights,52:23,Rabbitohs vs Knights,2014
23,Try,Adam Clydsdale,,,32-8,Knights,51:33,Rabbitohs vs Knights,2014
24,Linebreak,Adam Clydsdale,,,,Knights,51:33,Rabbitohs vs Knights,2014
25,Penalties - Other,Dylan Walker,,,,Rabbitohs,50:34,Rabbitohs vs Knights,2014
26,Conversion-Missed,Kurt Gidley,,,,Knights,50:01,Rabbitohs vs Knights,2014
27,Try,Jake Mamo,,,32-4,Knights,48:55,Rabbitohs vs Knights,2014
28,Linebreak,Jake Mamo,,,,Knights,48:55,Rabbitohs vs Knights,2014
29,Line Dropout,Adam Reynolds,,,,Rabbitohs,48:20,Rabbitohs vs Knights,2014
30,Penalty - Offside inside 10m,Jason Clark,,,,Rabbitohs,46:40,Rabbitohs vs Knights,2014
31,Penalty - Ball Strip,Thomas Burgess,,,,Rabbitohs,46:31,Rabbitohs vs Knights,2014
32,Penalty - Holding Down,Kirisome Auva'a,,,,Rabbitohs,45:19,Rabbitohs vs Knights,2014
33,Interchange - Sin Bin Return,Jason Clark,,,,Rabbitohs,44:36,Rabbitohs vs Knights,2014
34,Conversion-Made,Adam Reynolds,,,32-0,Rabbitohs,43:14,Rabbitohs vs Knights,2014
35,Try,Greg Inglis,,,30-0,Rabbitohs,41:35,Rabbitohs vs Knights,2014
36,Linebreak,Greg Inglis,,,,Rabbitohs,41:35,Rabbitohs vs Knights,2014
37,Penalty - Dangerous Tackle,Robbie Rochow,,,,Knights,40:26,Rabbitohs vs Knights,2014
38,Conversion-Made,Adam Reynolds,,,26-0,Rabbitohs,38:58,Rabbitohs vs Knights,2014
39,Try,Chris McQueen,,,24-0,Rabbitohs,37:18,Rabbitohs vs Knights,2014
40,Linebreak,Chris McQueen,,,,Rabbitohs,37:18,Rabbitohs vs Knights,2014
41,40/20 Kick,Adam Reynolds,,,,Rabbitohs,36:43,Rabbitohs vs Knights,2014
42,Conversion-Made,Adam Reynolds,,,20-0,Rabbitohs,33:35,Rabbitohs vs Knights,2014
43,Try,Dylan Walker,,,18-0,Rabbitohs,32:26,Rabbitohs vs Knights,2014
44,Kick Bomb,Tyrone Roberts,,,,Knights,31:27,Rabbitohs vs Knights,2014
45,Kick Bomb,Adam Reynolds,,,,Rabbitohs,30:34,Rabbitohs vs Knights,2014
46,Conversion-Made,Adam Reynolds,,,14-0,Rabbitohs,29:15,Rabbitohs vs Knights,2014
47,Try,Thomas Burgess,,,12-0,Rabbitohs,27:39,Rabbitohs vs Knights,2014
48,Linebreak,Thomas Burgess,,,,Rabbitohs,27:39,Rabbitohs vs Knights,2014
49,Penalty - Ball Strip,Adam Clydsdale,,,,Knights,26:55,Rabbitohs vs Knights,2014
50,Penalty - Marker Not Square,Korbin Sims,,,,Knights,26:04,Rabbitohs vs Knights,2014
51,Linebreak,Alex Johnston,,,,Rabbitohs,24:12,Rabbitohs vs Knights,2014
52,Conversion-Missed,Adam Reynolds,,,,Rabbitohs,21:56,Rabbitohs vs Knights,2014
53,Try,Lote Tuqiri,,,8-0,Rabbitohs,20:12,Rabbitohs vs Knights,2014
54,Linebreak,Lote Tuqiri,,,,Rabbitohs,20:10,Rabbitohs vs Knights,2014
