,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Josh
                
                  Hoffman",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,17.0,,15.0,144.0,35,,55.0,1,-,1,-,2,-,-,-,2,15,-,,1,1,9,23.0,0.6,,33.3%,1.0,2,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,22,2014-08-08T09:45:00Z,Broncos vs Bulldogs,2014
1,,"Daniel
                
                  Vidot",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,37.0,,15.0,186.0,-,,75.0,2,-,-,-,5,-,-,-,-,-,-,,2,-,3,20.0,0.2,,66.7%,4.0,2,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,22,2014-08-08T09:45:00Z,Broncos vs Bulldogs,2014
2,,"Dale
                
                  Copley",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,21.0,,9.0,109.0,14,,36.0,1,-,-,-,2,1,-,-,-,-,-,,-,-,1,11.0,0.11,,80%,4.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,22,2014-08-08T09:45:00Z,Broncos vs Bulldogs,2014
3,,"Jack
                
                  Reed",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,25.0,,3.0,22.0,-,,6.0,-,2,1,-,-,1,-,-,-,-,-,,-,1,4,9.0,1.33,,82.4%,14.0,1,2,-,-,,1,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,22,2014-08-08T09:45:00Z,Broncos vs Bulldogs,2014
4,,"Lachlan
                
                  Maranta",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,3.0,,8.0,69.0,35,,20.0,-,-,-,-,-,-,-,-,1,9,-,,-,-,2,11.0,0.25,,100%,2.0,-,-,-,4,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,22,2014-08-08T09:45:00Z,Broncos vs Bulldogs,2014
5,,"Ben
                
                  Barba",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,37.0,,6.0,35.0,-,,18.0,-,-,-,-,3,-,-,-,1,6,-,,1,3,24,39.0,4,,73.3%,11.0,2,2,-,-,,7,129,-,3,2,-,-,-,,-,-,-,3,-,-,-,,80:00,-,Broncos,22,2014-08-08T09:45:00Z,Broncos vs Bulldogs,2014
6,,"Ben
                
                  Hunt",7.0,Halfback,,80:00,,12,2,2,3,-,50%,-,,80.0,,9.0,80.0,-,,8.0,2,1,-,-,7,-,-,-,-,-,1,,1,10,30,44.0,3.33,,72.7%,16.0,4,2,-,-,,9,310,-,3,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,22,2014-08-08T09:45:00Z,Broncos vs Bulldogs,2014
7,,"Josh
                
                  McGuire",8.0,Prop,,69:00,,-,-,-,-,-,-,-,,53.0,,18.0,173.0,35,,73.0,-,1,1,-,2,15,-,-,-,-,-,,-,3,7,26.0,0.39,,97.6%,40.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,69:00,-,Broncos,22,2014-08-08T09:45:00Z,Broncos vs Bulldogs,2014
8,,"Andrew
                
                  McCullough",9.0,Hooker,,73:00,,1,-,-,-,-,-,1,,46.0,,8.0,52.0,-,,20.0,-,-,-,-,-,4,-,-,4,21,-,,-,5,103,105.0,12.88,,90.2%,37.0,2,2,-,-,,2,88,-,-,-,-,-,-,,-,-,-,-,-,-,-,,73:00,-,Broncos,22,2014-08-08T09:45:00Z,Broncos vs Bulldogs,2014
9,,"Corey
                
                  Parker",10.0,Prop,,56:00,,8,-,3,4,1,80%,-,,49.0,,19.0,189.0,13,,79.0,-,-,-,-,4,18,-,-,-,-,-,,3,1,6,24.0,0.32,,88.9%,24.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,56:00,-,Broncos,22,2014-08-08T09:45:00Z,Broncos vs Bulldogs,2014
