,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Eels vs Raiders,2014
1,Penalty - Obstruction,Anthony Milford,,,,Raiders,79:46,Eels vs Raiders,2014
2,Penalty - Offside General,Jarryd Hayne,,,,Eels,78:47,Eels vs Raiders,2014
3,Interchange - Sin Bin Return,Kenny Edwards,,,,Eels,78:46,Eels vs Raiders,2014
4,Interchange - Sin Bin Return,Anthony Milford,,,,Raiders,77:20,Eels vs Raiders,2014
5,Interchange - Sin Bin Return,Bill Tupou,,,,Raiders,76:26,Eels vs Raiders,2014
6,Kick Bomb,Chris Sandow,,,,Eels,76:22,Eels vs Raiders,2014
7,Conversion-Made,Chris Sandow,,,18-10,Eels,75:25,Eels vs Raiders,2014
8,Try,Tepai Moeroa,,,16-10,Eels,74:12,Eels vs Raiders,2014
9,Interchange - Sin Bin Return,Jordan Rapana,,,,Raiders,74:11,Eels vs Raiders,2014
10,Conversion-Made,Chris Sandow,,,12-10,Eels,72:47,Eels vs Raiders,2014
11,Try,Jarryd Hayne,,,10-10,Eels,71:13,Eels vs Raiders,2014
12,Linebreak,Jarryd Hayne,,,,Eels,71:08,Eels vs Raiders,2014
13,Interchange - Sin Bin Return,Jarryd Hayne,,,,Eels,69:35,Eels vs Raiders,2014
14,Kick Bomb,Jarryd Hayne,,,,Eels,69:29,Eels vs Raiders,2014
15,Penalty - Ball Strip,Josh McCrone,,,,Raiders,65:13,Eels vs Raiders,2014
16,Line Dropout,Anthony Milford,,,,Raiders,64:56,Eels vs Raiders,2014
17,Kick Bomb,Chris Sandow,,,,Eels,63:56,Eels vs Raiders,2014
18,Interchange - Sin Bin Return,Edrick Lee,,,,Raiders,62:21,Eels vs Raiders,2014
19,Kick Bomb,Mitchell Cornish,,,,Raiders,61:29,Eels vs Raiders,2014
20,Interchange - Sin Bin Return,Kenny Edwards,,,,Eels,59:08,Eels vs Raiders,2014
21,On Report,Junior Paulo,,,,Eels,57:06,Eels vs Raiders,2014
22,Penalty - Dangerous Tackle,Junior Paulo,,,,Eels,56:49,Eels vs Raiders,2014
23,Penalties - Other,Bureta Faraimo,,,,Eels,56:01,Eels vs Raiders,2014
24,Interchange - Sin Bin Return,Jarrod Croker,,,,Raiders,55:59,Eels vs Raiders,2014
25,Interchange - Sin Bin Return,Jordan Rapana,,,,Raiders,54:06,Eels vs Raiders,2014
26,Interchange - Sin Bin Return,Jordan Rapana,,,,Raiders,52:57,Eels vs Raiders,2014
27,Kick Bomb,Mitchell Cornish,,,,Raiders,52:52,Eels vs Raiders,2014
28,Penalty - Holding Down,Corey Norman,,,,Eels,49:47,Eels vs Raiders,2014
29,Kick Bomb,Chris Sandow,,,,Eels,49:16,Eels vs Raiders,2014
30,Interchange - Sin Bin Return,Jordan Rapana,,,,Raiders,46:05,Eels vs Raiders,2014
31,Kick Bomb,Corey Norman,,,,Eels,46:00,Eels vs Raiders,2014
32,Penalty - Pressure on Kicker,Glen Buttriss,,,,Raiders,43:05,Eels vs Raiders,2014
33,Kick Bomb,Anthony Milford,,,,Raiders,42:18,Eels vs Raiders,2014
34,Interchange - Sin Bin Return,Edrick Lee,,,,Raiders,33:11,Eels vs Raiders,2014
35,Penalty - Ball Strip,Josh McCrone,,,,Raiders,31:08,Eels vs Raiders,2014
36,Penalty - Ball Strip,Dane Tilse,,,,Raiders,30:14,Eels vs Raiders,2014
37,Kick Bomb,Josh McCrone,,,,Raiders,27:45,Eels vs Raiders,2014
38,Interchange - Sin Bin Return,Will Hopoate,,,,Eels,26:14,Eels vs Raiders,2014
39,Penalty - 2nd Effort,Anthony Milford,,,,Raiders,25:07,Eels vs Raiders,2014
40,Conversion-Made,Chris Sandow,,,6-10,Eels,23:54,Eels vs Raiders,2014
41,Try,Jarryd Hayne,,,4-10,Eels,22:21,Eels vs Raiders,2014
42,Linebreak,Semi Radradra,,,,Eels,22:17,Eels vs Raiders,2014
43,Penalty - Holding Down,Matt McIlwrick,,,,Raiders,21:14,Eels vs Raiders,2014
44,Penalty - Obstruction,Jarrad Kennedy,,,,Raiders,19:43,Eels vs Raiders,2014
45,Penalty - Offside inside 10m,Tim Mannah,,,,Eels,18:33,Eels vs Raiders,2014
46,Conversion-Missed,Jarrod Croker,,,,Raiders,17:45,Eels vs Raiders,2014
47,Try,Jarrod Croker,,,0-10,Raiders,17:08,Eels vs Raiders,2014
48,Penalty - Slow Peel,Kenny Edwards,,,,Eels,15:47,Eels vs Raiders,2014
49,Penalty - Slow Peel,Anthony Milford,,,,Raiders,13:54,Eels vs Raiders,2014
50,Conversion-Made,Jarrod Croker,,,0-6,Raiders,12:24,Eels vs Raiders,2014
51,Try,Bill Tupou,,,0-4,Raiders,10:30,Eels vs Raiders,2014
52,Linebreak,Bill Tupou,,,,Raiders,10:29,Eels vs Raiders,2014
53,Penalty - Working on the Ground,David Gower,,,,Eels,08:35,Eels vs Raiders,2014
54,Penalty - Leg Pull,Jarrad Kennedy,,,,Raiders,06:51,Eels vs Raiders,2014
55,Penalty - Holding Down,Isaac De Gois,,,,Eels,02:14,Eels vs Raiders,2014
56,KICK OFF,,,,,,00:00,Eels vs Raiders,2014
