,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Greg
                
                  Inglis",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,24.0,,19.0,201.0,49,,61.0,1,1,-,-,3,4,-,-,-,-,-,,-,-,15,32.0,0.79,,100%,7.0,-,-,-,8,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Rabbitohs,22,2014-08-08T09:45:00Z,Rabbitohs vs Sea Eagles,2014
1,,"Alex
                
                  Johnston",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,16.0,,9.0,90.0,13,,24.0,-,-,-,-,1,-,-,-,1,11,-,,-,-,1,11.0,0.11,,83.3%,5.0,1,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,22,2014-08-08T09:45:00Z,Rabbitohs vs Sea Eagles,2014
2,,"Dylan
                
                  Walker",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,15.0,,9.0,74.0,-,,22.0,-,-,-,-,1,3,-,-,-,-,-,,-,-,15,20.0,1.67,,91.7%,11.0,1,-,-,-,,3,27,1,-,2,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,22,2014-08-08T09:45:00Z,Rabbitohs vs Sea Eagles,2014
3,,"Kirisome
                
                  Auva'a",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,56.0,,9.0,101.0,-,,34.0,2,-,1,-,4,2,-,-,1,2,-,,1,-,3,14.0,0.33,,95.5%,21.0,1,-,-,-,,1,9,-,-,-,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Rabbitohs,22,2014-08-08T09:45:00Z,Rabbitohs vs Sea Eagles,2014
4,,"Lote
                
                  Tuqiri",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,11.0,,11.0,188.0,14,,52.0,-,-,-,-,2,1,-,-,1,7,-,,-,1,3,15.0,0.27,,80%,4.0,1,-,-,1,,1,21,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,22,2014-08-08T09:45:00Z,Rabbitohs vs Sea Eagles,2014
5,,"Luke
                
                  Keary",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,37.0,,4.0,29.0,-,,8.0,-,-,-,-,-,-,-,-,-,-,-,,-,4,34,42.0,8.5,,100%,33.0,-,-,-,-,,5,90,-,1,1,-,1,-,,-,-,-,1,-,-,-,,80:00,-,Rabbitohs,22,2014-08-08T09:45:00Z,Rabbitohs vs Sea Eagles,2014
6,,"Adam
                
                  Reynolds",7.0,Halfback,,80:00,,7,-,3,4,-,75%,1,,64.0,,8.0,61.0,-,,18.0,-,1,1,-,3,-,-,-,1,10,-,,-,5,36,58.0,4.5,,95.5%,21.0,-,1,-,-,,13,303,2,3,4,-,2,-,,-,1,-,-,-,-,-,,80:00,-,Rabbitohs,22,2014-08-08T09:45:00Z,Rabbitohs vs Sea Eagles,2014
7,,"George
                
                  Burgess",8.0,Prop,,47:00,,-,-,-,-,-,-,-,,38.0,,14.0,117.0,-,,51.0,-,-,-,-,3,14,-,-,-,-,-,,-,-,-,14.0,-,,96.6%,28.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,47:00,-,Rabbitohs,22,2014-08-08T09:45:00Z,Rabbitohs vs Sea Eagles,2014
8,,"Issac
                
                  Luke",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,53.0,,15.0,129.0,4,,55.0,-,2,2,-,3,1,-,-,11,108,-,,2,3,90,103.0,6,,86.7%,26.0,4,-,-,2,,1,45,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,22,2014-08-08T09:45:00Z,Rabbitohs vs Sea Eagles,2014
9,,"David
                
                  Tyrrell",10.0,Prop,,33:00,,-,-,-,-,-,-,-,,20.0,,6.0,54.0,26,,13.0,-,-,-,-,-,4,-,-,-,-,-,,-,-,-,6.0,-,,100%,19.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,33:00,-,Rabbitohs,22,2014-08-08T09:45:00Z,Rabbitohs vs Sea Eagles,2014
