,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Warriors vs Sharks,2014
1,Penalty Shot-Missed,Chad Townsend,,,,Warriors,75:28,Warriors vs Sharks,2014
2,On Report,Tupou Sopoaga,,,,Sharks,74:38,Warriors vs Sharks,2014
3,Penalty - Dangerous Tackle,Tupou Sopoaga,,,,Sharks,74:33,Warriors vs Sharks,2014
4,Interchange - Sin Bin Return,Tupou Sopoaga,,,,Sharks,73:33,Warriors vs Sharks,2014
5,Linebreak,Michael Lichaa,,,,Sharks,73:08,Warriors vs Sharks,2014
6,Interchange - Sin Bin Return,Chris Heighington,,,,Sharks,66:45,Warriors vs Sharks,2014
7,Line Dropout,Sam Tomkins,,,,Warriors,66:41,Warriors vs Sharks,2014
8,Interchange - Sin Bin Return,Sione Lousi,,,,Warriors,64:27,Warriors vs Sharks,2014
9,Interchange - Sin Bin Return,Jacob Lillyman,,,,Warriors,63:35,Warriors vs Sharks,2014
10,Penalty - Dangerous Tackle,Chad Townsend,,,,Warriors,61:02,Warriors vs Sharks,2014
11,Conversion-Made,Michael Gordon,,,16-12,Sharks,59:46,Warriors vs Sharks,2014
12,Try,Sosaia Feki,,,16-10,Sharks,57:57,Warriors vs Sharks,2014
13,Linebreak,Jonathan Wright,,,,Sharks,57:37,Warriors vs Sharks,2014
14,Penalty - Ball Strip,Sebastine Ikahihifo,,,,Warriors,56:23,Warriors vs Sharks,2014
15,Interchange - Sin Bin Return,Valentine Holmes,,,,Sharks,54:26,Warriors vs Sharks,2014
16,Line Dropout,Sam Tomkins,,,,Warriors,54:03,Warriors vs Sharks,2014
17,Penalty - Marker Not Square,Sebastine Ikahihifo,,,,Warriors,51:54,Warriors vs Sharks,2014
18,Interchange - Sin Bin Return,Valentine Holmes,,,,Sharks,50:16,Warriors vs Sharks,2014
19,On Report,Sam Tagataese,,,,Sharks,49:03,Warriors vs Sharks,2014
20,Penalty - Dangerous Tackle,Sam Tagataese,,,,Sharks,49:03,Warriors vs Sharks,2014
21,Interchange - Sin Bin Return,Valentine Holmes,,,,Sharks,48:34,Warriors vs Sharks,2014
22,Interchange - Sin Bin Return,Sam Tomkins,,,,Warriors,48:04,Warriors vs Sharks,2014
23,Kick Bomb,Jeff Robson,,,,Sharks,47:21,Warriors vs Sharks,2014
24,Interchange - Sin Bin Return,Sam Rapira,,,,Warriors,43:15,Warriors vs Sharks,2014
25,Interchange - Sin Bin Return,Michael Gordon,,,,Sharks,40:58,Warriors vs Sharks,2014
26,Kick Bomb,Jeff Robson,,,,Sharks,40:54,Warriors vs Sharks,2014
27,Interchange - Sin Bin Return,Sam Rapira,,,,Warriors,35:39,Warriors vs Sharks,2014
28,Interchange - Sin Bin Return,Junior Roqica,,,,Sharks,34:42,Warriors vs Sharks,2014
29,Penalties - Other,Michael Gordon,,,,Sharks,31:28,Warriors vs Sharks,2014
30,Conversion-Missed,Chad Townsend,,,,Warriors,30:54,Warriors vs Sharks,2014
31,Try,Manu Vatuvei,,,16-6,Warriors,29:25,Warriors vs Sharks,2014
32,Linebreak,Manu Vatuvei,,,,Warriors,29:25,Warriors vs Sharks,2014
33,Penalty - Shoulder Charge,Ricky Leutele,,,,Sharks,28:27,Warriors vs Sharks,2014
34,Kick Bomb,Chad Townsend,,,,Warriors,28:21,Warriors vs Sharks,2014
35,Kick Bomb,Chad Townsend,,,,Warriors,26:44,Warriors vs Sharks,2014
36,Conversion-Made,Chad Townsend,,,12-6,Warriors,25:30,Warriors vs Sharks,2014
37,Try,Ngani Laumape,,,10-6,Warriors,23:37,Warriors vs Sharks,2014
38,Linebreak,Ngani Laumape,,,,Warriors,23:37,Warriors vs Sharks,2014
39,Line Dropout,Fa'amanu Brown,,,,Sharks,23:07,Warriors vs Sharks,2014
40,Penalty - Marker Not Square,Jeff Robson,,,,Sharks,21:11,Warriors vs Sharks,2014
41,Penalty - 2nd Effort,Andrew Fifita,,,,Sharks,20:01,Warriors vs Sharks,2014
42,Penalty - Holding Down,Andrew Fifita,,,,Sharks,19:11,Warriors vs Sharks,2014
43,Line Dropout,Fa'amanu Brown,,,,Sharks,18:49,Warriors vs Sharks,2014
44,Interchange - Sin Bin Return,Dane Nielsen,,,,Warriors,16:20,Warriors vs Sharks,2014
45,Kick Bomb,Chad Townsend,,,,Warriors,16:17,Warriors vs Sharks,2014
46,Conversion-Made,Michael Gordon,,,6-6,Sharks,14:07,Warriors vs Sharks,2014
47,Try,Tinirau Arona,,,6-4,Sharks,12:58,Warriors vs Sharks,2014
48,Linebreak,Chris Heighington,,,,Sharks,12:38,Warriors vs Sharks,2014
49,Line Dropout,Sam Tomkins,,,,Warriors,12:01,Warriors vs Sharks,2014
50,Penalty - Offside Downtown,Chad Townsend,,,,Warriors,09:26,Warriors vs Sharks,2014
51,Conversion-Made,Chad Townsend,,,6-0,Warriors,08:05,Warriors vs Sharks,2014
52,Try,Ngani Laumape,,,4-0,Warriors,06:22,Warriors vs Sharks,2014
53,Linebreak,Ngani Laumape,,,,Warriors,06:22,Warriors vs Sharks,2014
54,Penalty - Leg Pull,Andrew Fifita,,,,Sharks,05:36,Warriors vs Sharks,2014
55,Line Dropout,Fa'amanu Brown,,,,Sharks,04:52,Warriors vs Sharks,2014
56,Line Dropout,Fa'amanu Brown,,,,Sharks,03:17,Warriors vs Sharks,2014
57,KICK OFF,,,,,,00:00,Warriors vs Sharks,2014
