,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Greg
                
                  Inglis",1.0,Fullback,,80:00,,12,3,-,-,-,-,-,,58.0,,15.0,146.0,59,,45.0,1,-,1,-,5,1,-,-,2,26,-,,-,1,12,27.0,0.8,,90%,9.0,1,-,-,5,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,23,2014-08-14T09:45:00Z,Rabbitohs vs Broncos,2014
1,,"Alex
                
                  Johnston",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,5.0,,6.0,56.0,8,,29.0,-,-,-,-,-,-,-,-,1,11,-,,1,-,2,9.0,0.33,,100%,2.0,-,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,23,2014-08-14T09:45:00Z,Rabbitohs vs Broncos,2014
2,,"Dylan
                
                  Walker",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,47.0,,12.0,220.0,-,,48.0,1,1,1,-,6,-,-,-,3,92,-,,1,1,7,17.0,0.58,,84.2%,16.0,2,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,23,2014-08-14T09:45:00Z,Rabbitohs vs Broncos,2014
3,,"Kirisome
                
                  Auva'a",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,24.0,,9.0,113.0,-,,39.0,-,-,-,-,1,-,-,-,-,-,-,,-,-,3,10.0,0.33,,81%,17.0,4,-,-,-,,1,-,-,-,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Rabbitohs,23,2014-08-14T09:45:00Z,Rabbitohs vs Broncos,2014
4,,"Lote
                
                  Tuqiri",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,24.0,,4.0,48.0,-,,21.0,-,-,-,-,2,-,-,-,-,-,-,,-,-,2,7.0,0.5,,100%,10.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,23,2014-08-14T09:45:00Z,Rabbitohs vs Broncos,2014
5,,"Luke
                
                  Keary",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,36.0,,6.0,46.0,8,,13.0,-,-,-,-,-,-,-,-,-,-,-,,-,4,27,36.0,4.5,,84.6%,22.0,2,2,-,-,,3,99,1,-,-,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,23,2014-08-14T09:45:00Z,Rabbitohs vs Broncos,2014
6,,"Adam
                
                  Reynolds",7.0,Halfback,,80:00,,12,-,6,6,-,100%,-,,63.0,,4.0,30.0,-,,11.0,-,-,1,-,1,-,-,-,-,-,-,,1,1,24,42.0,6,,100%,24.0,-,-,-,-,,13,349,-,4,1,-,3,1,,-,-,-,1,-,-,-,,80:00,-,Rabbitohs,23,2014-08-14T09:45:00Z,Rabbitohs vs Broncos,2014
7,,"Luke
                
                  Burgess",17.0,Prop,,24:00,,-,-,-,-,-,-,-,,24.0,,6.0,53.0,6,,22.0,-,-,-,-,1,5,-,-,-,-,-,,-,-,2,8.0,0.33,,100%,20.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,24:00,-,Rabbitohs,23,2014-08-14T09:45:00Z,Rabbitohs vs Broncos,2014
8,,"Issac
                
                  Luke",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,56.0,,13.0,139.0,-,,31.0,1,2,2,-,3,1,-,-,11,130,-,,1,2,97,105.0,7.46,,82.9%,29.0,4,2,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Rabbitohs,23,2014-08-14T09:45:00Z,Rabbitohs vs Broncos,2014
9,,"David
                
                  Tyrrell",10.0,Prop,,36:00,,-,-,-,-,-,-,-,,26.0,,8.0,73.0,19,,20.0,-,-,-,-,-,7,-,-,-,-,-,,-,-,-,8.0,-,,92%,23.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,36:00,-,Rabbitohs,23,2014-08-14T09:45:00Z,Rabbitohs vs Broncos,2014
