,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Dragons vs Titans,2014
1,Penalty - 2nd Effort,Trent Merrin,,,,Dragons,79:46,Dragons vs Titans,2014
2,Penalty - 2nd Effort,Luke Bailey,,,,Titans,78:26,Dragons vs Titans,2014
3,Line Dropout,Aidan Sezer,,,,Titans,78:07,Dragons vs Titans,2014
4,Interchange - Sin Bin Return,Will Matthews,,,,Dragons,73:14,Dragons vs Titans,2014
5,Line Dropout,Aidan Sezer,,,,Titans,72:37,Dragons vs Titans,2014
6,Interchange - Sin Bin Return,Kalifa Faifai Loa,,,,Titans,69:55,Dragons vs Titans,2014
7,Conversion-Made,Aidan Sezer,,,34-6,Titans,67:44,Dragons vs Titans,2014
8,Try,Anthony Don,,,34-4,Titans,66:36,Dragons vs Titans,2014
9,Linebreak,Anthony Don,,,,Titans,66:36,Dragons vs Titans,2014
10,Penalty - Slow Peel,Trent Merrin,,,,Dragons,65:59,Dragons vs Titans,2014
11,Penalty - Offside inside 10m,Jack de Belin,,,,Dragons,63:42,Dragons vs Titans,2014
12,Penalty - 2nd Effort,Beau Falloon,,,,Titans,62:04,Dragons vs Titans,2014
13,Conversion-Made,Gareth Widdop,,,34-0,Dragons,61:12,Dragons vs Titans,2014
14,Try,Joel Thompson,,,32-0,Dragons,59:35,Dragons vs Titans,2014
15,Linebreak,Joel Thompson,,,,Dragons,59:34,Dragons vs Titans,2014
16,Line Dropout,Gareth Widdop,,,,Dragons,55:51,Dragons vs Titans,2014
17,Interchange - Sin Bin Return,Mike Cooper,,,,Dragons,55:16,Dragons vs Titans,2014
18,Conversion-Made,Gareth Widdop,,,28-0,Dragons,54:45,Dragons vs Titans,2014
19,Try,Gerard Beale,,,26-0,Dragons,53:15,Dragons vs Titans,2014
20,Linebreak,Benji Marshall,,,,Dragons,53:11,Dragons vs Titans,2014
21,Interchange - Sin Bin Return,Anthony Don,,,,Titans,52:21,Dragons vs Titans,2014
22,Conversion-Made,Gareth Widdop,,,22-0,Dragons,50:15,Dragons vs Titans,2014
23,Try,Josh Dugan,,,20-0,Dragons,48:45,Dragons vs Titans,2014
24,Penalty - Shoulder Charge,Tyson Frizell,,,,Dragons,46:15,Dragons vs Titans,2014
25,Line Dropout,Aidan Sezer,,,,Titans,43:07,Dragons vs Titans,2014
26,Penalties - Other,Gareth Widdop,,,,Dragons,39:14,Dragons vs Titans,2014
27,Line Dropout,Aidan Sezer,,,,Titans,38:11,Dragons vs Titans,2014
28,Penalty - Slow Peel,Daniel Mortimer,,,,Titans,36:21,Dragons vs Titans,2014
29,Linebreak,Anthony Don,,,,Titans,35:11,Dragons vs Titans,2014
30,Interchange - Sin Bin Return,Brett Morris,,,,Dragons,34:22,Dragons vs Titans,2014
31,Interchange - Sin Bin Return,Maurice Blair,,,,Titans,33:03,Dragons vs Titans,2014
32,Kick Bomb,Gareth Widdop,,,,Dragons,32:35,Dragons vs Titans,2014
33,Penalty - Dangerous Tackle,Leeson Ah Mau,,,,Dragons,28:07,Dragons vs Titans,2014
34,Penalty - Holding Down,Jason Nightingale,,,,Dragons,22:56,Dragons vs Titans,2014
35,Conversion-Made,Gareth Widdop,,,16-0,Dragons,20:32,Dragons vs Titans,2014
36,Try,Jason Nightingale,,,14-0,Dragons,18:58,Dragons vs Titans,2014
37,Linebreak,Jason Nightingale,,,,Dragons,18:58,Dragons vs Titans,2014
38,Penalty - Hand in the Ruck,Mark Minichiello,,,,Titans,17:44,Dragons vs Titans,2014
39,Conversion-Missed,Gareth Widdop,,,,Dragons,15:10,Dragons vs Titans,2014
40,Try,Brett Morris,,,10-0,Dragons,13:39,Dragons vs Titans,2014
41,Kick Bomb,Aidan Sezer,,,,Titans,11:46,Dragons vs Titans,2014
42,Conversion-Made,Gareth Widdop,,,6-0,Dragons,09:53,Dragons vs Titans,2014
43,Try,Benji Marshall,,,4-0,Dragons,08:16,Dragons vs Titans,2014
44,Linebreak,Benji Marshall,,,,Dragons,08:16,Dragons vs Titans,2014
45,Line Dropout,Aidan Sezer,,,,Titans,07:38,Dragons vs Titans,2014
46,Penalty - Obstruction,Brad Takairangi,,,,Titans,05:48,Dragons vs Titans,2014
47,Linebreak,Mitch Rein,,,,Dragons,02:34,Dragons vs Titans,2014
48,Kick Bomb,Daniel Mortimer,,,,Titans,02:02,Dragons vs Titans,2014
49,Interchange - Sin Bin Return,Trent Merrin,,,,Dragons,00:51,Dragons vs Titans,2014
50,KICK OFF,,,,,,00:00,Dragons vs Titans,2014
