,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Eels vs Sea Eagles,2014
1,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,79:36,Eels vs Sea Eagles,2014
2,Conversion-Missed,Chris Sandow,,,,Eels,75:05,Eels vs Sea Eagles,2014
3,Try,Vai Toutai,,,22-12,Eels,73:17,Eels vs Sea Eagles,2014
4,Linebreak,Vai Toutai,,,,Eels,73:16,Eels vs Sea Eagles,2014
5,Eagles Interchange - Sin Bin Return,Brett Stewart,,,,Sea,72:31,Eels vs Sea Eagles,2014
6,Penalty - 2nd Effort,Tom Symonds,,,,Sea Eagles,71:12,Eels vs Sea Eagles,2014
7,Line Dropout,Chris Sandow,,,,Eels,70:26,Eels vs Sea Eagles,2014
8,On Report,Ben Smith,,,,Eels,68:47,Eels vs Sea Eagles,2014
9,Penalty - Dangerous Tackle,Ben Smith,,,,Eels,68:42,Eels vs Sea Eagles,2014
10,Penalty - Verbal Dissent,Jarryd Hayne,,,,Eels,68:12,Eels vs Sea Eagles,2014
11,Line Dropout,Jamie Lyon,,,,Sea Eagles,67:29,Eels vs Sea Eagles,2014
12,Penalty - Leg Pull,Will Hopoate,,,,Eels,60:04,Eels vs Sea Eagles,2014
13,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,59:08,Eels vs Sea Eagles,2014
14,Conversion-Made,Chris Sandow,,,18-12,Eels,56:54,Eels vs Sea Eagles,2014
15,Try,Will Hopoate,,,16-12,Eels,56:00,Eels vs Sea Eagles,2014
16,Linebreak,Will Hopoate,,,,Eels,56:00,Eels vs Sea Eagles,2014
17,40/20 Kick,Chris Sandow,,,,Eels,54:48,Eels vs Sea Eagles,2014
18,Conversion-Made,Chris Sandow,,,12-12,Eels,53:28,Eels vs Sea Eagles,2014
19,Try,Semi Radradra,,,10-12,Eels,51:59,Eels vs Sea Eagles,2014
20,Line Dropout,Jarryd Hayne,,,,Eels,50:46,Eels vs Sea Eagles,2014
21,Penalty - Flop,Jarryd Hayne,,,,Eels,48:47,Eels vs Sea Eagles,2014
22,Kick Bomb,Chris Sandow,,,,Eels,48:16,Eels vs Sea Eagles,2014
23,Conversion-Made,Chris Sandow,,,6-12,Eels,46:35,Eels vs Sea Eagles,2014
24,Try,Kenny Edwards,,,4-12,Eels,45:14,Eels vs Sea Eagles,2014
25,Linebreak,Kenny Edwards,,,,Eels,45:12,Eels vs Sea Eagles,2014
26,Linebreak,Jarryd Hayne,,,,Eels,44:58,Eels vs Sea Eagles,2014
27,Penalty - Holding Down,Steve Matai,,,,Sea Eagles,43:59,Eels vs Sea Eagles,2014
28,Penalty - Obstruction,Chris Sandow,,,,Eels,42:33,Eels vs Sea Eagles,2014
29,On Report,Jason King,,,,Sea Eagles,41:55,Eels vs Sea Eagles,2014
30,Penalty - Dangerous Tackle,Jason King,,,,Sea Eagles,41:46,Eels vs Sea Eagles,2014
31,Penalty Shot-Made,Jamie Lyon,,,0-12,Sea Eagles,38:31,Eels vs Sea Eagles,2014
32,Penalty - Offside inside 10m,Darcy Lussick,,,,Eels,37:33,Eels vs Sea Eagles,2014
33,Kick Bomb,Corey Norman,,,,Eels,36:16,Eels vs Sea Eagles,2014
34,Eagles Interchange - Sin Bin Return,Brett Stewart,,,,Sea,34:59,Eels vs Sea Eagles,2014
35,Kick Bomb,Kieran Foran,,,,Sea Eagles,31:39,Eels vs Sea Eagles,2014
36,Conversion-Missed,Jamie Lyon,,,,Sea Eagles,30:23,Eels vs Sea Eagles,2014
37,Try,Peta Hiku,,,0-10,Sea Eagles,28:54,Eels vs Sea Eagles,2014
38,Linebreak,Peta Hiku,,,,Sea Eagles,28:54,Eels vs Sea Eagles,2014
39,Interchange - Sin Bin Return,Vai Toutai,,,,Eels,28:33,Eels vs Sea Eagles,2014
40,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,28:29,Eels vs Sea Eagles,2014
41,Interchange - Sin Bin Return,Jarryd Hayne,,,,Eels,25:30,Eels vs Sea Eagles,2014
42,Penalty - Ball Strip,Steve Matai,,,,Sea Eagles,24:10,Eels vs Sea Eagles,2014
43,Penalty - Holding Down,Daly Cherry-Evans,,,,Sea Eagles,21:03,Eels vs Sea Eagles,2014
44,Penalty - 2nd Effort,Jesse Sene-Lefao,,,,Sea Eagles,18:36,Eels vs Sea Eagles,2014
45,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,16:20,Eels vs Sea Eagles,2014
46,Penalty - 2nd Effort,Jamie Lyon,,,,Sea Eagles,14:13,Eels vs Sea Eagles,2014
47,Linebreak,Tom Symonds,,,,Sea Eagles,12:48,Eels vs Sea Eagles,2014
48,Eagles Interchange - Sin Bin Return,Jamie Buhrer,,,,Sea,10:16,Eels vs Sea Eagles,2014
49,Line Dropout,Chris Sandow,,,,Eels,09:42,Eels vs Sea Eagles,2014
50,Penalty - Holding Down,Junior Paulo,,,,Eels,07:32,Eels vs Sea Eagles,2014
51,Conversion-Made,Jamie Lyon,,,0-6,Sea Eagles,04:17,Eels vs Sea Eagles,2014
52,Try,Jorge Taufua,,,0-4,Sea Eagles,02:34,Eels vs Sea Eagles,2014
53,Linebreak,Jorge Taufua,,,,Sea Eagles,02:34,Eels vs Sea Eagles,2014
54,Penalty - Hand in the Ruck,Isaac De Gois,,,,Eels,01:26,Eels vs Sea Eagles,2014
55,KICK OFF,,,,,,00:00,Eels vs Sea Eagles,2014
