,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Sam
                
                  Tomkins",1.0,Fullback,,38:00,,4,1,-,-,-,-,-,,41,,12.0,96.0,5,,30.0,-,1,1,-,6,-,-,-,2,27,-,,1,-,24,40.0,2,,33.3%,1,2,-,-,4,,7,139,-,2,2,-,1,-,,-,-,-,-,-,-,-,,38:00,-,Warriors,24,2014-08-24T02:00:00Z,Warriors vs Roosters,2014
1,,"David
                
                  Fusitu'a",2.0,Winger,,04:00,,-,-,-,-,-,-,-,,-,,1.0,10.0,-,,2.0,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,1.0,-,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,04:00,-,Warriors,24,2014-08-24T02:00:00Z,Warriors vs Roosters,2014
2,,"Konrad
                
                  Hurrell",3.0,Centre,,75:00,,-,-,-,-,-,-,-,,16,,8.0,75.0,-,,38.0,-,-,-,-,3,2,-,-,-,-,-,,-,-,2,9.0,0.25,,69.2%,9,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,75:00,-,Warriors,24,2014-08-24T02:00:00Z,Warriors vs Roosters,2014
3,,"Ngani
                
                  Laumape",4.0,Centre,,78:00,,4,1,-,-,-,-,-,,26,,12.0,116.0,19,,47.0,1,-,1,-,1,1,-,-,2,16,-,,-,-,1,19.0,0.08,,75%,3,-,1,-,3,,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,-,,78:00,-,Warriors,24,2014-08-24T02:00:00Z,Warriors vs Roosters,2014
4,,"Manu
                
                  Vatuvei",5.0,Winger,,78:00,,-,-,-,-,-,-,-,,3,,11.0,89.0,-,,30.0,-,-,-,-,-,4,-,-,-,-,-,,-,-,4,16.0,0.36,,71.4%,5,2,-,1,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,78:00,-,Warriors,24,2014-08-24T02:00:00Z,Warriors vs Roosters,2014
5,,"Thomas
                
                  Leuluai",9.0,Five-Eighth,,78:00,,-,-,-,-,-,-,-,,13,,5.0,28.0,-,,8.0,-,-,-,-,2,-,-,-,-,-,-,,-,1,28,33.0,5.6,,76.9%,10,2,1,-,-,,2,10,-,1,-,-,1,-,,-,1,-,1,-,-,-,,78:00,-,Warriors,24,2014-08-24T02:00:00Z,Warriors vs Roosters,2014
6,,"Shaun
                
                  Johnson",7.0,Halfback,,78:00,,4,-,2,2,-,100%,-,,38,,6.0,32.0,-,,8.0,-,-,-,-,3,-,-,-,-,-,-,,-,2,36,45.0,6,,82.4%,14,3,-,-,-,,11,297,-,4,1,-,1,-,,-,-,-,-,-,-,-,,78:00,-,Warriors,24,2014-08-24T02:00:00Z,Warriors vs Roosters,2014
7,,"Jacob
                
                  Lillyman",8.0,Prop,,78:00,,-,-,-,-,-,-,-,,27,,19.0,145.0,32,,36.0,-,-,-,-,2,16,-,-,-,-,-,,-,-,1,20.0,0.05,,84%,21,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,78:00,-,Warriors,24,2014-08-24T02:00:00Z,Warriors vs Roosters,2014
8,,"Nathan
                
                  Friend",17.0,Hooker,,78:00,,-,-,-,-,-,-,-,,48,,7.0,47.0,-,,23.0,-,-,-,-,1,3,-,-,3,23,-,,1,2,90,94.0,12.86,,83%,44,5,4,-,1,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,78:00,-,Warriors,24,2014-08-24T02:00:00Z,Warriors vs Roosters,2014
9,,"Ben
                
                  Matulino",10.0,Prop,,60:00,,-,-,-,-,-,-,-,,37,,12.0,86.0,-,,37.0,-,-,-,-,1,12,-,-,-,-,-,,4,-,1,13.0,0.08,,84.4%,27,3,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,60:00,-,Warriors,24,2014-08-24T02:00:00Z,Warriors vs Roosters,2014
