,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Kurt
                
                  Gidley",1.0,Fullback,,80:00,,10,-,5,8,-,62.5%,-,,25.0,,11.0,87.0,21,,33.0,-,1,-,-,-,-,-,-,1,9,-,,2,-,29,44.0,2.64,,60%,6.0,3,1,-,5,,5,84,-,-,2,-,3,1,,-,2,-,-,-,-,-,,80:00,-,Knights,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
1,,"Chanel
                
                  Mata'utia",2.0,Winger,,80:00,,12,3,-,-,-,-,-,,49.0,,12.0,116.0,36,,23.0,2,-,-,-,4,1,-,-,-,-,-,,-,-,2,15.0,0.17,,83.3%,5.0,1,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
2,,"Dane
                
                  Gagai",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,31.0,,13.0,104.0,23,,34.0,-,2,2,-,1,1,-,-,2,18,-,,1,-,9,23.0,0.69,,77.8%,14.0,4,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Knights,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
3,,"Joseph
                
                  Leilua",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,62.0,,15.0,231.0,-,,68.0,2,2,2,-,6,-,-,-,-,-,-,,3,1,4,18.0,0.27,,87.5%,7.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
4,,"Sione
                
                  Mata'utia",5.0,Winger,,80:00,,8,2,-,-,-,-,-,,29.0,,11.0,131.0,45,,30.0,2,-,-,-,1,-,-,-,2,13,-,,-,-,7,20.0,0.64,,100%,1.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,1,1,-,-,-,-,,80:00,-,Knights,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
5,,"Jarrod
                
                  Mullen",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,88.0,,9.0,101.0,-,,24.0,1,1,2,-,10,-,-,-,1,10,-,,1,1,26,43.0,2.89,,85.7%,12.0,1,1,-,-,,12,413,-,1,1,-,1,-,,-,-,-,1,-,-,-,,80:00,-,Knights,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
6,,"Tyrone
                
                  Roberts",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,29.0,,3.0,18.0,-,,4.0,-,-,-,-,1,-,-,-,-,-,-,,1,2,34,39.0,11.33,,95.5%,21.0,1,-,-,-,,4,130,1,-,2,-,-,1,,-,1,-,2,-,-,-,,80:00,-,Knights,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
7,,"David
                
                  Fa'alogo",8.0,Prop,,59:00,,-,-,-,-,-,-,-,,30.0,,17.0,153.0,30,,60.0,-,-,-,-,1,14,-,-,-,-,-,,1,-,2,19.0,0.12,,92.6%,25.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,59:00,-,Knights,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
8,,"Tyler
                
                  Randell",21.0,Hooker,,23:00,,-,-,-,-,-,-,-,,24.0,,5.0,25.0,-,,8.0,-,-,-,-,1,3,-,-,1,2,-,,1,-,24,28.0,4.8,,94.4%,17.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:00,-,Knights,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
9,,"Willie
                
                  Mason",10.0,Prop,,46:00,,-,-,-,-,-,-,-,,32.0,,12.0,111.0,-,,35.0,-,-,-,-,3,12,-,-,-,-,-,,3,-,-,12.0,-,,94.7%,18.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,46:00,-,Knights,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
10,,"Beau
                
                  Scott",11.0,2nd Row,,71:00,,4,1,-,-,-,-,-,,53.0,,11.0,102.0,-,,33.0,1,-,-,-,2,11,-,-,-,-,-,,3,-,2,13.0,0.18,,100%,29.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,71:00,-,Knights,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
11,,"Robbie
                
                  Rochow",12.0,2nd Row,,74:00,,-,-,-,-,-,-,-,,38.0,,17.0,133.0,-,,40.0,-,1,1,-,1,17,-,-,-,-,-,,2,-,2,20.0,0.12,,88.5%,23.0,1,2,1,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,74:00,-,Knights,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
12,,"Adam
                
                  Cuthbertson",13.0,Lock,,57:00,,-,-,-,-,-,-,-,,40.0,,22.0,187.0,13,,51.0,-,-,-,-,3,18,-,-,-,-,-,,4,2,6,25.0,0.27,,96%,24.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,57:00,-,Knights,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
13,,"Adam
                
                  Clydsdale",9.0,Interchange,,59:00,,-,-,-,-,-,-,-,,26.0,,6.0,53.0,-,,22.0,-,-,-,-,-,1,-,-,5,42,-,,-,2,71,75.0,11.83,,92.9%,26.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,59:00,-,Knights,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
14,,"Korbin
                
                  Sims",15.0,Interchange,,10:00,,-,-,-,-,-,-,-,,2.0,,1.0,10.0,-,,6.0,-,-,-,-,-,1,-,-,-,-,-,,-,-,2,3.0,2,,66.7%,4.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,10:00,-,Knights,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
15,,"Chris
                
                  Houston",17.0,Interchange,,53:00,,-,-,-,-,-,-,-,,26.0,,8.0,79.0,23,,27.0,-,-,-,-,-,6,-,-,-,-,-,,-,1,2,12.0,0.25,,96.2%,25.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,53:00,-,Knights,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
16,,"Timana
                
                  Tahu",18.0,Interchange,,08:00,,-,-,-,-,-,-,-,,21.0,,7.0,44.0,-,,14.0,-,-,-,-,2,5,-,-,-,-,-,,2,-,1,8.0,0.14,,91.7%,11.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,08:00,-,Knights,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
0,,"Jarryd
                
                  Hayne",1.0,Fullback,,06:00,,-,-,-,-,-,-,-,,11.0,,22.0,186.0,71,,54,-,-,-,-,1,1,-,-,-,-,-,,1,1,15,36.0,0.68,,50%,2.0,1,1,-,8,,3,93,-,-,-,-,-,-,,-,-,-,-,-,-,-,,06:00,-,Eels,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
1,,"Semi
                
                  Radradra",2.0,Winger,,70:00,,-,-,-,-,-,-,-,,6.0,,11.0,91.0,10,,30,-,-,-,-,1,1,-,-,-,-,-,,1,-,4,16.0,0.36,,50%,2.0,2,-,-,2,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,70:00,-,Eels,25,2014-08-30T05:00:00Z,Knights vs Eels,2014
