,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sea Eagles vs Panthers,2014
1,Conversion-Missed,Jamie Lyon,,,,Sea Eagles,80:00,Sea Eagles vs Panthers,2014
2,Try,Tom Symonds,,,26-25,Sea Eagles,79:10,Sea Eagles vs Panthers,2014
3,Kick Bomb,Kieran Foran,,,,Sea Eagles,78:59,Sea Eagles vs Panthers,2014
4,Conversion-Missed,Jamie Lyon,,,,Sea Eagles,77:44,Sea Eagles vs Panthers,2014
5,Try,Jamie Lyon,,,22-25,Sea Eagles,76:59,Sea Eagles vs Panthers,2014
6,Linebreak,Jamie Lyon,,,,Sea Eagles,76:59,Sea Eagles vs Panthers,2014
7,Drop Goal-Made,Matt Moylan,,,18-25,Panthers,71:43,Sea Eagles vs Panthers,2014
8,Conversion-Made,Jamie Lyon,,,18-24,Sea Eagles,63:44,Sea Eagles vs Panthers,2014
9,Try,James Hasson,,,16-24,Sea Eagles,62:53,Sea Eagles vs Panthers,2014
10,Linebreak,Brett Stewart,,,,Sea Eagles,62:49,Sea Eagles vs Panthers,2014
11,Penalty Shot-Made,Jamie Soward,,,12-24,Panthers,59:07,Sea Eagles vs Panthers,2014
12,Penalty - Ball Strip,Dunamis Lui,,,,Sea Eagles,58:02,Sea Eagles vs Panthers,2014
13,Penalty - Ball Strip,Jamie Buhrer,,,,Sea Eagles,56:37,Sea Eagles vs Panthers,2014
14,Eagles Interchange - Sin Bin Return,Tom Symonds,,,,Sea,56:32,Sea Eagles vs Panthers,2014
15,Conversion-Made,Jamie Lyon,,,12-22,Sea Eagles,55:00,Sea Eagles vs Panthers,2014
16,Try,Tom Symonds,,,10-22,Sea Eagles,54:11,Sea Eagles vs Panthers,2014
17,Linebreak,Tom Symonds,,,,Sea Eagles,54:11,Sea Eagles vs Panthers,2014
18,Penalty - Ball Strip,Sika Manu,,,,Panthers,53:42,Sea Eagles vs Panthers,2014
19,Line Dropout,Jamie Soward,,,,Panthers,53:30,Sea Eagles vs Panthers,2014
20,Penalty - Hand in the Ruck,Josh Mansour,,,,Panthers,51:26,Sea Eagles vs Panthers,2014
21,Eagles Interchange - Sin Bin Return,Jamie Buhrer,,,,Sea,49:20,Sea Eagles vs Panthers,2014
22,Penalty - 2nd Effort,Daly Cherry-Evans,,,,Sea Eagles,47:17,Sea Eagles vs Panthers,2014
23,Conversion-Made,Jamie Soward,,,6-22,Panthers,46:23,Sea Eagles vs Panthers,2014
24,Try,Jamie Soward,,,6-20,Panthers,44:52,Sea Eagles vs Panthers,2014
25,Interchange - Sin Bin Return,Dallin Watene-Zelezniak,,,,Panthers,43:47,Sea Eagles vs Panthers,2014
26,On Report,Adam Docker,,,,Panthers,42:44,Sea Eagles vs Panthers,2014
27,Penalty - Dangerous Tackle,Adam Docker,,,,Panthers,42:40,Sea Eagles vs Panthers,2014
28,Penalty - Hand in the Ruck,Adam Docker,,,,Panthers,42:15,Sea Eagles vs Panthers,2014
29,Interchange - Sin Bin Return,Josh Mansour,,,,Panthers,41:49,Sea Eagles vs Panthers,2014
30,Linebreak,Matt Moylan,,,,Panthers,41:30,Sea Eagles vs Panthers,2014
31,Kick Bomb,Kieran Foran,,,,Sea Eagles,40:51,Sea Eagles vs Panthers,2014
32,Drop Goal-Missed,Jamie Soward,,,,Panthers,40:00,Sea Eagles vs Panthers,2014
33,On Report,Steve Matai,,,,Sea Eagles,37:19,Sea Eagles vs Panthers,2014
34,Penalty - Shoulder Charge,Steve Matai,,,,Sea Eagles,36:58,Sea Eagles vs Panthers,2014
35,Interchange - Sin Bin Return,Dallin Watene-Zelezniak,,,,Panthers,34:12,Sea Eagles vs Panthers,2014
36,Penalty - Obstruction,Brett Stewart,,,,Sea Eagles,32:57,Sea Eagles vs Panthers,2014
37,Penalty - Slow Peel,Jamal Idris,,,,Panthers,32:32,Sea Eagles vs Panthers,2014
38,Penalty - Ball Strip,Jamie Soward,,,,Panthers,31:52,Sea Eagles vs Panthers,2014
39,Penalty - Marker Not Square,Ben Murdoch-Masila,,,,Panthers,30:32,Sea Eagles vs Panthers,2014
40,Kick Bomb,Jamie Soward,,,,Panthers,30:13,Sea Eagles vs Panthers,2014
41,Conversion-Made,Jamie Soward,,,6-16,Panthers,27:54,Sea Eagles vs Panthers,2014
42,Try,Jamal Idris,,,6-14,Panthers,27:04,Sea Eagles vs Panthers,2014
43,Linebreak,Kierran Moseley,,,,Panthers,25:49,Sea Eagles vs Panthers,2014
44,Linebreak,Josh Mansour,,,,Panthers,22:43,Sea Eagles vs Panthers,2014
45,Linebreak,Dallin Watene-Zelezniak,,,,Panthers,20:40,Sea Eagles vs Panthers,2014
46,Penalty - Marker Not Square,Sika Manu,,,,Panthers,19:49,Sea Eagles vs Panthers,2014
47,Conversion-Made,Jamie Lyon,,,6-10,Sea Eagles,17:36,Sea Eagles vs Panthers,2014
48,Try,Jamie Buhrer,,,4-10,Sea Eagles,16:10,Sea Eagles vs Panthers,2014
49,Linebreak,Jamie Buhrer,,,,Sea Eagles,16:10,Sea Eagles vs Panthers,2014
50,Penalty - Hand in the Ruck,Sika Manu,,,,Panthers,15:40,Sea Eagles vs Panthers,2014
51,Penalty - Ball Strip,Dallin Watene-Zelezniak,,,,Panthers,14:39,Sea Eagles vs Panthers,2014
52,Conversion-Missed,Jamie Soward,,,,Panthers,12:58,Sea Eagles vs Panthers,2014
53,Try,Josh Mansour,,,0-10,Panthers,11:37,Sea Eagles vs Panthers,2014
54,Linebreak,Josh Mansour,,,,Panthers,11:36,Sea Eagles vs Panthers,2014
55,Penalty - Lying in the Ruck,Daly Cherry-Evans,,,,Sea Eagles,10:57,Sea Eagles vs Panthers,2014
56,Penalty - Late Tackle,Jorge Taufua,,,,Sea Eagles,09:48,Sea Eagles vs Panthers,2014
57,Conversion-Made,Jamie Soward,,,0-6,Panthers,05:43,Sea Eagles vs Panthers,2014
58,Try,Nigel Plum,,,0-4,Panthers,04:28,Sea Eagles vs Panthers,2014
59,Linebreak,Nigel Plum,,,,Panthers,04:28,Sea Eagles vs Panthers,2014
60,Penalty - Leg Pull,Tom Symonds,,,,Sea Eagles,03:51,Sea Eagles vs Panthers,2014
61,Penalty - Crowding,Anthony Watmough,,,,Sea Eagles,02:48,Sea Eagles vs Panthers,2014
62,Kick Bomb,Jamie Soward,,,,Panthers,01:08,Sea Eagles vs Panthers,2014
63,KICK OFF,,,,,,00:00,Sea Eagles vs Panthers,2014
