,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Kurt
                
                  Gidley",1.0,Fullback,,80:00,,12,-,6,7,-,85.71%,-,,23.0,,9.0,76.0,11,,28,-,-,-,-,-,-,-,-,-,-,-,,-,1,13,23.0,1.44,,83.3%,10.0,-,2,-,1,,1,23,1,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Knights,26,2014-09-07T04:00:00Z,Knights vs Dragons,2014
1,,"Sione
                
                  Mata'utia",2.0,Winger,,80:00,,8,2,-,-,-,-,-,,42.0,,12.0,179.0,31,,43,2,-,-,-,3,1,-,-,1,17,-,,-,-,6,16.0,0.5,,62.5%,5.0,-,3,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Knights,26,2014-09-07T04:00:00Z,Knights vs Dragons,2014
2,,"Dane
                
                  Gagai",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,43.0,,11.0,120.0,-,,32,1,-,-,-,5,-,-,-,3,71,-,,-,-,6,17.0,0.55,,93.3%,14.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,26,2014-09-07T04:00:00Z,Knights vs Dragons,2014
3,,"Joseph
                
                  Leilua",4.0,Centre,,17:00,,4,1,-,-,-,-,-,,23.0,,4.0,77.0,-,,21,2,-,-,-,2,-,-,-,-,-,-,,-,-,1,4.0,0.25,,100%,1.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,17:00,-,Knights,26,2014-09-07T04:00:00Z,Knights vs Dragons,2014
4,,"Chanel
                
                  Mata'utia",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,15.0,,7.0,111.0,11,,28,1,-,-,-,3,-,-,-,-,-,-,,-,-,-,8.0,-,,40%,2.0,2,1,-,2,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Knights,26,2014-09-07T04:00:00Z,Knights vs Dragons,2014
5,,"Jarrod
                
                  Mullen",6.0,Five-Eighth,,39:00,,4,1,-,-,-,-,-,,69.0,,10.0,90.0,-,,16,1,-,1,-,5,-,-,-,1,3,-,,2,3,26,45.0,2.6,,80%,16.0,1,3,-,-,,10,298,-,2,1,-,2,1,,-,-,-,-,-,-,-,,39:00,-,Knights,26,2014-09-07T04:00:00Z,Knights vs Dragons,2014
6,,"Tyrone
                
                  Roberts",7.0,Halfback,,25:00,,-,-,-,-,-,-,-,,30.0,,2.0,4.0,-,,-,-,2,2,-,-,-,-,-,-,-,-,,2,2,45,51.0,22.5,,76.5%,13.0,2,2,-,3,,4,82,1,-,1,-,-,-,,-,-,-,1,-,1,-,,25:00,-,Knights,26,2014-09-07T04:00:00Z,Knights vs Dragons,2014
7,,"David
                
                  Fa'alogo",8.0,Prop,,50:00,,-,-,-,-,-,-,-,,23.0,,13.0,124.0,39,,53,-,-,-,-,-,9,-,-,-,-,-,,-,-,2,15.0,0.15,,87.5%,21.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,50:00,-,Knights,26,2014-09-07T04:00:00Z,Knights vs Dragons,2014
8,,"Travis
                
                  Waddell",14.0,Hooker,,53:00,,-,-,-,-,-,-,-,,39.0,,5.0,52.0,-,,34,-,-,-,-,4,-,-,-,3,34,-,,-,1,53,56.0,10.6,,84.6%,22.0,-,4,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,53:00,-,Knights,26,2014-09-07T04:00:00Z,Knights vs Dragons,2014
9,,"Willie
                
                  Mason",10.0,Prop,,53:00,,-,-,-,-,-,-,-,,32.0,,13.0,120.0,6,,40,-,-,-,-,3,10,-,-,-,-,-,,2,-,3,15.0,0.23,,94.7%,18.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,53:00,-,Knights,26,2014-09-07T04:00:00Z,Knights vs Dragons,2014
