,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Peta
                
                  Hiku",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,43.0,,14.0,123.0,48,,31.0,1,1,1,-,5,1,-,-,2,24,-,,2,-,9,24.0,0.64,,66.7%,6.0,3,-,-,4,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
1,,"Cheyse
                
                  Blair",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,24.0,,7.0,68.0,17,,14.0,1,-,1,-,3,1,-,-,1,9,-,,-,-,-,10.0,-,,100%,4.0,-,-,1,2,,1,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
2,,"Tony
                
                  Satini",21.0,Centre,,80:00,,-,-,-,-,-,-,-,,13.0,,11.0,75.0,-,,30.0,-,-,-,-,1,4,-,-,1,2,-,,1,-,7,16.0,0.64,,64.7%,11.0,5,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
3,,"Steve
                
                  Matai",4.0,Centre,,80:00,,8,2,-,-,-,-,-,,48.0,,13.0,144.0,-,,51.0,1,-,1,-,4,2,-,-,4,39,-,,1,-,8,20.0,0.62,,83.3%,10.0,2,-,-,-,,1,7,1,-,1,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Sea,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
4,,"David
                
                  Williams",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,8.0,,9.0,79.0,28,,22.0,-,-,-,-,2,2,-,-,-,-,-,,-,-,1,12.0,0.11,,55.6%,5.0,4,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
5,,"Jamie
                
                  Lyon",3.0,Five-Eighth,,80:00,,10,1,3,4,-,75%,-,,53.0,,7.0,47.0,-,,14.0,1,1,-,-,2,1,-,-,-,-,-,,1,-,24,35.0,3.43,,87%,20.0,3,-,-,-,,5,164,-,1,1,-,-,1,,-,2,-,1,-,-,-,,80:00,-,Sea,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
6,,"Daly
                
                  Cherry-Evans",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,41.0,,10.0,74.0,-,,24.0,-,-,-,-,2,-,-,-,2,17,-,,2,2,35,55.0,3.5,,75%,18.0,3,3,-,1,,13,257,1,1,2,-,4,-,,-,1,-,-,-,-,-,,80:00,-,Sea,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
7,,"Josh
                
                  Starling",8.0,Prop,,42:00,,-,-,-,-,-,-,-,,16.0,,13.0,100.0,-,,36.0,-,-,-,-,-,13,-,-,-,-,-,,-,-,-,13.0,-,,88.9%,16.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,42:00,-,Sea,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
8,,"Matt
                
                  Ballin",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,35.0,,8.0,83.0,-,,24.0,-,-,-,-,-,-,-,-,5,66,-,,1,1,90,97.0,11.25,,86.8%,33.0,3,2,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Sea,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
9,,"Brenton
                
                  Lawrence",10.0,Prop,,46:00,,-,-,-,-,-,-,-,,27.0,,9.0,77.0,-,,31.0,-,-,-,-,-,9,-,-,-,-,-,,1,-,-,9.0,-,,85.2%,23.0,1,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,46:00,-,Sea,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
10,,"Anthony
                
                  Watmough",11.0,2nd Row,,62:00,,-,-,-,-,-,-,-,,34.0,,17.0,134.0,56,,30.0,-,-,-,-,3,8,-,-,-,-,-,,2,1,7,21.0,0.41,,88.5%,23.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,62:00,-,Sea,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
11,,"Justin
                
                  Horo",12.0,2nd Row,,71:00,,-,-,-,-,-,-,-,,19.0,,10.0,59.0,-,,17.0,-,-,-,-,-,7,-,-,-,-,-,,1,-,5,15.0,0.5,,89.5%,17.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,71:00,-,Sea,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
12,,"Glenn
                
                  Stewart",13.0,Lock,,80:00,,-,-,-,-,-,-,-,,23.0,,11.0,73.0,-,,20.0,-,-,-,-,-,7,-,-,-,-,-,,-,-,19,26.0,1.73,,86.2%,25.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,1,-,-,,80:00,-,Sea,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
13,,"James
                
                  Hasson",14.0,Interchange,,16:00,,-,-,-,-,-,-,-,,9.0,,4.0,34.0,-,,13.0,-,-,-,-,-,3,-,-,-,-,-,,1,-,1,6.0,0.25,,100%,6.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,16:00,-,Sea,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
14,,"Dunamis
                
                  Lui",15.0,Interchange,,26:00,,-,-,-,-,-,-,-,,11.0,,9.0,68.0,-,,15.0,-,-,-,-,1,9,-,-,-,-,-,,-,-,2,11.0,0.22,,100%,8.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,26:00,-,Sea,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
15,,"Jamie
                
                  Buhrer",16.0,Interchange,,27:00,,-,-,-,-,-,-,-,,15.0,,7.0,58.0,-,,21.0,-,-,-,-,-,4,-,-,-,-,-,,1,-,1,7.0,0.14,,100%,13.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:00,-,Sea,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
16,,"Jason
                
                  King",17.0,Interchange,,31:00,,-,-,-,-,-,-,-,,14.0,,10.0,83.0,22,,18.0,-,-,-,-,-,7,-,-,-,-,-,,-,-,1,10.0,0.1,,86.7%,13.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,31:00,-,Sea,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
0,,"Jarryd
                
                  Hayne",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,28.0,,14.0,183.0,96,,37,1,2,1,-,4,1,-,-,1,12,-,,-,-,16,30.0,1.14,,50%,3.0,2,1,-,6,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Eels,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
1,,"Semi
                
                  Radradra",2.0,Winger,,80:00,,8,2,-,-,-,-,-,,62.0,,13.0,169.0,2,,26,2,-,-,-,10,4,-,-,3,29,-,,1,-,4,17.0,0.31,,66.7%,6.0,2,1,-,1,,2,9,-,-,1,-,-,-,,-,-,-,1,1,-,-,,80:00,-,Eels,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
2,,"Will
                
                  Hopoate",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,19.0,,12.0,122.0,-,,43,1,-,-,-,2,4,-,-,3,33,-,,-,-,5,15.0,0.42,,64.3%,9.0,3,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
3,,"Willie
                
                  Tonga",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,30.0,,13.0,136.0,-,,29,1,2,1,-,2,4,-,-,2,17,-,,3,-,7,19.0,0.54,,66.7%,4.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
4,,"Vai
                
                  Toutai",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,23.0,,8.0,52.0,3,,14,1,-,-,-,2,2,-,-,2,15,-,,-,-,3,15.0,0.38,,50%,3.0,2,1,-,3,,1,29,-,1,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Eels,3,2014-03-23T04:00:00Z,Sea Eagles vs Eels,2014
