,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Sam
                
                  Perrett",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,12.0,,16.0,195.0,60,,65.0,-,-,-,-,2,1,-,-,4,47,-,,-,-,16,37.0,1,,100%,3.0,-,-,-,6,,1,42,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Bulldogs,4,2014-03-29T08:30:00Z,Bulldogs vs Storm,2014
1,,"Corey
                
                  Thompson",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,11.0,,8.0,54.0,28,,14.0,-,-,-,-,2,-,-,-,2,4,-,,1,-,-,10.0,-,,100%,1.0,-,-,-,3,,1,26,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,4,2014-03-29T08:30:00Z,Bulldogs vs Storm,2014
2,,"Josh
                
                  Morris",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,33.0,,10.0,100.0,-,,34.0,1,-,-,-,3,3,-,-,1,11,-,,-,1,8,17.0,0.8,,81.8%,9.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Bulldogs,4,2014-03-29T08:30:00Z,Bulldogs vs Storm,2014
3,,"Timoteo
                
                  Lafai",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,55.0,,12.0,140.0,4,,32.0,1,1,1,-,5,2,-,-,-,-,-,,2,-,3,15.0,0.25,,100%,16.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Bulldogs,4,2014-03-29T08:30:00Z,Bulldogs vs Storm,2014
4,,"Chase
                
                  Stanley",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,27.0,,7.0,55.0,12,,28.0,-,-,-,-,3,-,-,-,3,26,-,,2,1,4,13.0,0.57,,100%,5.0,-,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,4,2014-03-29T08:30:00Z,Bulldogs vs Storm,2014
5,,"Josh
                
                  Reynolds",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,37.0,,5.0,29.0,-,,4.0,1,-,1,-,-,1,-,-,2,15,-,,1,1,19,37.0,3.8,,81.2%,13.0,3,-,-,-,,15,322,1,1,2,-,5,1,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,4,2014-03-29T08:30:00Z,Bulldogs vs Storm,2014
6,,"Trent
                
                  Hodkinson",7.0,Halfback,,80:00,,16,1,6,7,-,85.71%,-,,58.0,,6.0,48.0,-,,13.0,1,-,-,-,4,2,-,-,-,-,-,,-,1,18,29.0,3,,87.5%,14.0,-,2,-,-,,6,133,-,2,2,-,1,-,,-,1,-,1,-,-,-,,80:00,-,Bulldogs,4,2014-03-29T08:30:00Z,Bulldogs vs Storm,2014
7,,"Aiden
                
                  Tolman",8.0,Prop,,60:00,,-,-,-,-,-,-,-,,33.0,,23.0,198.0,40,,66.0,-,-,-,-,1,20,-,-,-,-,-,,-,-,-,23.0,-,,100%,30.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,60:00,-,Bulldogs,4,2014-03-29T08:30:00Z,Bulldogs vs Storm,2014
8,,"Michael
                
                  Ennis",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,43.0,,4.0,33.0,-,,10.0,-,-,1,-,-,1,-,-,2,22,-,,-,1,118,121.0,29.5,,97.4%,37.0,1,-,-,-,,1,42,-,-,-,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Bulldogs,4,2014-03-29T08:30:00Z,Bulldogs vs Storm,2014
9,,"James
                
                  Graham",10.0,Prop,,32:00,,4,1,-,-,-,-,-,,33.0,,14.0,131.0,-,,42.0,1,-,-,-,3,13,-,-,-,-,-,,-,2,3,16.0,0.21,,86.7%,13.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,32:00,-,Bulldogs,4,2014-03-29T08:30:00Z,Bulldogs vs Storm,2014
10,,"Frank
                
                  Pritchard",11.0,2nd Row,,20:00,,-,-,-,-,-,-,-,,9.0,,5.0,31.0,-,,15.0,-,-,-,-,-,4,-,-,-,-,-,,1,-,-,5.0,-,,88.9%,8.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,20:00,-,Bulldogs,4,2014-03-29T08:30:00Z,Bulldogs vs Storm,2014
11,,"Tony
                
                  Williams",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,31.0,,14.0,131.0,-,,62.0,-,-,-,-,3,14,-,-,-,-,-,,1,-,4,19.0,0.29,,95.5%,21.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Bulldogs,4,2014-03-29T08:30:00Z,Bulldogs vs Storm,2014
