,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Anthony
                
                  Minichiello",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,7.0,,12,70,27,,18,-,-,-,-,-,4,-,-,-,-,-,,-,-,13,27.0,1.08,,85.7%,6.0,1,-,-,6,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Roosters,4,2014-03-28T08:40:00Z,Roosters vs Sea Eagles,2014
1,,"Daniel
                
                  Tupou",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,12.0,,10,83,15,,21,-,-,-,-,2,4,-,-,-,-,-,,1,-,2,15.0,0.2,,100%,3.0,-,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,4,2014-03-28T08:40:00Z,Roosters vs Sea Eagles,2014
2,,"Michael
                
                  Jennings",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,27.0,,8,55,-,,16,-,-,-,-,1,2,-,-,-,-,-,,-,-,3,12.0,0.38,,82.6%,19.0,-,4,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Roosters,4,2014-03-28T08:40:00Z,Roosters vs Sea Eagles,2014
3,,"Shaun
                
                  Kenny-Dowall",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,27.0,,12,86,-,,28,-,-,-,-,2,5,-,-,1,6,-,,-,-,5,20.0,0.42,,83.3%,20.0,2,2,-,1,,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,-,,80:00,-,Roosters,4,2014-03-28T08:40:00Z,Roosters vs Sea Eagles,2014
4,,"Roger
                
                  Tuivasa-Sheck",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,6.0,,15,128,27,,29,-,-,-,-,1,3,-,-,-,-,-,,1,-,3,22.0,0.2,,50%,1.0,1,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,4,2014-03-28T08:40:00Z,Roosters vs Sea Eagles,2014
5,,"James
                
                  Maloney",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,41.0,,6,31,-,,14,-,-,-,-,1,1,-,-,-,-,-,,-,3,21,34.0,3.5,,78.4%,29.0,4,4,-,-,,6,171,-,1,1,-,1,1,,-,2,-,1,-,-,-,,80:00,-,Roosters,4,2014-03-28T08:40:00Z,Roosters vs Sea Eagles,2014
6,,"Mitchell
                
                  Pearce",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,46.0,,12,97,9,,15,-,-,-,-,4,-,-,-,1,3,-,,1,1,32,52.0,2.67,,86.7%,13.0,2,-,-,1,,13,415,-,6,-,-,1,-,,-,1,-,1,-,-,-,,80:00,-,Roosters,4,2014-03-28T08:40:00Z,Roosters vs Sea Eagles,2014
7,,"Jared
                
                  Waerea-Hargreaves",8.0,Prop,,52:00,,-,-,-,-,-,-,-,,32.0,,9,78,-,,27,-,-,-,-,-,9,-,-,-,-,-,,1,-,1,10.0,0.11,,86.8%,33.0,4,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,1,-,-,,52:00,-,Roosters,4,2014-03-28T08:40:00Z,Roosters vs Sea Eagles,2014
8,,"Jake
                
                  Friend",9.0,Hooker,,58:00,,-,-,-,-,-,-,-,,51.0,,6,43,-,,20,-,-,-,-,-,1,-,-,5,39,-,,1,3,74,76.0,12.33,,92.6%,50.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,58:00,-,Roosters,4,2014-03-28T08:40:00Z,Roosters vs Sea Eagles,2014
9,,"Sam
                
                  Moa",10.0,Prop,,57:00,,-,-,-,-,-,-,-,,46.0,,10,80,12,,32,-,-,-,-,2,9,-,-,-,-,-,,-,-,-,10.0,-,,93%,40.0,2,1,1,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,57:00,-,Roosters,4,2014-03-28T08:40:00Z,Roosters vs Sea Eagles,2014
