,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Panthers vs Raiders,2014
1,Penalty - 2nd Effort,Adam Docker,,,,Panthers,78:59,Panthers vs Raiders,2014
2,Line Dropout,Jamie Soward,,,,Panthers,78:44,Panthers vs Raiders,2014
3,Line Dropout,Jamie Soward,,,,Panthers,77:10,Panthers vs Raiders,2014
4,Penalty - Offside inside 10m,Matt Moylan,,,,Panthers,75:34,Panthers vs Raiders,2014
5,Kick Bomb,Terry Campese,,,,Raiders,74:58,Panthers vs Raiders,2014
6,Drop Goal-Missed,Jamie Soward,,,,Panthers,73:46,Panthers vs Raiders,2014
7,Conversion-Missed,Jamie Soward,,,,Panthers,72:36,Panthers vs Raiders,2014
8,Try,Dallin Watene-Zelezniak,,,12-6,Panthers,71:05,Panthers vs Raiders,2014
9,Interchange - Sin Bin Return,Josh Mansour,,,,Panthers,59:56,Panthers vs Raiders,2014
10,Kick Bomb,Terry Campese,,,,Raiders,59:48,Panthers vs Raiders,2014
11,Interchange - Sin Bin Return,Matt Moylan,,,,Panthers,56:34,Panthers vs Raiders,2014
12,Conversion-Made,Jarrod Croker,,,8-6,Raiders,55:02,Panthers vs Raiders,2014
13,Try,Paul Vaughan,,,8-4,Raiders,54:10,Panthers vs Raiders,2014
14,Linebreak,Anthony Milford,,,,Raiders,54:06,Panthers vs Raiders,2014
15,Kick Bomb,Jamie Soward,,,,Panthers,48:56,Panthers vs Raiders,2014
16,Penalty - 2nd Effort,Reece Robinson,,,,Raiders,46:01,Panthers vs Raiders,2014
17,Interchange - Sin Bin Return,Reece Robinson,,,,Raiders,45:53,Panthers vs Raiders,2014
18,Penalty - Offside inside 10m,Adam Docker,,,,Panthers,44:32,Panthers vs Raiders,2014
19,Line Dropout,Terry Campese,,,,Raiders,42:26,Panthers vs Raiders,2014
20,Interchange - Sin Bin Return,Matthew Allwood,,,,Raiders,41:05,Panthers vs Raiders,2014
21,Conversion-Missed,Matt Moylan,,,,Panthers,40:00,Panthers vs Raiders,2014
22,Try,Josh Mansour,,,8-0,Panthers,39:33,Panthers vs Raiders,2014
23,Linebreak,Josh Mansour,,,,Panthers,39:31,Panthers vs Raiders,2014
24,Penalty - Working on the Ground,Terry Campese,,,,Raiders,38:39,Panthers vs Raiders,2014
25,Kick Bomb,Terry Campese,,,,Raiders,34:55,Panthers vs Raiders,2014
26,Penalty - Ball Strip,Adam Docker,,,,Panthers,32:02,Panthers vs Raiders,2014
27,Line Dropout,Terry Campese,,,,Raiders,30:36,Panthers vs Raiders,2014
28,Penalty - Dangerous Tackle,Jack Wighton,,,,Raiders,28:45,Panthers vs Raiders,2014
29,Kick Bomb,Jack Wighton,,,,Raiders,28:33,Panthers vs Raiders,2014
30,Penalty - Dangerous Tackle,Josh Mansour,,,,Panthers,27:25,Panthers vs Raiders,2014
31,Penalty - Ball Strip,Peter Wallace,,,,Panthers,25:13,Panthers vs Raiders,2014
32,Interchange - Sin Bin Return,Matt Moylan,,,,Panthers,21:43,Panthers vs Raiders,2014
33,40/20 Kick,Jamie Soward,,,,Panthers,21:13,Panthers vs Raiders,2014
34,Conversion-Missed,Matt Moylan,,,,Panthers,17:50,Panthers vs Raiders,2014
35,Try,Dallin Watene-Zelezniak,,,4-0,Panthers,16:08,Panthers vs Raiders,2014
36,Linebreak,Dallin Watene-Zelezniak,,,,Panthers,16:08,Panthers vs Raiders,2014
37,Penalty - Dangerous Tackle,Shaun Fensom,,,,Raiders,12:47,Panthers vs Raiders,2014
38,Interchange - Sin Bin Return,Sika Manu,,,,Panthers,11:28,Panthers vs Raiders,2014
39,Interchange - Sin Bin Return,Anthony Milford,,,,Raiders,10:05,Panthers vs Raiders,2014
40,Kick Bomb,Jamie Soward,,,,Panthers,10:01,Panthers vs Raiders,2014
41,On Report,Sika Manu,,,,Panthers,08:20,Panthers vs Raiders,2014
42,Penalty - Dangerous Tackle,Sika Manu,,,,Panthers,08:08,Panthers vs Raiders,2014
43,Kick Bomb,Peter Wallace,,,,Panthers,07:54,Panthers vs Raiders,2014
44,Interchange - Sin Bin Return,Jarrod Croker,,,,Raiders,04:59,Panthers vs Raiders,2014
45,Interchange - Sin Bin Return,Dallin Watene-Zelezniak,,,,Panthers,03:55,Panthers vs Raiders,2014
46,Penalty - Slow Peel,Jake Foster,,,,Raiders,01:04,Panthers vs Raiders,2014
47,KICK OFF,,,,,,00:00,Panthers vs Raiders,2014
