,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Roosters vs Bulldogs,2014
1,Interchange - Sin Bin Return,Anthony Minichiello,,,,Roosters,78:28,Roosters vs Bulldogs,2014
2,Interchange - Sin Bin Return,James Maloney,,,,Roosters,75:56,Roosters vs Bulldogs,2014
3,Kick Bomb,Trent Hodkinson,,,,Bulldogs,71:20,Roosters vs Bulldogs,2014
4,Drop Goal-Made,Josh Reynolds,,,8-9,Bulldogs,69:39,Roosters vs Bulldogs,2014
5,Linebreak,Josh Morris,,,,Bulldogs,69:08,Roosters vs Bulldogs,2014
6,Drop Goal-Missed,Mitchell Pearce,,,,Roosters,68:15,Roosters vs Bulldogs,2014
7,Penalty - Offside inside 10m,Josh Reynolds,,,,Bulldogs,66:49,Roosters vs Bulldogs,2014
8,Kick Bomb,Trent Hodkinson,,,,Bulldogs,62:31,Roosters vs Bulldogs,2014
9,Kick Bomb,Mitchell Pearce,,,,Roosters,60:05,Roosters vs Bulldogs,2014
10,Kick Bomb,Mitchell Pearce,,,,Roosters,58:33,Roosters vs Bulldogs,2014
11,Linebreak,Daniel Tupou,,,,Roosters,56:13,Roosters vs Bulldogs,2014
12,Penalty - Dangerous Tackle,Corey Thompson,,,,Bulldogs,55:24,Roosters vs Bulldogs,2014
13,Kick Bomb,Mitchell Pearce,,,,Roosters,54:00,Roosters vs Bulldogs,2014
14,Kick Bomb,Trent Hodkinson,,,,Bulldogs,49:49,Roosters vs Bulldogs,2014
15,Interchange - Sin Bin Return,Mitchell Pearce,,,,Roosters,43:49,Roosters vs Bulldogs,2014
16,Penalty - Ball Strip,Mitchell Aubusson,,,,Roosters,42:21,Roosters vs Bulldogs,2014
17,Kick Bomb,Trent Hodkinson,,,,Bulldogs,40:50,Roosters vs Bulldogs,2014
18,Penalty Shot-Made,James Maloney,,,8-8,Roosters,39:34,Roosters vs Bulldogs,2014
19,Penalty - Offside inside 10m,Michael Ennis,,,,Bulldogs,38:22,Roosters vs Bulldogs,2014
20,Interchange - Sin Bin Return,Trent Hodkinson,,,,Bulldogs,36:34,Roosters vs Bulldogs,2014
21,Kick Bomb,Josh Morris,,,,Bulldogs,36:30,Roosters vs Bulldogs,2014
22,Conversion-Made,James Maloney,,,6-8,Roosters,34:13,Roosters vs Bulldogs,2014
23,Try,Michael Jennings,,,4-8,Roosters,32:28,Roosters vs Bulldogs,2014
24,Linebreak,Michael Jennings,,,,Roosters,32:27,Roosters vs Bulldogs,2014
25,Penalty - Holding Down,Timoteo Lafai,,,,Bulldogs,31:07,Roosters vs Bulldogs,2014
26,Penalty - Ball Strip,Aiden Tolman,,,,Bulldogs,28:38,Roosters vs Bulldogs,2014
27,Kick Bomb,James Maloney,,,,Roosters,27:18,Roosters vs Bulldogs,2014
28,Interchange - Sin Bin Return,Josh Jackson,,,,Bulldogs,25:48,Roosters vs Bulldogs,2014
29,Penalty - Leg Pull,Jake Friend,,,,Roosters,24:47,Roosters vs Bulldogs,2014
30,Penalty - Marker Not Square,Aidan Guerra,,,,Roosters,23:29,Roosters vs Bulldogs,2014
31,Kick Bomb,Mitchell Pearce,,,,Roosters,22:58,Roosters vs Bulldogs,2014
32,Penalty Shot-Made,Trent Hodkinson,,,0-8,Bulldogs,20:47,Roosters vs Bulldogs,2014
33,Penalty - Holding Down,Boyd Cordner,,,,Roosters,19:24,Roosters vs Bulldogs,2014
34,Interchange - Sin Bin Return,Roger Tuivasa-Sheck,,,,Roosters,18:17,Roosters vs Bulldogs,2014
35,Kick Bomb,Trent Hodkinson,,,,Bulldogs,18:13,Roosters vs Bulldogs,2014
36,Penalty - Hand in the Ruck,Josh Reynolds,,,,Bulldogs,14:22,Roosters vs Bulldogs,2014
37,Conversion-Made,Trent Hodkinson,,,0-6,Bulldogs,12:44,Roosters vs Bulldogs,2014
38,Try,Chase Stanley,,,0-4,Bulldogs,10:50,Roosters vs Bulldogs,2014
39,Linebreak,Chase Stanley,,,,Bulldogs,10:50,Roosters vs Bulldogs,2014
40,Penalty - Marker Not Square,Sam Moa,,,,Roosters,07:05,Roosters vs Bulldogs,2014
41,Kick Bomb,Trent Hodkinson,,,,Bulldogs,05:49,Roosters vs Bulldogs,2014
42,Penalties - Other,Sonny Bill Williams,,,,Roosters,04:20,Roosters vs Bulldogs,2014
43,Penalty - Offside inside 10m,Aiden Tolman,,,,Bulldogs,03:25,Roosters vs Bulldogs,2014
44,Kick Bomb,Trent Hodkinson,,,,Bulldogs,01:33,Roosters vs Bulldogs,2014
45,KICK OFF,,,,,,00:00,Roosters vs Bulldogs,2014
