,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Raiders vs Knights,2014
1,Interchange - Sin Bin Return,James McManus,,,,Knights,77:41,Raiders vs Knights,2014
2,Penalty Shot-Made,Tyrone Roberts,,,12-26,Knights,73:34,Raiders vs Knights,2014
3,Penalty - Holding Down,Josh McCrone,,,,Raiders,72:08,Raiders vs Knights,2014
4,Interchange - Sin Bin Return,Bill Tupou,,,,Raiders,68:10,Raiders vs Knights,2014
5,Line Dropout,Tyrone Roberts,,,,Knights,67:37,Raiders vs Knights,2014
6,Conversion-Made,Tyrone Roberts,,,12-24,Knights,61:10,Raiders vs Knights,2014
7,Try,Dane Gagai,,,12-22,Knights,59:28,Raiders vs Knights,2014
8,Linebreak,Dane Gagai,,,,Knights,59:25,Raiders vs Knights,2014
9,Linebreak,Joseph Leilua,,,,Knights,59:05,Raiders vs Knights,2014
10,Interchange - Sin Bin Return,Jarrod Croker,,,,Raiders,58:25,Raiders vs Knights,2014
11,Kick Bomb,Terry Campese,,,,Raiders,58:22,Raiders vs Knights,2014
12,Penalty - Holding Down,Beau Scott,,,,Knights,57:22,Raiders vs Knights,2014
13,Linebreak,Anthony Milford,,,,Raiders,56:59,Raiders vs Knights,2014
14,Penalty - Offside Downtown,Joseph Leilua,,,,Knights,56:05,Raiders vs Knights,2014
15,Interchange - Sin Bin Return,Jarrod Croker,,,,Raiders,55:09,Raiders vs Knights,2014
16,Penalty - Crowding,Akuila Uate,,,,Knights,51:25,Raiders vs Knights,2014
17,Conversion-Made,Tyrone Roberts,,,12-18,Knights,49:16,Raiders vs Knights,2014
18,Try,Beau Scott,,,12-16,Knights,47:21,Raiders vs Knights,2014
19,Linebreak,Beau Scott,,,,Knights,47:19,Raiders vs Knights,2014
20,Linebreak,James McManus,,,,Knights,47:04,Raiders vs Knights,2014
21,Penalty - Holding Down,Chris Houston,,,,Knights,45:31,Raiders vs Knights,2014
22,Kick Bomb,Jarrod Mullen,,,,Knights,45:15,Raiders vs Knights,2014
23,Interchange - Sin Bin Return,Shannon Boyd,,,,Raiders,42:27,Raiders vs Knights,2014
24,Penalty - Lying in the Ruck,Beau Scott,,,,Knights,40:21,Raiders vs Knights,2014
25,Interchange - Sin Bin Return,Akuila Uate,,,,Knights,39:45,Raiders vs Knights,2014
26,Linebreak,Darius Boyd,,,,Knights,39:44,Raiders vs Knights,2014
27,Conversion-Made,Jarrod Croker,,,12-12,Raiders,37:48,Raiders vs Knights,2014
28,Try,Shannon Boyd,,,10-12,Raiders,36:26,Raiders vs Knights,2014
29,Linebreak,Shannon Boyd,,,,Raiders,36:26,Raiders vs Knights,2014
30,Penalty - Late Tackle,Robbie Rochow,,,,Knights,35:53,Raiders vs Knights,2014
31,Conversion-Made,Tyrone Roberts,,,6-12,Knights,32:45,Raiders vs Knights,2014
32,Try,Adam Clydsdale,,,6-10,Knights,31:13,Raiders vs Knights,2014
33,Linebreak,Adam Clydsdale,,,,Knights,31:13,Raiders vs Knights,2014
34,Penalty - Ball Strip,Josh McCrone,,,,Raiders,30:23,Raiders vs Knights,2014
35,Penalty - Slow Peel,Korbin Sims,,,,Knights,29:14,Raiders vs Knights,2014
36,Penalty - Slow Peel,Jeremy Smith,,,,Knights,22:18,Raiders vs Knights,2014
37,Penalty - Obstruction,Josh Papalii,,,,Raiders,20:47,Raiders vs Knights,2014
38,Line Dropout,Tyrone Roberts,,,,Knights,20:01,Raiders vs Knights,2014
39,Penalty - Dangerous Tackle,Joseph Leilua,,,,Knights,18:11,Raiders vs Knights,2014
40,Kick Bomb,Jarrod Mullen,,,,Knights,18:06,Raiders vs Knights,2014
41,Conversion-Made,Tyrone Roberts,,,6-6,Knights,16:50,Raiders vs Knights,2014
42,Try,James McManus,,,6-4,Knights,15:19,Raiders vs Knights,2014
43,Linebreak,James McManus,,,,Knights,15:18,Raiders vs Knights,2014
44,Penalty - Ball Strip,Jarrad Kennedy,,,,Raiders,14:32,Raiders vs Knights,2014
45,Penalty - Scrum Infringement,Bill Tupou,,,,Raiders,13:56,Raiders vs Knights,2014
46,Interchange - Sin Bin Return,Dane Gagai,,,,Knights,12:10,Raiders vs Knights,2014
47,Kick Bomb,Jarrod Mullen,,,,Knights,12:07,Raiders vs Knights,2014
48,Conversion-Made,Jarrod Croker,,,6-0,Raiders,10:00,Raiders vs Knights,2014
49,Try,Jarrod Croker,,,4-0,Raiders,08:29,Raiders vs Knights,2014
50,Linebreak,Jarrod Croker,,,,Raiders,08:28,Raiders vs Knights,2014
51,Line Dropout,Tyrone Roberts,,,,Knights,07:45,Raiders vs Knights,2014
52,Kick Bomb,Jack Wighton,,,,Raiders,05:11,Raiders vs Knights,2014
53,Penalty - Offside inside 10m,Kurt Gidley,,,,Knights,03:50,Raiders vs Knights,2014
54,Penalty - Working on the Ground,Terry Campese,,,,Raiders,01:58,Raiders vs Knights,2014
55,KICK OFF,,,,,,00:00,Raiders vs Knights,2014
