,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Josh
                
                  Hoffman",1.0,Fullback,,82:00,,-,-,-,-,-,-,-,,25.0,,10.0,94.0,62,,24.0,1,-,-,-,3,-,-,-,-,-,-,,-,2,6,18.0,0.6,,66.7%,6.0,3,-,-,4,,1,29,-,-,-,-,-,-,,-,-,-,1,-,-,-,,82:00,-,Titans,10,2015-05-16T07:30:00Z,Titans vs Sharks,2015
1,,"Anthony
                
                  Don",2.0,Winger,,82:00,,4,1,-,-,-,-,-,,21.0,,8.0,80.0,21,,21.0,1,-,-,-,-,-,-,-,-,-,-,,-,-,5,15.0,0.62,,66.7%,4.0,2,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,82:00,-,Titans,10,2015-05-16T07:30:00Z,Titans vs Sharks,2015
2,,"James
                
                  Roberts",3.0,Centre,,82:00,,-,-,-,-,-,-,-,,24.0,,7.0,59.0,-,,23.0,-,-,-,-,4,-,-,-,1,10,-,,-,1,3,8.0,0.43,,88.9%,8.0,1,-,-,1,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,82:00,-,Titans,10,2015-05-16T07:30:00Z,Titans vs Sharks,2015
3,,"William
                
                  Zillman",4.0,Centre,,66:00,,-,-,-,-,-,-,-,,10.0,,4.0,38.0,-,,17.0,-,-,-,-,-,-,-,-,2,21,-,,-,1,7,10.0,1.75,,78.6%,11.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,66:00,-,Titans,10,2015-05-16T07:30:00Z,Titans vs Sharks,2015
4,,"David
                
                  Mead",5.0,Winger,,47:00,,4,1,-,-,-,-,-,,21.0,,4.0,119.0,-,,10.0,-,-,-,-,-,-,-,-,2,16,-,,-,-,5,11.0,1.25,,50%,1.0,-,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,47:00,-,Titans,10,2015-05-16T07:30:00Z,Titans vs Sharks,2015
5,,"Aidan
                
                  Sezer",6.0,Five-Eighth,,82:00,,10,-,2,3,3,83.33%,-,,48.0,,11.0,81.0,4,,25.0,-,1,-,-,1,-,-,-,-,-,-,,-,2,16,37.0,1.45,,86.7%,13.0,1,1,-,-,,12,293,2,3,3,-,1,1,,-,1,-,-,-,-,-,,82:00,-,Titans,10,2015-05-16T07:30:00Z,Titans vs Sharks,2015
6,,"Kane
                
                  Elgey",7.0,Halfback,,82:00,,-,-,-,-,-,-,-,,37.0,,5.0,27.0,-,,8.0,-,1,1,-,3,-,-,-,-,-,-,,-,4,24,36.0,4.8,,72.7%,16.0,4,2,-,-,,8,224,2,1,1,-,-,-,,-,-,-,-,-,-,-,,82:00,-,Titans,10,2015-05-16T07:30:00Z,Titans vs Sharks,2015
7,,"Luke
                
                  Douglas",8.0,Prop,,52:00,,-,-,-,-,-,-,-,,42.0,,14.0,138.0,50,,42.0,-,-,-,-,1,9,-,-,-,-,-,,-,2,5,17.0,0.36,,88.9%,32.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,52:00,-,Titans,10,2015-05-16T07:30:00Z,Titans vs Sharks,2015
8,,"Kierran
                
                  Moseley",9.0,Hooker,,49:00,,-,-,-,-,-,-,-,,36.0,,2.0,14.0,-,,4.0,-,1,1,-,-,1,-,-,1,12,-,,1,1,68,69.0,34,,86.5%,32.0,3,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,49:00,-,Titans,10,2015-05-16T07:30:00Z,Titans vs Sharks,2015
9,,"Nate
                
                  Myles",10.0,Prop,,40:00,,-,-,-,-,-,-,-,,43.0,,11.0,127.0,21,,55.0,-,1,-,-,1,10,-,-,-,-,-,,3,3,3,14.0,0.27,,95.7%,22.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,40:00,-,Titans,10,2015-05-16T07:30:00Z,Titans vs Sharks,2015
10,,"Ryan
                
                  James",11.0,2nd Row,,82:00,,4,1,-,-,-,-,-,,42.0,,14.0,121.0,-,,61.0,1,-,-,-,1,13,-,-,1,1,-,,-,-,-,15.0,-,,90.9%,20.0,1,1,-,1,,-,-,-,-,-,-,-,-,,-,1,-,2,-,-,-,,82:00,-,Titans,10,2015-05-16T07:30:00Z,Titans vs Sharks,2015
11,,"Dave
                
                  Taylor",12.0,2nd Row,,70:00,,-,-,-,-,-,-,-,,32.0,,12.0,163.0,-,,70.0,1,-,-,-,2,12,-,-,-,-,-,,-,1,2,14.0,0.17,,70%,14.0,3,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,70:00,-,Titans,10,2015-05-16T07:30:00Z,Titans vs Sharks,2015
12,,"Lachlan
                
                  Burr",13.0,Lock,,82:00,,-,-,-,-,-,-,-,,63.0,,15.0,155.0,-,,38.0,1,-,-,-,3,13,-,-,-,-,-,,-,1,4,18.0,0.27,,86%,43.0,3,4,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,82:00,-,Titans,10,2015-05-16T07:30:00Z,Titans vs Sharks,2015
13,,"Matt
                
                  White",14.0,Interchange,,25:00,,-,-,-,-,-,-,-,,19.0,,9.0,84.0,38,,23.0,-,-,-,-,-,7,-,-,-,-,-,,1,1,3,12.0,0.33,,84.6%,11.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,25:00,-,Titans,10,2015-05-16T07:30:00Z,Titans vs Sharks,2015
14,,"Eddy
                
                  Pettybourne",15.0,Interchange,,56:00,,-,-,-,-,-,-,-,,28.0,,17.0,148.0,19,,47.0,-,-,-,-,-,15,-,-,-,-,-,,1,-,2,19.0,0.12,,84.2%,16.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,56:00,-,Titans,10,2015-05-16T07:30:00Z,Titans vs Sharks,2015
15,,"Daniel
                
                  Mortimer",17.0,Interchange,,52:00,,-,-,-,-,-,-,-,,26.0,,3.0,27.0,-,,12.0,-,-,-,-,-,1,-,-,2,19,-,,-,3,34,37.0,11.33,,100%,26.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,52:00,-,Titans,10,2015-05-16T07:30:00Z,Titans vs Sharks,2015
16,,"Ben
                
                  Ridge",18.0,Interchange,,-,,-,-,-,-,-,-,-,,20.0,,6.0,53.0,-,,21.0,-,-,-,-,-,6,-,-,-,-,-,,-,-,2,8.0,0.33,,86.4%,19.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Titans,10,2015-05-16T07:30:00Z,Titans vs Sharks,2015
