,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Alex
                
                  Johnston",1.0,Fullback,,79:00,,-,-,-,-,-,-,-,,39.0,,20.0,253.0,156,,73.0,-,1,1,-,1,-,-,-,1,16,-,,-,2,9,28.0,0.45,,100%,3.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,79:00,-,Rabbitohs,11,2015-05-22T09:45:00Z,Rabbitohs vs Eels,2015
1,,"Joel
                
                  Reddy",2.0,Winger,,79:00,,-,-,-,-,-,-,-,,22.0,,8.0,63.0,19,,34.0,-,-,-,-,1,-,-,-,-,-,-,,1,-,2,13.0,0.25,,100%,11.0,-,-,-,-,,1,13,-,-,1,-,-,-,,-,1,-,-,-,-,-,,79:00,-,Rabbitohs,11,2015-05-22T09:45:00Z,Rabbitohs vs Eels,2015
2,,"Dylan
                
                  Walker",3.0,Centre,,79:00,,-,-,-,-,-,-,-,,39.0,,11.0,102.0,11,,37.0,-,1,1,-,2,1,-,-,1,16,-,,-,3,11,19.0,1,,95.2%,20.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,79:00,-,Rabbitohs,11,2015-05-22T09:45:00Z,Rabbitohs vs Eels,2015
3,,"Bryson
                
                  Goodwin",4.0,Centre,,79:00,,-,-,-,-,-,-,-,,24.0,,11.0,104.0,-,,52.0,-,-,-,-,1,-,-,-,2,2,-,,-,1,6,16.0,0.55,,88.2%,15.0,2,-,-,-,,1,16,-,-,1,-,-,-,,-,-,-,-,-,-,-,,79:00,-,Rabbitohs,11,2015-05-22T09:45:00Z,Rabbitohs vs Eels,2015
4,,"Aaron
                
                  Gray",5.0,Winger,,79:00,,8,2,-,-,-,-,-,,42.0,,9.0,74.0,13,,21.0,1,-,-,-,3,-,-,-,-,-,-,,-,3,3,12.0,0.33,,100%,6.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,79:00,-,Rabbitohs,11,2015-05-22T09:45:00Z,Rabbitohs vs Eels,2015
5,,"John
                
                  Sutton",6.0,Five-Eighth,,79:00,,-,-,-,-,-,-,-,,53.0,,12.0,101.0,-,,42.0,-,-,1,-,-,1,-,-,-,-,-,,1,5,33,53.0,2.75,,95.8%,23.0,-,1,-,-,,10,271,1,3,1,-,1,-,,-,-,-,-,-,-,-,,79:00,-,Rabbitohs,11,2015-05-22T09:45:00Z,Rabbitohs vs Eels,2015
6,,"Luke
                
                  Keary",7.0,Halfback,,79:00,,-,-,-,-,-,-,-,,73.0,,7.0,81.0,-,,20.0,2,-,-,-,6,-,-,-,-,-,-,,1,9,47,64.0,6.71,,88.9%,32.0,3,1,-,-,,10,233,1,3,1,-,1,-,,-,-,-,-,-,-,-,,79:00,-,Rabbitohs,11,2015-05-22T09:45:00Z,Rabbitohs vs Eels,2015
7,,"George
                
                  Burgess",8.0,Prop,,45:00,,-,-,-,-,-,-,-,,52.0,,12.0,89.0,8,,32.0,-,-,-,-,5,11,-,-,-,-,-,,-,-,-,12.0,-,,96.7%,29.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,45:00,-,Rabbitohs,11,2015-05-22T09:45:00Z,Rabbitohs vs Eels,2015
8,,"Issac
                
                  Luke",14.0,Hooker,,79:00,,2,-,1,3,-,33.33%,-,,39.0,,11.0,116.0,-,,48.0,-,1,-,-,1,-,-,-,10,102,-,,1,10,117,126.0,10.64,,100%,16.0,-,-,-,-,,2,63,-,-,-,-,-,-,,-,-,-,-,-,-,-,,79:00,-,Rabbitohs,11,2015-05-22T09:45:00Z,Rabbitohs vs Eels,2015
9,,"David
                
                  Tyrrell",10.0,Prop,,40:00,,-,-,-,-,-,-,-,,36.0,,10.0,74.0,14,,21.0,-,-,-,-,-,8,-,-,-,-,-,,-,1,1,12.0,0.1,,100%,29.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,40:00,-,Rabbitohs,11,2015-05-22T09:45:00Z,Rabbitohs vs Eels,2015
