,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Matt
                
                  Moylan",1.0,Fullback,,12:00,,-,-,-,-,-,-,-,,1.0,,3.0,14.0,9,,5.0,-,-,-,-,-,-,-,-,1,5,-,,-,-,1,4.0,0.33,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,12:00,-,Panthers,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
1,,"Robert
                
                  Jennings",19.0,Winger,,80:00,,-,-,-,-,-,-,-,,33.0,,17.0,125.0,-,,29.0,-,-,-,-,4,-,-,-,2,14,-,,2,2,6,25.0,0.35,,85.7%,6,1,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
2,,"Waqa
                
                  Blake",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,38.0,,11.0,106.0,-,,34.0,-,1,-,-,2,-,-,-,2,25,-,,2,-,7,17.0,0.64,,85.7%,24,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
3,,"Dallin
                
                  Watene-Zelezniak",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,45.0,,18.0,140.0,49,,51.0,1,-,-,-,4,-,-,-,5,32,-,,-,-,12,31.0,0.67,,75%,3,1,-,-,6,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
4,,"David
                
                  Simmons",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,36.0,,14.0,100.0,29,,17.0,1,-,-,-,2,-,-,-,1,6,-,,-,-,4,18.0,0.29,,100%,8,-,-,-,-,,1,5,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
5,,"Jamie
                
                  Soward",6.0,Five-Eighth,,70:00,,-,-,-,-,-,-,-,,31.0,,4.0,33.0,-,,11.0,-,-,-,-,-,-,-,-,-,-,-,,-,3,18,34.0,4.5,,85.7%,12,2,-,-,-,,15,416,-,2,1,-,4,1,,-,-,-,-,-,-,-,,70:00,-,Panthers,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
6,,"Peter
                
                  Wallace",7.0,Halfback,,80:00,,4,-,2,3,-,66.67%,-,,38.0,,5.0,13.0,-,,2.0,-,1,1,-,-,-,-,-,-,-,-,,-,3,47,56.0,9.4,,88%,22,3,-,-,-,,5,201,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
7,,"Reagan
                
                  Campbell-Gillard",17.0,Prop,,43:00,,-,-,-,-,-,-,-,,42.0,,9.0,95.0,4,,25.0,1,-,-,-,1,8,-,-,-,-,-,,-,-,2,11.0,0.22,,96.6%,28,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,43:00,-,Panthers,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
8,,"James
                
                  Segeyaro",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,54.0,,7.0,60.0,-,,20.0,1,-,1,-,3,3,-,-,3,26,-,,-,6,77,76.0,11,,92.3%,36,3,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Panthers,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
9,,"Sam
                
                  McKendry",10.0,Prop,,46:00,,-,-,-,-,-,-,-,,46.0,,11.0,89.0,20,,43.0,-,1,-,-,1,9,-,-,-,-,-,,2,-,1,12.0,0.09,,96.9%,31,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,46:00,-,Panthers,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
10,,"Lewis
                
                  Brown",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,69.0,,15.0,153.0,-,,57.0,-,-,-,-,5,9,-,-,3,28,-,,5,5,8,22.0,0.53,,96.9%,31,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Panthers,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
11,,"Isaah
                
                  Yeo",12.0,2nd Row,,80:00,,4,1,-,-,-,-,-,,59.0,,14.0,95.0,-,,32.0,-,1,1,-,3,9,-,-,1,2,-,,3,-,4,17.0,0.29,,92.3%,24,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
12,,"Elijah
                
                  Taylor",13.0,Lock,,80:00,,-,-,-,-,-,-,-,,58.0,,7.0,60.0,-,,28.0,-,-,-,-,1,6,-,-,-,-,-,,-,-,6,12.0,0.86,,95%,57,3,-,1,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Panthers,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
13,,"Nigel
                
                  Plum",8.0,Interchange,,24:00,,-,-,-,-,-,-,-,,15.0,,6.0,42.0,11,,6.0,-,-,-,-,-,5,-,-,-,-,-,,-,-,-,7.0,-,,93.8%,15,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,24:00,-,Panthers,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
14,,"Bryce
                
                  Cartwright",14.0,Interchange,,50:00,,4,1,-,1,-,-,-,,62.0,,14.0,139.0,18,,44.0,1,1,1,-,3,11,-,-,-,-,-,,5,4,3,16.0,0.21,,78.6%,22,5,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,50:00,-,Panthers,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
15,,"Jeremy
                
                  Latimore",15.0,Interchange,,52:00,,-,-,-,-,-,-,-,,43.0,,12.0,85.0,-,,39.0,-,-,-,-,2,12,-,-,-,-,-,,2,-,-,12.0,-,,84.6%,33,4,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,52:00,-,Panthers,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
16,,"Sika
                
                  Manu",16.0,Interchange,,10:00,,-,-,-,-,-,-,-,,17.0,,8.0,54.0,-,,11.0,-,-,-,-,-,7,-,-,-,-,-,,-,-,1,8.0,0.12,,100%,12,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,10:00,-,Panthers,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
0,,"Reece
                
                  Robinson",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,33.0,,16.0,165.0,90,,32.0,-,1,-,-,2,-,-,-,2,22,-,,-,1,21,36.0,1.31,,66.7%,4.0,2,-,-,1,,1,13,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
1,,"Semi
                
                  Radradra",2.0,Winger,,80:00,,8,2,-,-,-,-,-,,67.0,,16.0,164.0,24,,45.0,2,-,1,-,4,-,-,-,4,36,-,,-,-,4,19.0,0.25,,72.2%,13.0,2,3,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
2,,"Will
                
                  Hopoate",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,35.0,,13.0,125.0,12,,47.0,-,1,1,-,2,-,-,-,6,59,-,,-,1,10,23.0,0.77,,66.7%,6.0,1,2,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
3,,"Brad
                
                  Takairangi",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,16.0,,5.0,46.0,-,,8.0,-,-,1,-,-,-,-,-,1,8,-,,-,1,3,7.0,0.6,,81.8%,9.0,1,1,-,-,,1,6,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
4,,"Ryan
                
                  Morgan",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,33.0,,8.0,55.0,-,,10.0,1,-,-,-,2,-,-,-,-,-,-,,-,-,3,12.0,0.38,,75%,15.0,2,3,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Eels,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
5,,"Corey
                
                  Norman",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,58.0,,12.0,150.0,12,,30.0,2,-,-,-,5,-,-,-,-,-,-,,1,10,29,43.0,2.42,,68.2%,15.0,3,4,-,-,,5,182,-,-,2,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
6,,"Chris
                
                  Sandow",7.0,Halfback,,80:00,,10,-,4,4,1,100%,-,,64.0,,9.0,46.0,-,,3.0,-,2,1,-,2,-,-,-,1,10,-,,1,11,33,51.0,3.67,,77.3%,17.0,4,1,-,-,,16,499,1,1,2,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Eels,12,2015-05-29T09:45:00Z,Panthers vs Eels,2015
