,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Josh
                
                  Hoffman",1.0,Fullback,,79:00,,-,-,-,-,-,-,-,,36.0,,13.0,131.0,42,,52.0,-,-,-,-,3,-,-,-,-,-,-,,-,-,5,17.0,0.38,,88.9%,8.0,1,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,79:00,-,Titans,12,2015-05-30T05:00:00Z,Titans vs Rabbitohs,2015
1,,"Anthony
                
                  Don",2.0,Winger,,79:00,,8,2,-,-,-,-,-,,36.0,,11.0,103.0,11,,21.0,2,-,-,-,-,-,-,-,-,-,-,,-,-,-,14.0,-,,80%,4.0,1,-,-,2,,1,8,-,-,1,-,-,-,,-,-,-,1,-,-,-,,79:00,-,Titans,12,2015-05-30T05:00:00Z,Titans vs Rabbitohs,2015
2,,"James
                
                  Roberts",3.0,Centre,,79:00,,4,1,-,-,-,-,-,,38.0,,7.0,74.0,-,,14.0,1,1,1,-,3,-,-,-,3,24,-,,1,3,6,10.0,0.86,,100%,7.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,3,-,-,-,,79:00,-,Titans,12,2015-05-30T05:00:00Z,Titans vs Rabbitohs,2015
3,,"Brad
                
                  Tighe",19.0,Centre,,79:00,,-,-,-,-,-,-,-,,9.0,,5.0,31.0,-,,8.0,-,-,-,-,-,-,-,-,1,1,-,,-,1,11,14.0,2.2,,76.9%,10.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,79:00,-,Titans,12,2015-05-30T05:00:00Z,Titans vs Rabbitohs,2015
4,,"Kevin
                
                  Gordon",5.0,Winger,,79:00,,-,-,-,-,-,-,-,,17.0,,14.0,107.0,31,,43.0,-,-,-,-,-,1,-,-,-,-,-,,-,2,2,17.0,0.14,,100%,5.0,-,-,-,2,,1,3,-,-,-,-,-,-,,-,-,-,-,-,-,-,,79:00,-,Titans,12,2015-05-30T05:00:00Z,Titans vs Rabbitohs,2015
5,,"Aidan
                
                  Sezer",6.0,Five-Eighth,,79:00,,4,-,2,3,-,66.67%,-,,42.0,,11.0,95.0,-,,21.0,-,1,1,-,-,-,-,-,-,-,1,,1,7,24,37.0,2.18,,77.8%,14.0,4,-,-,-,,7,295,1,3,-,-,1,2,,-,-,-,-,-,-,-,,79:00,-,Titans,12,2015-05-30T05:00:00Z,Titans vs Rabbitohs,2015
6,,"Kane
                
                  Elgey",7.0,Halfback,,79:00,,-,-,-,-,-,-,-,,24.0,,6.0,49.0,-,,11.0,-,-,-,-,1,-,-,-,-,-,-,,1,4,24,32.0,4,,72.2%,13.0,3,2,-,3,,4,119,-,-,1,-,1,-,,-,-,-,-,-,-,-,,79:00,-,Titans,12,2015-05-30T05:00:00Z,Titans vs Rabbitohs,2015
7,,"Luke
                
                  Douglas",8.0,Prop,,40:00,,-,-,-,-,-,-,-,,39.0,,8.0,75.0,-,,27.0,-,-,-,-,-,8,-,-,-,-,-,,1,1,6,14.0,0.75,,91.9%,34.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,40:00,-,Titans,12,2015-05-30T05:00:00Z,Titans vs Rabbitohs,2015
8,,"Daniel
                
                  Mortimer",17.0,Hooker,,38:00,,-,-,-,-,-,-,-,,32.0,,3.0,23.0,-,,6.0,-,-,-,-,-,1,-,-,2,16,-,,-,1,36,40.0,12,,84.4%,38.0,5,2,-,-,,1,44,-,-,-,-,-,-,,-,-,-,-,-,-,-,,38:00,-,Titans,12,2015-05-30T05:00:00Z,Titans vs Rabbitohs,2015
9,,"Nate
                
                  Myles",10.0,Prop,,50:00,,-,-,-,-,-,-,-,,41.0,,6.0,69.0,22,,25.0,-,-,-,-,-,4,-,-,-,-,-,,-,1,2,8.0,0.33,,95.3%,41.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,50:00,-,Titans,12,2015-05-30T05:00:00Z,Titans vs Rabbitohs,2015
