,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Valentine
                
                  Holmes",2.0,Fullback,,80:00,,-,-,-,-,-,-,-,,24.0,,16.0,144.0,20,,61.0,-,-,-,-,3,-,-,-,5,47,-,,-,1,2,17.0,0.12,,50%,2.0,1,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,13,2015-06-07T06:00:00Z,Sharks vs Roosters,2015
1,,"Sosaia
                
                  Feki",18.0,Winger,,80:00,,-,-,-,-,-,-,-,,31.0,,13.0,164.0,-,,64.0,1,-,-,-,3,1,-,-,2,13,-,,-,-,2,16.0,0.15,,100%,1.0,-,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Sharks,13,2015-06-07T06:00:00Z,Sharks vs Roosters,2015
2,,"Gerard
                
                  Beale",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,17.0,,10.0,93.0,-,,44.0,-,-,-,-,1,-,-,-,-,-,1,,-,-,7,13.0,0.7,,77.8%,7.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,13,2015-06-07T06:00:00Z,Sharks vs Roosters,2015
3,,"Blake
                
                  Ayshford",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,39.0,,13.0,153.0,-,,67.0,-,1,-,-,2,-,-,-,1,17,-,,-,1,3,19.0,0.23,,93.3%,14.0,-,1,-,-,,1,43,-,-,-,-,-,1,,-,-,-,-,-,-,-,,80:00,-,Sharks,13,2015-06-07T06:00:00Z,Sharks vs Roosters,2015
4,,"Michael
                
                  Gordon",5.0,Winger,,80:00,,6,-,1,1,2,100%,-,,44.0,,18.0,145.0,27,,56.0,-,-,-,-,6,-,-,-,-,-,-,,-,2,8,28.0,0.44,,66.7%,2.0,-,1,-,4,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Sharks,13,2015-06-07T06:00:00Z,Sharks vs Roosters,2015
5,,"Jack
                
                  Bird",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,36.0,,12.0,120.0,-,,43.0,-,-,-,-,3,-,-,-,2,24,-,,-,3,26,36.0,2.17,,87.5%,21.0,3,-,-,-,,3,15,-,-,3,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,13,2015-06-07T06:00:00Z,Sharks vs Roosters,2015
6,,"Jeff
                
                  Robson",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,36.0,,5.0,26.0,-,,1.0,-,1,1,-,-,-,-,-,-,-,-,,2,4,35,48.0,7,,87%,20.0,2,1,-,-,,9,182,1,3,2,-,3,1,,-,-,-,1,-,-,-,,80:00,-,Sharks,13,2015-06-07T06:00:00Z,Sharks vs Roosters,2015
7,,"Andrew
                
                  Fifita",8.0,Prop,,34:00,,-,-,-,-,-,-,-,,46.0,,17.0,133.0,-,,54.0,-,-,-,-,4,16,-,-,-,-,-,,1,-,2,17.0,0.12,,90.5%,19.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,34:00,-,Sharks,13,2015-06-07T06:00:00Z,Sharks vs Roosters,2015
8,,"Michael
                
                  Ennis",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,45.0,,11.0,56.0,-,,2.0,-,1,-,-,-,1,-,-,9,37,-,,-,14,143,147.0,13,,92.5%,37.0,2,1,-,-,,5,109,-,-,2,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Sharks,13,2015-06-07T06:00:00Z,Sharks vs Roosters,2015
9,,"Matt
                
                  Prior",10.0,Prop,,19:00,,-,-,-,-,-,-,-,,10.0,,5.0,39.0,-,,16.0,-,-,-,-,-,5,-,-,-,-,-,,-,-,-,5.0,-,,77.8%,7.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,19:00,-,Sharks,13,2015-06-07T06:00:00Z,Sharks vs Roosters,2015
