,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sharks vs Roosters,2015
1,Interchange - Sin Bin Return,Roger Tuivasa-Sheck,,,,Roosters,79:09,Sharks vs Roosters,2015
2,Interchange - Sin Bin Return,Sam Tagataese,,,,Sharks,78:13,Sharks vs Roosters,2015
3,Penalty Shot-Made,Michael Gordon,,,10-4,Sharks,78:05,Sharks vs Roosters,2015
4,Penalties - Other,James Maloney,,,,Roosters,76:10,Sharks vs Roosters,2015
5,Line Dropout,James Maloney,,,,Roosters,76:10,Sharks vs Roosters,2015
6,Penalty - 2nd Effort,Sosaia Feki,,,,Sharks,72:05,Sharks vs Roosters,2015
7,Linebreak,Daniel Tupou,,,,Roosters,69:39,Sharks vs Roosters,2015
8,Interchange - Sin Bin Return,Jayson Bukuya,,,,Sharks,67:27,Sharks vs Roosters,2015
9,Penalty Shot-Made,Michael Gordon,,,8-4,Sharks,64:12,Sharks vs Roosters,2015
10,Penalty - Holding Down,Sam Moa,,,,Roosters,62:53,Sharks vs Roosters,2015
11,Interchange - Sin Bin Return,Shaun Kenny-Dowall,,,,Roosters,61:23,Sharks vs Roosters,2015
12,Kick Bomb,Jeff Robson,,,,Sharks,61:19,Sharks vs Roosters,2015
13,Kick Bomb,Mitchell Pearce,,,,Roosters,58:21,Sharks vs Roosters,2015
14,Kick Bomb,Mitchell Pearce,,,,Roosters,56:20,Sharks vs Roosters,2015
15,Penalties - Other,Paul Gallen,,,,Sharks,54:58,Sharks vs Roosters,2015
16,Penalty - Crowding,Sam Moa,,,,Roosters,54:25,Sharks vs Roosters,2015
17,Penalty - Holding Down,Mitchell Pearce,,,,Roosters,53:43,Sharks vs Roosters,2015
18,Kick Bomb,Mitchell Pearce,,,,Roosters,52:49,Sharks vs Roosters,2015
19,Kick Bomb,Jeff Robson,,,,Sharks,52:06,Sharks vs Roosters,2015
20,Linebreak,Chris Heighington,,,,Sharks,49:50,Sharks vs Roosters,2015
21,Penalty - Working on the Ground,Aidan Guerra,,,,Roosters,49:05,Sharks vs Roosters,2015
22,Kick Bomb,James Maloney,,,,Roosters,48:41,Sharks vs Roosters,2015
23,Conversion-Made,Michael Gordon,,,6-4,Sharks,46:28,Sharks vs Roosters,2015
24,Try,Luke Lewis,,,4-4,Sharks,44:59,Sharks vs Roosters,2015
25,Linebreak,Luke Lewis,,,,Sharks,44:57,Sharks vs Roosters,2015
26,Kick Bomb,Jeff Robson,,,,Sharks,43:03,Sharks vs Roosters,2015
27,Interchange - Sin Bin Return,Dylan Napa,,,,Roosters,41:37,Sharks vs Roosters,2015
28,Linebreak,Siosiua Taukeiaho,,,,Roosters,41:34,Sharks vs Roosters,2015
29,Interchange - Sin Bin Return,Mitchell Aubusson,,,,Roosters,37:33,Sharks vs Roosters,2015
30,Interchange - Sin Bin Return,James Maloney,,,,Roosters,34:16,Sharks vs Roosters,2015
31,Penalty - Crowding,Chris Heighington,,,,Sharks,33:34,Sharks vs Roosters,2015
32,Interchange - Sin Bin Return,Michael Gordon,,,,Sharks,29:15,Sharks vs Roosters,2015
33,Penalty - Marker Not Square,Jake Friend,,,,Roosters,28:28,Sharks vs Roosters,2015
34,Interchange - Sin Bin Return,Siosiua Taukeiaho,,,,Roosters,27:58,Sharks vs Roosters,2015
35,Penalty - Slow Peel,Sam Tagataese,,,,Sharks,25:13,Sharks vs Roosters,2015
36,Line Dropout,Valentine Holmes,,,,Sharks,23:03,Sharks vs Roosters,2015
37,Penalty - Obstruction,Jeff Robson,,,,Sharks,21:21,Sharks vs Roosters,2015
38,Interchange - Sin Bin Return,Michael Ennis,,,,Sharks,19:37,Sharks vs Roosters,2015
39,Interchange - Sin Bin Return,Jake Friend,,,,Roosters,18:27,Sharks vs Roosters,2015
40,Conversion-Missed,James Maloney,,,,Roosters,16:51,Sharks vs Roosters,2015
41,Try,James Maloney,,,0-4,Roosters,15:21,Sharks vs Roosters,2015
42,Interchange - Sin Bin Return,Isaac Liu,,,,Roosters,12:18,Sharks vs Roosters,2015
43,Linebreak,Sosaia Feki,,,,Sharks,10:59,Sharks vs Roosters,2015
44,Interchange - Sin Bin Return,Daniel Tupou,,,,Roosters,07:15,Sharks vs Roosters,2015
45,Interchange - Sin Bin Return,Wade Graham,,,,Sharks,06:56,Sharks vs Roosters,2015
46,Penalty - Slow Peel,Sam Moa,,,,Roosters,05:43,Sharks vs Roosters,2015
47,Kick Bomb,Mitchell Pearce,,,,Roosters,05:25,Sharks vs Roosters,2015
48,Penalty - Working on the Ground,Jared Waerea-Hargreaves,,,,Roosters,03:11,Sharks vs Roosters,2015
49,Interchange - Sin Bin Return,Jake Friend,,,,Roosters,02:33,Sharks vs Roosters,2015
50,Penalty - Crowding,Wade Graham,,,,Sharks,02:09,Sharks vs Roosters,2015
51,KICK OFF,,,,,,00:00,Sharks vs Roosters,2015
