,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Warriors vs Roosters,2015
1,Conversion-Missed,James Maloney,,,,Roosters,80:00,Warriors vs Roosters,2015
2,Video Referee,Try,,,,Roosters,79:07,Warriors vs Roosters,2015
3,Try,Blake Ferguson,,,21-25,Roosters,79:07,Warriors vs Roosters,2015
4,Linebreak,Blake Ferguson,,,,Roosters,79:07,Warriors vs Roosters,2015
5,Line Dropout,Shaun Johnson,,,,Warriors,78:35,Warriors vs Roosters,2015
6,Interchange - Sin Bin Return,Jonathan Wright,,,,Warriors,77:54,Warriors vs Roosters,2015
7,Drop Goal-Missed,Roger Tuivasa-Sheck,,,,Roosters,77:50,Warriors vs Roosters,2015
8,Drop Goal-Made,Shaun Johnson,,,21-21,Warriors,75:57,Warriors vs Roosters,2015
9,Interchange - Sin Bin Return,Blake Ferguson,,,,Roosters,75:07,Warriors vs Roosters,2015
10,Drop Goal-Made,James Maloney,,,20-21,Roosters,74:44,Warriors vs Roosters,2015
11,Penalty - Holding Down,Sebastine Ikahihifo,,,,Warriors,73:22,Warriors vs Roosters,2015
12,Conversion-Made,James Maloney,,,20-20,Roosters,72:22,Warriors vs Roosters,2015
13,Try,James Maloney,,,20-18,Roosters,70:59,Warriors vs Roosters,2015
14,Linebreak,James Maloney,,,,Roosters,70:58,Warriors vs Roosters,2015
15,Kick Bomb,James Maloney,,,,Roosters,70:33,Warriors vs Roosters,2015
16,Interchange - Sin Bin Return,Solomone Kata,,,,Warriors,63:30,Warriors vs Roosters,2015
17,Kick Bomb,Jackson Hastings,,,,Roosters,60:13,Warriors vs Roosters,2015
18,Interchange - Sin Bin Return,Willie Manu,,,,Roosters,57:51,Warriors vs Roosters,2015
19,Penalty Shot-Made,James Maloney,,,20-14,Roosters,54:59,Warriors vs Roosters,2015
20,Penalty - Ball Strip,Nathan Friend,,,,Warriors,53:43,Warriors vs Roosters,2015
21,Penalty - Slow Peel,Bodene Thompson,,,,Warriors,52:17,Warriors vs Roosters,2015
22,Kick Bomb,James Maloney,,,,Roosters,51:37,Warriors vs Roosters,2015
23,Conversion-Made,James Maloney,,,20-12,Roosters,50:17,Warriors vs Roosters,2015
24,Video Referee,Try,,,,Roosters,49:03,Warriors vs Roosters,2015
25,Try,Brendan Elliot,,,20-10,Roosters,49:03,Warriors vs Roosters,2015
26,Kick Bomb,James Maloney,,,,Roosters,46:10,Warriors vs Roosters,2015
27,Kick Bomb,Shaun Johnson,,,,Warriors,45:15,Warriors vs Roosters,2015
28,Conversion-Made,Shaun Johnson,,,20-6,Warriors,43:56,Warriors vs Roosters,2015
29,Video Referee,Try,,,,Warriors,42:40,Warriors vs Roosters,2015
30,Try,Solomone Kata,,,18-6,Warriors,42:40,Warriors vs Roosters,2015
31,Linebreak,Konrad Hurrell,,,,Warriors,42:27,Warriors vs Roosters,2015
32,Conversion-Made,James Maloney,,,14-6,Roosters,40:00,Warriors vs Roosters,2015
33,Video Referee,Try,,,,Roosters,39:28,Warriors vs Roosters,2015
34,Try,Shaun Kenny-Dowall,,,14-4,Roosters,39:28,Warriors vs Roosters,2015
35,Interchange - Sin Bin Return,Tuimoala Lolohea,,,,Warriors,39:27,Warriors vs Roosters,2015
36,Conversion-Missed,Shaun Johnson,,,,Warriors,36:35,Warriors vs Roosters,2015
37,Try,Manu Vatuvei,,,14-0,Warriors,34:47,Warriors vs Roosters,2015
38,Linebreak,Manu Vatuvei,,,,Warriors,34:47,Warriors vs Roosters,2015
39,Line Dropout,James Maloney,,,,Roosters,34:06,Warriors vs Roosters,2015
40,Interchange - Sin Bin Return,Roger Tuivasa-Sheck,,,,Roosters,33:22,Warriors vs Roosters,2015
41,Conversion-Made,Shaun Johnson,,,10-0,Warriors,32:04,Warriors vs Roosters,2015
42,Try,Tuimoala Lolohea,,,8-0,Warriors,30:38,Warriors vs Roosters,2015
43,Linebreak,Solomone Kata,,,,Warriors,30:31,Warriors vs Roosters,2015
44,Conversion-Missed,Shaun Johnson,,,,Warriors,29:13,Warriors vs Roosters,2015
45,Try,Solomone Kata,,,4-0,Warriors,27:24,Warriors vs Roosters,2015
46,Linebreak,Solomone Kata,,,,Warriors,27:24,Warriors vs Roosters,2015
47,Penalty - Offside inside 10m,Kane Evans,,,,Roosters,25:50,Warriors vs Roosters,2015
48,Kick Bomb,Jackson Hastings,,,,Roosters,24:51,Warriors vs Roosters,2015
49,Penalty - Dangerous Tackle,Ken Maumalo,,,,Warriors,23:33,Warriors vs Roosters,2015
50,Interchange - Sin Bin Return,Manu Vatuvei,,,,Warriors,20:33,Warriors vs Roosters,2015
51,Penalty - Marker Not Square,Dylan Napa,,,,Roosters,19:55,Warriors vs Roosters,2015
52,Penalty - Holding Down,James Maloney,,,,Roosters,19:23,Warriors vs Roosters,2015
53,Kick Bomb,Shaun Johnson,,,,Warriors,18:55,Warriors vs Roosters,2015
54,Penalty - Dangerous Tackle,Brendan Elliot,,,,Roosters,17:32,Warriors vs Roosters,2015
55,Kick Bomb,Jackson Hastings,,,,Roosters,17:28,Warriors vs Roosters,2015
56,Interchange - Sin Bin Return,Raymond Faitala-Mariner,,,,Warriors,15:58,Warriors vs Roosters,2015
57,Line Dropout,James Maloney,,,,Roosters,15:22,Warriors vs Roosters,2015
58,Line Dropout,James Maloney,,,,Roosters,10:53,Warriors vs Roosters,2015
59,Penalty - Crowding,James Maloney,,,,Roosters,08:36,Warriors vs Roosters,2015
60,Line Dropout,James Maloney,,,,Roosters,07:19,Warriors vs Roosters,2015
61,Penalty - 2nd Effort,Bodene Thompson,,,,Warriors,02:29,Warriors vs Roosters,2015
62,Kick Bomb,Shaun Johnson,,,,Warriors,01:39,Warriors vs Roosters,2015
63,Kick Bomb,James Maloney,,,,Roosters,00:53,Warriors vs Roosters,2015
64,KICK OFF,,,,,,00:00,Warriors vs Roosters,2015
