,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Dallin
                
                  Watene-Zelezniak",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,64.0,,20.0,172.0,70,,61,-,-,-,-,8,-,-,-,-,-,-,,-,-,8,29.0,0.4,,90.9%,10.0,1,-,-,2,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Panthers,17,2015-07-03T09:45:00Z,Panthers vs Rabbitohs,2015
1,,"David
                
                  Simmons",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,14.0,,17.0,114.0,9,,27,-,-,-,-,-,2,-,-,1,10,-,,-,-,1,20.0,0.06,,50%,1.0,1,-,1,4,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,17,2015-07-03T09:45:00Z,Panthers vs Rabbitohs,2015
2,,"Dean
                
                  Whare",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,37.0,,10.0,100.0,-,,27,1,-,-,-,1,-,-,-,-,-,-,,-,-,12,14.0,1.2,,84.2%,16.0,2,1,-,-,,1,15,-,-,1,-,-,1,,-,-,-,-,-,-,-,,80:00,-,Panthers,17,2015-07-03T09:45:00Z,Panthers vs Rabbitohs,2015
3,,"Isaah
                
                  Yeo",11.0,Centre,,80:00,,-,-,-,-,-,-,-,,28.0,,11.0,105.0,-,,47,-,1,1,-,-,3,-,-,-,-,-,,2,-,4,13.0,0.36,,86.7%,13.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Panthers,17,2015-07-03T09:45:00Z,Panthers vs Rabbitohs,2015
4,,"Waqa
                
                  Blake",4.0,Winger,,80:00,,4,1,-,-,-,-,-,,39.0,,10.0,79.0,-,,27,1,-,1,-,2,2,-,-,1,3,-,,2,-,3,15.0,0.3,,100%,5.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Panthers,17,2015-07-03T09:45:00Z,Panthers vs Rabbitohs,2015
5,,"Jamie
                
                  Soward",6.0,Five-Eighth,,80:00,,-,-,-,1,-,-,-,,30.0,,7.0,44.0,-,,4,-,-,1,-,1,-,-,-,-,-,-,,-,1,31,46.0,4.43,,77.8%,7.0,2,-,-,1,,11,296,2,1,2,-,1,-,,-,1,-,-,-,-,-,,80:00,-,Panthers,17,2015-07-03T09:45:00Z,Panthers vs Rabbitohs,2015
6,,"Peter
                
                  Wallace",7.0,Halfback,,80:00,,4,1,-,1,-,-,-,,46.0,,1.0,10.0,-,,-,-,1,1,-,-,-,-,-,-,-,-,,-,2,41,50.0,41,,83.3%,25.0,4,1,-,-,,7,243,1,2,1,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Panthers,17,2015-07-03T09:45:00Z,Panthers vs Rabbitohs,2015
7,,"Nigel
                
                  Plum",8.0,Prop,,30:00,,-,-,-,-,-,-,-,,30.0,,11.0,115.0,40,,34,-,-,-,-,2,8,-,-,-,-,-,,-,1,1,12.0,0.09,,86.4%,19.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,30:00,-,Panthers,17,2015-07-03T09:45:00Z,Panthers vs Rabbitohs,2015
8,,"Apisai
                
                  Koroisau",9.0,Hooker,,65:00,,4,-,1,2,1,66.67%,-,,32.0,,4.0,9.0,-,,4,-,-,-,-,-,-,-,-,2,3,-,,-,8,93,95.0,23.25,,81.8%,36.0,5,3,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,65:00,-,Panthers,17,2015-07-03T09:45:00Z,Panthers vs Rabbitohs,2015
9,,"Reagan
                
                  Campbell-Gillard",10.0,Prop,,35:00,,-,-,-,-,-,-,-,,27.0,,11.0,133.0,19,,68,-,-,-,-,2,10,-,-,-,-,-,,-,1,-,11.0,-,,80%,12.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,35:00,-,Panthers,17,2015-07-03T09:45:00Z,Panthers vs Rabbitohs,2015
