,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Darius
                
                  Boyd",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,53.0,,17.0,165.0,34,,47.0,1,1,2,-,5,1,-,-,2,17,-,,-,4,8,23.0,0.47,,80%,4,1,-,-,4,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Broncos,19,2015-07-19T06:00:00Z,Broncos vs Wests Tigers,2015
1,,"Lachlan
                
                  Maranta",2.0,Winger,,80:00,,12,3,-,-,-,-,-,,50.0,,12.0,137.0,-,,21.0,1,-,-,-,1,2,-,-,-,-,-,,-,1,2,15.0,0.17,,100%,5,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,19,2015-07-19T06:00:00Z,Broncos vs Wests Tigers,2015
2,,"Jack
                
                  Reed",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,37.0,,8.0,93.0,-,,35.0,-,-,-,-,3,-,-,-,-,-,-,,-,1,4,11.0,0.5,,88.2%,15,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Broncos,19,2015-07-19T06:00:00Z,Broncos vs Wests Tigers,2015
3,,"Justin
                
                  Hodges",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,37.0,,16.0,130.0,-,,53.0,-,2,1,-,3,-,-,-,12,100,-,,3,2,10,26.0,0.62,,66.7%,8,3,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Broncos,19,2015-07-19T06:00:00Z,Broncos vs Wests Tigers,2015
4,,"Jordan
                
                  Kahu",5.0,Winger,,61:00,,2,-,1,2,-,50%,-,,14.0,,8.0,62.0,28,,16.0,-,-,-,-,1,-,-,-,-,-,-,,-,1,2,12.0,0.25,,100%,1,-,-,-,2,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,61:00,-,Broncos,19,2015-07-19T06:00:00Z,Broncos vs Wests Tigers,2015
5,,"Anthony
                
                  Milford",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,40.0,,10.0,78.0,-,,22.0,-,1,2,-,1,-,-,-,1,7,-,,1,5,20,33.0,2,,81.2%,13,3,-,-,2,,5,153,1,-,3,-,-,-,,-,2,-,-,-,-,-,,80:00,-,Broncos,19,2015-07-19T06:00:00Z,Broncos vs Wests Tigers,2015
6,,"Ben
                
                  Hunt",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,68.0,,13.0,117.0,-,,12.0,1,-,-,-,7,-,-,-,-,-,-,,1,9,38,52.0,2.92,,83.3%,20,2,2,-,-,,9,296,-,2,1,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,19,2015-07-19T06:00:00Z,Broncos vs Wests Tigers,2015
7,,"Sam
                
                  Thaiday",8.0,Prop,,57:00,,-,-,-,-,-,-,-,,43.0,,10.0,97.0,9,,42.0,-,-,-,-,2,6,-,-,1,9,-,,-,2,9,16.0,0.9,,91.4%,32,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,57:00,-,Broncos,19,2015-07-19T06:00:00Z,Broncos vs Wests Tigers,2015
8,,"Andrew
                
                  McCullough",9.0,Hooker,,72:00,,-,-,-,-,-,-,-,,59.0,,5.0,28.0,7,,11.0,-,1,1,-,-,3,-,-,1,4,-,,-,1,71,75.0,14.2,,96%,48,1,1,-,-,,2,85,-,-,-,-,-,-,,-,-,-,-,-,-,-,,72:00,-,Broncos,19,2015-07-19T06:00:00Z,Broncos vs Wests Tigers,2015
9,,"Adam
                
                  Blair",10.0,Prop,,59:00,,-,-,-,-,-,-,-,,51.0,,13.0,113.0,27,,39.0,-,1,1,-,-,10,-,-,-,-,-,,1,1,4,16.0,0.31,,90.9%,30,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,59:00,-,Broncos,19,2015-07-19T06:00:00Z,Broncos vs Wests Tigers,2015
