,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Corey
                
                  Norman",1.0,Fullback,,60:00,,-,-,-,-,-,-,-,,40.0,,17.0,153.0,58,,42,1,-,-,-,4,-,-,-,1,16,-,,1,2,19,35.0,1.12,,83.3%,5.0,1,-,-,4,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,60:00,-,Eels,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
1,,"Semi
                
                  Radradra",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,43.0,,17.0,151.0,9,,39,1,-,-,-,3,-,-,-,-,-,-,,1,1,1,19.0,0.06,,66.7%,4.0,-,2,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
2,,"Will
                
                  Hopoate",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,36.0,,17.0,157.0,9,,44,-,1,-,-,4,-,-,-,7,78,-,,1,2,11,28.0,0.65,,83.3%,5.0,1,-,-,1,,1,25,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
3,,"Brad
                
                  Takairangi",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,32.0,,12.0,128.0,-,,42,-,-,-,-,2,-,-,-,-,-,-,,3,1,13,21.0,1.08,,76.9%,10.0,1,2,-,-,,1,12,1,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
4,,"Ryan
                
                  Morgan",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,33.0,,7.0,62.0,-,,22,-,-,-,-,3,1,-,-,-,-,-,,-,-,4,13.0,0.57,,85.7%,18.0,-,3,-,-,,1,18,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
5,,"Luke
                
                  Kelly",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,26.0,,5.0,21.0,-,,-,-,1,-,-,-,-,-,-,-,-,-,,-,11,43,54.0,8.6,,80%,20.0,2,3,-,-,,9,202,1,3,1,-,2,-,,-,1,-,2,-,-,-,,80:00,-,Eels,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
6,,"Chris
                
                  Sandow",7.0,Halfback,,80:00,,-,-,-,1,-,-,-,,1.0,,2.0,5.0,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,2,38,45.0,19,,46.2%,6.0,6,1,-,-,,8,142,-,4,-,-,2,-,,-,1,-,-,-,-,-,,80:00,-,Eels,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
7,,"Junior
                
                  Paulo",8.0,Prop,,52:00,,-,-,-,-,-,-,-,,66.0,,20.0,203.0,55,,62,-,1,1,-,3,14,-,-,-,-,-,,3,1,3,21.0,0.15,,93.3%,28.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,52:00,-,Eels,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
8,,"Nathan
                
                  Peats",19.0,Hooker,,80:00,,-,-,-,-,-,-,-,,65.0,,6.0,68.0,-,,14,-,-,-,-,2,1,-,-,4,49,-,,-,3,90,97.0,15,,90.6%,58.0,3,3,-,-,,1,38,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
9,,"Tim
                
                  Mannah",10.0,Prop,,59:00,,-,-,-,-,-,-,-,,66.0,,15.0,136.0,-,,46,-,-,-,-,1,15,-,-,-,-,-,,2,2,1,16.0,0.07,,94.1%,48.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,59:00,-,Eels,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
10,,"Manu
                
                  Ma'u",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,41.0,,14.0,108.0,-,,36,-,-,-,-,1,13,-,-,-,-,-,,2,-,2,15.0,0.14,,84.8%,28.0,1,4,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Eels,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
11,,"Tepai
                
                  Moeroa",12.0,2nd Row,,68:00,,-,-,-,-,-,-,-,,33.0,,5.0,52.0,-,,20,-,-,-,-,-,5,-,-,-,-,-,,1,-,-,5.0,-,,82.9%,34.0,4,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,68:00,-,Eels,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
12,,"Anthony
                
                  Watmough",13.0,Lock,,46:00,,-,-,-,-,-,-,-,,44.0,,10.0,134.0,-,,25,1,-,-,-,2,9,-,-,-,-,-,,-,-,3,12.0,0.3,,100%,23.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,46:00,-,Eels,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
13,,"Darcy
                
                  Lussick",14.0,Interchange,,42:00,,-,-,-,-,-,-,-,,29.0,,7.0,70.0,-,,23,-,-,-,-,-,7,-,-,-,-,-,,1,-,-,7.0,-,,85.7%,24.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,42:00,-,Eels,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
14,,"Pauli
                
                  Pauli",15.0,Interchange,,12:00,,-,-,-,-,-,-,-,,16.0,,9.0,77.0,-,,41,-,-,-,-,1,9,-,-,-,-,-,,1,-,-,9.0,-,,85.7%,6.0,1,-,1,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,12:00,-,Eels,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
15,,"Danny
                
                  Wicks",16.0,Interchange,,19:00,,-,-,-,-,-,-,-,,18.0,,8.0,81.0,-,,30,-,-,-,-,-,8,-,-,-,-,-,,-,1,-,8.0,-,,85.7%,12.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,19:00,-,Eels,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
16,,"David
                
                  Gower",17.0,Interchange,,41:00,,-,-,-,-,-,-,-,,42.0,,10.0,99.0,-,,37,-,-,-,-,3,8,-,-,-,-,-,,2,3,7,14.0,0.7,,100%,22.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,1,-,-,,41:00,-,Eels,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
0,,"Brett
                
                  Morris",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,52.0,,13.0,242.0,151,,51.0,2,-,-,-,4,-,-,-,1,9,-,,2,-,18,30.0,1.38,,-,-,3,2,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
1,,"Curtis
                
                  Rona",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,32.0,,8.0,75.0,17,,28.0,1,-,-,-,1,-,-,-,-,-,-,,-,-,3,14.0,0.38,,87.5%,7,1,-,-,5,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
2,,"Josh
                
                  Morris",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,25.0,,10.0,121.0,-,,45.0,-,1,1,-,1,-,-,-,-,-,-,,1,1,3,13.0,0.3,,63.6%,7,3,1,-,-,,1,18,-,-,-,-,-,-,,-,3,-,-,-,-,-,,80:00,-,Bulldogs,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
3,,"Timoteo
                
                  Lafai",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,33.0,,7.0,79.0,-,,13.0,-,-,-,-,3,-,-,-,-,-,-,,1,2,9,12.0,1.29,,88.9%,16,-,2,-,1,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Bulldogs,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
4,,"Sam
                
                  Perrett",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,27.0,,8.0,74.0,13,,35.0,-,-,-,-,2,-,-,-,3,30,-,,-,1,4,16.0,0.5,,76.9%,10,-,3,-,4,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Bulldogs,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
5,,"Josh
                
                  Reynolds",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,69.0,,12.0,101.0,-,,16.0,1,1,1,-,2,-,-,-,2,13,-,,3,6,25,46.0,2.08,,86.2%,25,3,1,-,-,,12,344,-,2,3,-,1,2,,-,1,-,-,-,-,-,,80:00,-,Bulldogs,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
6,,"Trent
                
                  Hodkinson",7.0,Halfback,,80:00,,8,-,4,5,-,80%,-,,50.0,,4.0,48.0,5,,6.0,1,-,1,-,2,-,-,-,1,17,-,,1,1,25,31.0,6.25,,87.5%,21,2,1,-,-,,4,98,-,2,-,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
7,,"Aiden
                
                  Tolman",8.0,Prop,,62:00,,-,-,-,-,-,-,-,,53.0,,20.0,161.0,26,,57.0,-,-,-,-,1,18,-,-,-,-,-,,-,-,3,25.0,0.15,,92.7%,38,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,62:00,-,Bulldogs,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
8,,"Michael
                
                  Lichaa",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,63.0,,14.0,130.0,-,,30.0,-,-,-,-,-,-,-,-,10,77,-,,2,9,91,96.0,6.5,,94.1%,48,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
9,,"James
                
                  Graham",10.0,Prop,,45:00,,-,-,-,-,-,-,-,,34.0,,14.0,123.0,-,,41.0,-,1,-,-,-,11,-,-,-,-,-,,-,3,7,19.0,0.5,,100%,24,-,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,2,-,-,-,,45:00,-,Bulldogs,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
10,,"Josh
                
                  Jackson",11.0,2nd Row,,73:00,,4,1,-,-,-,-,-,,68.0,,16.0,170.0,-,,46.0,2,-,-,-,4,14,-,-,-,-,-,,1,5,6,20.0,0.38,,78%,39,6,5,-,-,,-,-,-,-,-,-,-,-,,-,-,-,3,-,-,-,,73:00,-,Bulldogs,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
11,,"Frank
                
                  Pritchard",12.0,2nd Row,,64:00,,8,2,-,-,-,-,-,,52.0,,14.0,145.0,-,,32.0,-,-,-,-,1,13,-,-,-,-,-,,-,-,7,22.0,0.5,,95.5%,21,1,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,64:00,-,Bulldogs,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
12,,"Greg
                
                  Eastwood",13.0,Lock,,59:00,,-,-,-,-,-,-,-,,35.0,,15.0,126.0,-,,41.0,-,-,-,-,1,13,-,-,-,-,-,,1,4,5,18.0,0.33,,85.7%,24,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,59:00,-,Bulldogs,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
13,,"Sam
                
                  Kasiano",14.0,Interchange,,17:00,,-,-,-,-,-,-,-,,18.0,,4.0,42.0,-,,14.0,-,-,-,-,1,4,-,-,-,-,-,,2,1,-,5.0,-,,76.5%,13,3,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,17:00,-,Bulldogs,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
14,,"Shaun
                
                  Lane",15.0,Interchange,,23:00,,-,-,-,-,-,-,-,,18.0,,5.0,62.0,-,,25.0,-,1,-,-,-,5,-,-,-,-,-,,2,2,-,5.0,-,,85.7%,6,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:00,-,Bulldogs,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
15,,"David
                
                  Klemmer",16.0,Interchange,,32:00,,-,-,-,-,-,-,-,,30.0,,10.0,109.0,24,,53.0,-,-,-,-,1,8,-,-,-,-,-,,1,-,1,12.0,0.1,,85%,17,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,32:00,-,Bulldogs,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
16,,"Tim
                
                  Browne",22.0,Interchange,,25:00,,-,-,-,-,-,-,-,,27.0,,7.0,60.0,11,,22.0,-,-,-,-,1,6,-,-,-,-,-,,2,1,2,9.0,0.29,,88.9%,16,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,25:00,-,Bulldogs,19,2015-07-17T09:35:00Z,Eels vs Bulldogs,2015
