,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Kurt
                
                  Gidley",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,61.0,,23.0,188.0,38,,58.0,-,-,-,-,4,1,-,-,-,-,-,,2,4,20,42.0,0.87,,100%,15.0,-,-,-,4,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
1,,"James
                
                  McManus",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,29.0,,6.0,53.0,-,,21.0,1,-,1,-,1,-,-,-,-,-,-,,-,-,3,7.0,0.5,,93.3%,14.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
2,,"Jake
                
                  Mamo",20.0,Centre,,80:00,,4,1,-,-,-,-,-,,29.0,,13.0,122.0,35,,34.0,-,-,-,-,2,-,-,-,2,12,-,,-,1,3,17.0,0.23,,80%,4.0,1,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
3,,"Dane
                
                  Gagai",4.0,Centre,,40:00,,-,-,-,-,-,-,-,,17.0,,8.0,75.0,-,,19.0,-,-,-,-,2,-,-,-,-,-,-,,-,-,1,9.0,0.12,,80%,4.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,40:00,-,Knights,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
4,,"Akuila
                
                  Uate",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,8.0,,8.0,54.0,9,,14.0,-,-,-,-,-,-,-,-,-,-,-,,1,-,2,10.0,0.25,,75%,3.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
5,,"Jarrod
                
                  Mullen",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,42.0,,4.0,38.0,-,,4.0,-,-,1,-,1,-,-,-,-,-,-,,-,7,37,57.0,9.25,,87.5%,7.0,1,-,-,-,,17,412,3,4,5,-,2,-,,-,-,-,1,-,-,-,,80:00,-,Knights,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
6,,"Tyrone
                
                  Roberts",7.0,Halfback,,80:00,,10,-,4,5,1,83.33%,-,,42.0,,7.0,46.0,-,,16.0,-,1,1,-,1,-,-,-,-,-,-,,2,6,36,47.0,5.14,,92.3%,12.0,1,-,-,-,,6,84,2,2,3,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
7,,"Kade
                
                  Snowden",8.0,Prop,,50:00,,-,-,-,-,-,-,-,,82.0,,23.0,170.0,20,,74.0,-,-,-,-,10,22,-,-,-,-,-,,4,1,4,27.0,0.17,,91.4%,32.0,1,2,-,-,,1,20,-,-,1,-,-,1,,-,-,-,2,-,-,-,,50:00,-,Knights,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
8,,"Tyler
                
                  Randell",9.0,Hooker,,15:00,,-,-,-,-,-,-,-,,15.0,,1.0,12.0,-,,2.0,-,-,-,-,1,-,-,-,1,12,-,,-,-,11,13.0,11,,92.9%,13.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,15:00,-,Knights,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
9,,"Korbin
                
                  Sims",10.0,Prop,,43:00,,-,-,-,-,-,-,-,,48.0,,18.0,196.0,58,,68.0,-,-,-,-,4,15,-,-,-,-,-,,1,-,-,18.0,-,,92%,23.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,2,-,-,-,,43:00,-,Knights,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
10,,"Beau
                
                  Scott",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,41.0,,9.0,85.0,-,,32.0,-,-,-,-,2,8,-,-,1,8,-,,2,4,7,16.0,0.78,,93.1%,27.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,1,1,-,-,-,,80:00,-,Knights,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
11,,"Tariq
                
                  Sims",12.0,2nd Row,,80:00,,4,1,-,-,-,-,-,,48.0,,18.0,165.0,-,,79.0,-,-,-,-,4,17,-,-,-,-,-,,-,-,-,19.0,-,,73.1%,19.0,2,5,-,1,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Knights,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
12,,"Jeremy
                
                  Smith",13.0,Lock,,60:00,,-,-,-,-,-,-,-,,35.0,,10.0,89.0,-,,34.0,-,-,-,-,-,10,-,-,-,-,-,,-,3,2,13.0,0.2,,91.2%,31.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,60:00,-,Knights,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
13,,"Danny
                
                  Levi",14.0,Interchange,,65:00,,4,1,-,-,-,-,-,,54.0,,6.0,42.0,-,,12.0,1,-,-,-,2,2,-,-,4,19,-,,-,2,131,134.0,21.83,,87.5%,35.0,2,3,-,-,,1,36,-,-,-,-,-,-,,-,1,-,-,-,-,-,,65:00,-,Knights,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
14,,"David
                
                  Fa'alogo",15.0,Interchange,,42:00,,-,-,-,-,-,-,-,,38.0,,20.0,192.0,39,,67.0,-,-,-,-,-,17,-,-,-,-,-,,1,1,2,23.0,0.1,,90.5%,19.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,42:00,-,Knights,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
15,,"Chris
                
                  Houston",17.0,Interchange,,50:00,,-,-,-,-,-,-,-,,36.0,,18.0,168.0,34,,73.0,-,-,-,-,3,16,-,-,-,-,-,,-,1,1,20.0,0.06,,83.3%,15.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,50:00,-,Knights,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
16,,"Clint
                
                  Newton",19.0,Interchange,,34:00,,-,-,-,-,-,-,-,,31.0,,7.0,67.0,-,,10.0,-,-,-,-,2,6,-,-,-,-,-,,1,-,4,10.0,0.57,,89.5%,17.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,34:00,-,Knights,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
0,,"Josh
                
                  Hoffman",6.0,Fullback,,80:00,,-,-,-,-,-,-,-,,30.0,,14.0,94.0,41,,23.0,-,-,-,-,4,-,-,-,1,3,-,,-,2,3,21.0,0.21,,72.7%,8.0,2,1,-,5,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
1,,"Anthony
                
                  Don",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,11.0,,6.0,32.0,4,,9.0,-,-,-,-,-,-,-,-,-,-,-,,-,-,2,12.0,0.33,,100%,5.0,-,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
2,,"James
                
                  Roberts",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,27.0,,9.0,74.0,-,,36.0,-,-,-,-,2,1,-,-,1,4,-,,-,3,4,13.0,0.44,,81.8%,18.0,2,2,-,-,,1,52,-,-,-,-,-,1,,-,-,-,1,-,-,-,,80:00,-,Titans,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
3,,"Nene
                
                  Macdonald",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,22.0,,14.0,127.0,-,,54.0,-,-,-,-,-,-,-,-,3,24,-,,1,1,7,20.0,0.5,,75%,12.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,-,,80:00,-,Titans,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
4,,"David
                
                  Mead",1.0,Winger,,80:00,,-,-,-,-,-,-,-,,19.0,,11.0,79.0,16,,21.0,-,-,-,-,-,1,-,-,3,22,-,,2,1,4,15.0,0.36,,100%,7.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Titans,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
5,,"Kane
                
                  Elgey",20.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,25.0,,3.0,4.0,-,,2.0,-,-,-,-,2,-,-,-,-,-,-,,-,3,17,24.0,5.67,,83.3%,20.0,3,1,-,-,,4,110,-,-,1,-,1,1,,-,1,-,-,-,-,-,,80:00,-,Titans,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
6,,"Daniel
                
                  Mortimer",7.0,Halfback,,70:00,,2,-,-,-,1,100%,-,,44.0,,7.0,24.0,-,,1.0,-,1,-,-,1,-,-,-,-,-,-,,3,3,18,31.0,2.57,,86.5%,32.0,5,-,-,-,,7,152,-,1,2,-,-,-,,-,1,-,-,-,-,-,,70:00,-,Titans,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
7,,"Luke
                
                  Douglas",8.0,Prop,,60:00,,-,-,-,-,-,-,-,,47.0,,17.0,158.0,-,,67.0,-,-,-,-,-,17,-,-,-,-,-,,1,-,7,24.0,0.41,,82.6%,38.0,4,4,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,60:00,-,Titans,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
8,,"Beau
                
                  Falloon",9.0,Hooker,,59:00,,-,-,-,-,-,-,-,,31.0,,2.0,12.0,-,,3.0,-,-,-,-,-,-,-,-,2,12,-,,-,-,55,58.0,27.5,,86.7%,39.0,3,3,-,-,,1,35,-,-,-,-,-,-,,-,-,-,2,-,-,-,,59:00,-,Titans,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
9,,"Nate
                
                  Myles",10.0,Prop,,37:00,,-,-,-,-,-,-,-,,34.0,,11.0,73.0,19,,29.0,-,-,-,-,-,7,-,-,-,-,-,,-,1,6,16.0,0.55,,100%,29.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,37:00,-,Titans,19,2015-07-18T07:30:00Z,Knights vs Titans,2015
