,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Sisa
                
                  Waqa",4.0,Fullback,,81:00,,-,-,-,-,-,-,-,,26.0,,19.0,120.0,43,,28.0,-,1,-,-,-,-,-,-,1,6,-,,3,3,10,28.0,0.53,,75%,6.0,2,-,-,4,,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,-,,81:00,-,Raiders,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
1,,"Edrick
                
                  Lee",2.0,Winger,,81:00,,8,2,-,-,-,-,-,,39.0,,16.0,139.0,25,,58.0,-,-,-,-,-,-,-,-,2,18,-,,3,-,10,26.0,0.62,,66.7%,2.0,1,-,-,4,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,81:00,-,Raiders,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
2,,"Jarrod
                
                  Croker",3.0,Centre,,81:00,,8,-,2,3,2,80%,-,,40.0,,9.0,75.0,-,,22.0,-,-,-,-,4,-,-,-,-,-,-,,-,-,5,16.0,0.56,,100%,15.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,81:00,-,Raiders,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
3,,"Joseph
                
                  Leilua",14.0,Centre,,81:00,,-,-,-,-,-,-,-,,18.0,,6.0,57.0,-,,19.0,-,-,-,-,2,-,-,-,-,-,-,,-,-,3,9.0,0.5,,81.2%,13.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,1,-,2,-,-,-,,81:00,-,Raiders,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
4,,"Jordan
                
                  Rapana",5.0,Winger,,81:00,,-,-,-,-,-,-,-,,22.0,,9.0,81.0,20,,28.0,-,-,-,-,1,-,-,-,2,16,-,,2,2,4,13.0,0.44,,77.8%,14.0,3,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,81:00,-,Raiders,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
5,,"Blake
                
                  Austin",6.0,Five-Eighth,,81:00,,-,-,-,-,-,-,-,,63.0,,8.0,93.0,-,,11.0,1,1,1,-,3,1,-,-,-,-,-,,2,4,17,30.0,2.12,,70.8%,17.0,2,5,-,-,,8,343,-,2,-,-,-,1,,-,-,-,-,-,-,-,,81:00,-,Raiders,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
6,,"Jack
                
                  Wighton",1.0,Halfback,,81:00,,-,-,-,-,-,-,-,,46.0,,8.0,62.0,-,,22.0,-,-,1,-,-,-,-,-,1,7,-,,2,2,13,27.0,1.62,,90.3%,28.0,3,-,-,1,,6,171,-,-,2,-,-,-,,-,-,-,-,-,-,-,,81:00,-,Raiders,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
7,,"Paul
                
                  Vaughan",8.0,Prop,,65:00,,-,-,-,-,-,-,-,,40.0,,11.0,116.0,9,,44.0,-,-,-,-,1,10,-,-,-,-,-,,-,-,1,12.0,0.09,,100%,26.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,65:00,-,Raiders,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
8,,"Josh
                
                  Hodgson",9.0,Hooker,,81:00,,-,-,-,-,-,-,-,,70.0,,7.0,59.0,-,,10.0,1,-,1,-,6,1,-,-,6,55,1,,-,7,69,76.0,9.86,,97.3%,36.0,1,-,-,-,,4,129,-,-,1,-,-,1,,-,-,-,1,-,-,-,,81:00,-,Raiders,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
9,,"David
                
                  Shillington",10.0,Prop,,52:00,,-,-,-,-,-,-,-,,60.0,,18.0,154.0,33,,51.0,-,-,-,-,-,14,-,-,-,-,-,,7,3,3,22.0,0.17,,100%,31.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,52:00,-,Raiders,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
10,,"Josh
                
                  Papalii",11.0,2nd Row,,81:00,,4,1,-,-,-,-,-,,55.0,,5.0,41.0,-,,14.0,1,-,-,-,3,5,-,-,-,-,-,,1,-,-,6.0,-,,91.4%,32.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,81:00,-,Raiders,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
11,,"Iosia
                
                  Soliola",12.0,2nd Row,,81:00,,-,-,-,-,-,-,-,,47.0,,14.0,138.0,-,,42.0,-,-,-,-,-,14,-,-,-,-,-,,1,2,5,20.0,0.36,,88%,44.0,4,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,81:00,-,Raiders,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
12,,"Shaun
                
                  Fensom",13.0,Lock,,61:00,,-,-,-,-,-,-,-,,53.0,,13.0,100.0,-,,37.0,-,-,-,-,1,11,-,-,-,-,-,,1,-,6,17.0,0.46,,95.7%,44.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,2,-,-,-,,61:00,-,Raiders,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
13,,"Kurt
                
                  Baptiste",7.0,Interchange,,25:00,,-,-,-,-,-,-,-,,9.0,,1.0,7.0,-,,1.0,-,-,-,-,-,-,-,-,1,7,-,,-,2,30,31.0,30,,81%,17.0,4,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,25:00,-,Raiders,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
14,,"Frank-Paul
                
                  Nuuausala",15.0,Interchange,,29:00,,-,-,-,-,-,-,-,,23.0,,8.0,87.0,-,,36.0,-,-,-,-,2,8,-,-,-,-,-,,-,-,1,9.0,0.12,,86.7%,13.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,29:00,-,Raiders,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
15,,"Jarrad
                
                  Kennedy",16.0,Interchange,,29:00,,-,-,-,-,-,-,-,,29.0,,12.0,99.0,-,,39.0,-,-,-,-,-,11,-,-,-,-,-,,-,-,1,13.0,0.08,,91.7%,22.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,29:00,-,Raiders,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
16,,"Shannon
                
                  Boyd",19.0,Interchange,,35:00,,-,-,-,-,-,-,-,,42.0,,11.0,112.0,16,,50.0,-,-,-,-,-,10,-,-,-,-,-,,-,-,-,11.0,-,,100%,31.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,1,-,-,,35:00,-,Raiders,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
0,,"Michael
                
                  Gordon",1.0,Fullback,,85:00,,8,-,2,3,2,80%,-,,48.0,,18.0,130.0,35,,40,-,1,1,-,3,-,-,-,1,21,-,,2,1,13,32.0,0.72,,87.5%,7,1,-,-,2,,-,-,-,-,-,-,-,-,,-,1,1,-,-,-,-,,85:00,-,Sharks,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
1,,"Sosaia
                
                  Feki",2.0,Winger,,85:00,,-,-,-,-,-,-,-,,32.0,,13.0,170.0,26,,47,2,-,-,-,1,2,-,-,-,-,-,,2,-,1,14.0,0.08,,-,-,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,85:00,-,Sharks,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
2,,"Gerard
                
                  Beale",3.0,Centre,,85:00,,-,-,-,-,-,-,-,,27.0,,14.0,135.0,-,,46,-,-,-,-,-,-,-,-,-,-,-,,-,1,2,15.0,0.14,,75%,18,2,4,-,-,,1,12,1,-,-,-,-,-,,-,1,-,-,-,-,-,,85:00,-,Sharks,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
3,,"Ricky
                
                  Leutele",4.0,Centre,,85:00,,4,1,-,-,-,-,-,,48.0,,15.0,165.0,-,,56,1,2,-,-,3,-,-,-,-,-,-,,1,1,9,20.0,0.6,,87.5%,7,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,85:00,-,Sharks,19,2015-07-18T05:00:00Z,Raiders vs Sharks,2015
