,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Michael
                
                  Morgan",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,18.0,,14.0,139.0,57,,27.0,-,-,-,-,1,-,-,-,-,-,-,,-,2,34,46.0,2.43,,42.9%,3.0,2,2,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,2,2015-03-14T10:00:00Z,Cowboys vs Knights,2015
1,,"Justin
                
                  O'Neill",2.0,Winger,,17:00,,-,-,-,-,-,-,-,,6.0,,3.0,30.0,-,,12.0,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,3.0,-,,100%,3.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,17:00,-,Cowboys,2,2015-03-14T10:00:00Z,Cowboys vs Knights,2015
2,,"Matthew
                
                  Wright",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,19.0,,12.0,94.0,5,,34.0,-,-,-,-,1,-,-,-,-,-,-,,-,-,-,12.0,-,,80%,8.0,-,2,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Cowboys,2,2015-03-14T10:00:00Z,Cowboys vs Knights,2015
3,,"Kane
                
                  Linnett",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,19.0,,13.0,113.0,-,,46.0,-,-,-,-,1,-,-,-,-,-,-,,2,-,1,15.0,0.08,,58.3%,7.0,3,2,-,-,,1,4,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,2,2015-03-14T10:00:00Z,Cowboys vs Knights,2015
4,,"Kyle
                
                  Feldt",21.0,Winger,,80:00,,-,-,-,-,-,-,-,,30.0,,13.0,117.0,13,,41.0,-,-,-,-,5,-,-,-,-,-,-,,-,-,1,15.0,0.08,,83.3%,5.0,1,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,2,2015-03-14T10:00:00Z,Cowboys vs Knights,2015
5,,"Robert
                
                  Lui",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,37.0,,11.0,39.0,-,,8.0,-,-,-,-,-,-,-,-,-,-,-,,1,3,24,43.0,2.18,,75.8%,25.0,5,3,-,-,,15,398,-,2,3,-,2,-,,-,-,-,1,-,-,-,,80:00,-,Cowboys,2,2015-03-14T10:00:00Z,Cowboys vs Knights,2015
6,,"Johnathan
                
                  Thurston",7.0,Halfback,,80:00,,6,-,2,2,1,100%,-,,39.0,,17.0,121.0,6,,24.0,-,-,1,-,2,1,-,-,1,8,1,,1,3,41,56.0,2.41,,68.2%,15.0,5,2,1,-,,6,117,-,3,2,-,1,-,,-,1,-,1,1,-,-,,80:00,-,Cowboys,2,2015-03-14T10:00:00Z,Cowboys vs Knights,2015
7,,"Matthew
                
                  Scott",8.0,Prop,,69:00,,4,1,-,-,-,-,-,,53.0,,18.0,156.0,-,,57.0,-,-,-,-,2,15,-,-,-,-,-,,-,1,11,26.0,0.61,,86.5%,32.0,3,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,69:00,-,Cowboys,2,2015-03-14T10:00:00Z,Cowboys vs Knights,2015
8,,"Rory
                
                  Kostjasyn",9.0,Hooker,,55:00,,-,-,-,-,-,-,-,,29.0,,6.0,50.0,-,,19.0,-,-,-,-,1,-,-,-,6,50,-,,-,11,90,91.0,15,,89.3%,25.0,1,2,-,-,,1,16,-,-,1,-,-,-,,-,1,-,1,-,-,-,,55:00,-,Cowboys,2,2015-03-14T10:00:00Z,Cowboys vs Knights,2015
9,,"Ben
                
                  Hannant",10.0,Prop,,58:00,,-,-,-,-,-,-,-,,44.0,,17.0,114.0,29,,30.0,-,-,-,-,-,14,-,-,-,-,-,,1,1,4,20.0,0.24,,91.7%,33.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,58:00,-,Cowboys,2,2015-03-14T10:00:00Z,Cowboys vs Knights,2015
10,,"Gavin
                
                  Cooper",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,26.0,,16.0,111.0,9,,41.0,-,-,-,-,-,13,-,-,-,-,-,,-,1,2,19.0,0.12,,87.5%,21.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Cowboys,2,2015-03-14T10:00:00Z,Cowboys vs Knights,2015
11,,"Ethan
                
                  Lowe",12.0,2nd Row,,80:00,,4,1,-,-,-,-,-,,73.0,,20.0,153.0,-,,59.0,-,-,-,-,3,20,-,-,-,-,-,,1,-,1,22.0,0.05,,89.6%,43.0,2,3,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Cowboys,2,2015-03-14T10:00:00Z,Cowboys vs Knights,2015
12,,"Jason
                
                  Taumalolo",13.0,Lock,,49:00,,-,-,-,-,-,-,-,,50.0,,13.0,143.0,-,,45.0,-,-,-,-,6,13,-,-,-,-,-,,2,-,1,14.0,0.08,,90%,18.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,49:00,-,Cowboys,2,2015-03-14T10:00:00Z,Cowboys vs Knights,2015
13,,"Jake
                
                  Granville",14.0,Interchange,,27:00,,-,-,-,-,-,-,-,,17.0,,5.0,36.0,-,,13.0,-,-,-,-,1,1,-,-,3,33,-,,-,1,32,34.0,6.4,,75%,15.0,2,3,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,27:00,-,Cowboys,2,2015-03-14T10:00:00Z,Cowboys vs Knights,2015
