,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Matt
                
                  Moylan",1.0,Fullback,,80:00,,8,-,4,6,-,66.67%,-,,58.0,,17.0,169.0,28,,47,1,3,3,-,-,-,-,-,2,39,-,,2,7,27,41.0,1.59,,87.5%,7.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Panthers,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
1,,"George
                
                  Jennings",2.0,Winger,,79:00,,4,1,-,-,-,-,-,,31.0,,17.0,151.0,12,,54,1,-,-,-,-,-,-,-,2,15,-,,1,3,-,18.0,-,,100%,2.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,79:00,-,Panthers,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
2,,"Dean
                
                  Whare",3.0,Centre,,80:00,,8,2,-,-,-,-,-,,45.0,,9.0,105.0,-,,14,1,-,-,-,1,-,-,-,1,13,-,,1,-,12,15.0,1.33,,83.3%,10.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
3,,"Jamal
                
                  Idris",4.0,Centre,,80:00,,12,3,-,-,-,-,-,,88.0,,11.0,103.0,-,,37,3,1,1,-,7,2,-,-,-,-,-,,1,1,12,20.0,1.09,,92.3%,12.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,-,,80:00,-,Panthers,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
4,,"Dallin
                
                  Watene-Zelezniak",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,16.0,,12.0,119.0,28,,48,-,-,-,-,2,-,-,-,-,-,-,,-,-,3,18.0,0.25,,33.3%,1.0,2,-,-,2,,1,18,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
5,,"Jamie
                
                  Soward",6.0,Five-Eighth,,80:00,,-,-,-,2,-,-,-,,29.0,,4.0,24.0,-,,-,-,2,2,-,-,-,-,-,1,4,-,,-,6,46,56.0,11.5,,61.5%,8.0,4,1,-,-,,8,261,-,2,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Panthers,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
6,,"Peter
                
                  Wallace",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,26.0,,5.0,46.0,-,,14,-,-,-,-,1,-,-,-,-,-,-,,-,4,29,39.0,5.8,,82.6%,19.0,3,1,-,-,,5,176,-,1,-,-,1,1,,-,-,-,1,-,-,-,,80:00,-,Panthers,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
7,,"Sam
                
                  McKendry",8.0,Prop,,26:00,,-,-,-,-,-,-,-,,34.0,,15.0,137.0,31,,49,-,-,-,-,-,13,-,-,-,-,-,,3,1,1,16.0,0.07,,89.5%,17.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,26:00,-,Panthers,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
8,,"James
                
                  Segeyaro",9.0,Hooker,,77:00,,-,-,-,-,-,-,-,,57.0,,12.0,64.0,8,,22,-,1,1,-,3,3,-,-,6,45,-,,2,14,76,87.0,6.33,,92.5%,37.0,2,1,-,-,,1,16,1,-,1,-,-,-,,-,1,-,1,-,-,-,,77:00,-,Panthers,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
9,,"Brent
                
                  Kite",10.0,Prop,,40:00,,-,-,-,-,-,-,-,,28.0,,11.0,87.0,28,,28,-,-,-,-,2,9,-,-,-,-,-,,-,-,1,12.0,0.09,,90.9%,20.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,40:00,-,Panthers,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
10,,"Sika
                
                  Manu",11.0,2nd Row,,39:00,,4,1,-,-,-,-,-,,28.0,,8.0,82.0,-,,35,1,-,-,-,-,7,-,-,-,-,-,,-,-,-,9.0,-,,84.6%,11.0,1,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,39:00,-,Panthers,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
11,,"Lewis
                
                  Brown",12.0,2nd Row,,55:00,,-,-,-,-,-,-,-,,45.0,,12.0,116.0,-,,62,-,-,-,-,5,9,-,-,2,22,-,,4,1,13,24.0,1.08,,82.6%,19.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,55:00,-,Panthers,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
12,,"Elijah
                
                  Taylor",13.0,Lock,,70:00,,-,-,-,-,-,-,-,,44.0,,12.0,73.0,-,,23,-,-,-,-,1,9,-,-,-,-,-,,-,1,12,21.0,1,,90.9%,40.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,70:00,-,Panthers,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
13,,"Tyrone
                
                  Peachey",14.0,Interchange,,53:00,,-,-,-,-,-,-,-,,33.0,,11.0,57.0,-,,18,-,-,-,-,6,5,-,-,-,-,-,,1,2,4,14.0,0.36,,100%,10.0,-,-,1,-,,1,8,-,-,1,-,-,-,,-,-,-,1,-,-,-,,53:00,-,Panthers,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
14,,"Jeremy
                
                  Latimore",15.0,Interchange,,42:00,,-,-,-,-,-,-,-,,35.0,,13.0,129.0,18,,48,-,-,-,-,1,12,-,-,-,-,-,,2,-,-,13.0,-,,100%,15.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,42:00,-,Panthers,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
15,,"Reagan
                
                  Campbell-Gillard",16.0,Interchange,,34:00,,-,-,-,-,-,-,-,,24.0,,10.0,99.0,31,,40,-,-,-,-,-,8,-,-,-,-,-,,1,-,-,10.0,-,,92.9%,13.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,34:00,-,Panthers,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
16,,"Bryce
                
                  Cartwright",17.0,Interchange,,32:00,,4,1,-,-,-,-,-,,48.0,,14.0,121.0,-,,38,1,-,-,-,4,14,-,-,-,-,-,,3,3,-,14.0,-,,85.7%,6.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,32:00,-,Panthers,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
0,,"William
                
                  Zillman",1.0,Fullback,,78:00,,-,-,-,-,-,-,-,,26.0,,10.0,83.0,45,,18.0,-,-,-,-,3,-,-,-,1,1,-,,-,-,17,25.0,1.7,,85.7%,6.0,1,-,-,5,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,78:00,-,Titans,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
1,,"Anthony
                
                  Don",19.0,Winger,,78:00,,-,-,-,-,-,-,-,,2.0,,6.0,54.0,11,,13.0,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,7.0,-,,75%,3.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,78:00,-,Titans,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
2,,"James
                
                  Roberts",3.0,Centre,,78:00,,-,-,-,-,-,-,-,,31.0,,11.0,85.0,-,,15.0,1,-,-,-,5,-,-,-,1,4,-,,-,4,6,14.0,0.55,,66.7%,10.0,3,2,-,-,,1,3,-,-,-,-,-,-,,-,1,-,-,-,-,-,,78:00,-,Titans,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
3,,"Josh
                
                  Hoffman",4.0,Centre,,78:00,,-,-,-,-,-,-,-,,14.0,,6.0,41.0,-,,20.0,-,-,-,-,1,-,-,-,1,12,-,,1,1,2,10.0,0.33,,75%,9.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,-,,78:00,-,Titans,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
4,,"David
                
                  Mead",5.0,Winger,,78:00,,-,-,-,-,-,-,-,,22.0,,9.0,72.0,5,,9.0,1,-,-,-,1,-,-,-,-,-,-,,-,2,5,12.0,0.56,,83.3%,10.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,78:00,-,Titans,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
5,,"Aidan
                
                  Sezer",6.0,Five-Eighth,,78:00,,-,-,-,-,-,-,-,,22.0,,11.0,65.0,-,,19.0,-,1,-,-,1,-,-,-,1,8,-,,1,2,29,40.0,2.64,,91.7%,11.0,1,-,-,-,,4,59,-,1,1,-,-,1,,-,3,-,1,-,-,-,,78:00,-,Titans,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
6,,"Daniel
                
                  Mortimer",7.0,Halfback,,78:00,,-,-,-,-,-,-,-,,42.0,,9.0,55.0,-,,15.0,-,-,-,-,3,-,-,-,1,9,-,,-,3,16,28.0,1.78,,76.5%,26.0,5,3,-,-,,4,149,-,2,-,-,-,-,,-,1,-,-,-,-,-,,78:00,-,Titans,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
7,,"Luke
                
                  Douglas",8.0,Prop,,60:00,,-,-,-,-,-,-,-,,54.0,,10.0,85.0,17,,33.0,-,-,-,-,2,7,-,-,-,-,-,,-,1,10,19.0,1,,91.1%,41.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,60:00,-,Titans,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
8,,"Kierran
                
                  Moseley",9.0,Hooker,,55:00,,-,-,-,-,-,-,-,,27.0,,6.0,31.0,-,,9.0,-,-,-,-,-,2,-,-,3,17,-,,1,9,48,54.0,8,,76.9%,30.0,4,5,-,-,,1,2,-,-,1,-,-,-,,-,1,-,-,-,-,-,,55:00,-,Titans,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
9,,"Eddy
                
                  Pettybourne",10.0,Prop,,45:00,,-,-,-,-,-,-,-,,43.0,,8.0,88.0,-,,32.0,-,-,-,-,2,8,-,-,-,-,-,,3,-,-,8.0,-,,96.7%,29.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,45:00,-,Titans,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
10,,"Ryan
                
                  James",11.0,2nd Row,,78:00,,-,-,-,-,-,-,-,,36.0,,11.0,82.0,-,,40.0,-,-,-,-,2,11,-,-,-,-,-,,1,-,1,12.0,0.09,,92.3%,24.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,78:00,-,Titans,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
11,,"Lachlan
                
                  Burr",12.0,2nd Row,,61:00,,-,-,-,-,-,-,-,,25.0,,10.0,69.0,-,,27.0,-,-,-,-,-,10,-,-,-,-,-,,1,1,-,10.0,-,,73.8%,31.0,7,4,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,61:00,-,Titans,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
12,,"Nate
                
                  Myles",13.0,Lock,,47:00,,-,-,-,-,-,-,-,,42.0,,9.0,82.0,-,,29.0,-,-,-,-,-,9,-,-,-,-,-,,-,1,3,12.0,0.33,,92.7%,38.0,-,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,47:00,-,Titans,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
13,,"Agnatius
                
                  Paasi",14.0,Interchange,,60:00,,-,-,-,-,-,-,-,,23.0,,6.0,48.0,9,,14.0,-,-,-,-,-,5,-,-,-,-,-,,-,-,-,6.0,-,,95.5%,21.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,60:00,-,Titans,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
14,,"Mark
                
                  Ioane",15.0,Interchange,,17:00,,-,-,-,-,-,-,-,,7.0,,1.0,5.0,-,,1.0,-,-,-,-,-,1,-,-,-,-,-,,-,-,-,1.0,-,,69.2%,9.0,1,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,17:00,-,Titans,2,2015-03-14T05:30:00Z,Panthers vs Titans,2015
