,Time,Event Type,Player,Team,Player On,Player Off,Score,Match,Year
0,80:00,FULL TIME,,,,,,Rabbitohs vs Roosters,2015
1,80:00,Conversion-Made,Adam Reynolds,Rabbitohs,,,34-26,Rabbitohs vs Roosters,2015
2,78:43,Video Referee,Try,Rabbitohs,,,,Rabbitohs vs Roosters,2015
3,78:43,Try,Issac Luke,Rabbitohs,,,32-26,Rabbitohs vs Roosters,2015
4,78:42,Linebreak,Issac Luke,Rabbitohs,,,,Rabbitohs vs Roosters,2015
5,77:27,Interchange - Sin Bin Return,Dylan Walker,Rabbitohs,,,,Rabbitohs vs Roosters,2015
6,72:30,Kick Bomb,Adam Reynolds,Rabbitohs,,,,Rabbitohs vs Roosters,2015
7,69:33,Conversion-Missed,Adam Reynolds,Rabbitohs,,,,Rabbitohs vs Roosters,2015
8,68:03,Try,Joel Reddy,Rabbitohs,,,28-26,Rabbitohs vs Roosters,2015
9,68:00,Linebreak,Adam Reynolds,Rabbitohs,,,,Rabbitohs vs Roosters,2015
10,62:19,Penalty - Ball Strip,Jared Waerea-Hargreaves,Roosters,,,,Rabbitohs vs Roosters,2015
11,61:23,Conversion-Made,Adam Reynolds,Rabbitohs,,,24-26,Rabbitohs vs Roosters,2015
12,60:26,Try,Alex Johnston,Rabbitohs,,,22-26,Rabbitohs vs Roosters,2015
13,60:21,Linebreak,Luke Keary,Rabbitohs,,,,Rabbitohs vs Roosters,2015
14,57:52,Conversion-Missed,James Maloney,Roosters,,,,Rabbitohs vs Roosters,2015
15,56:46,Video Referee,Try,Roosters,,,,Rabbitohs vs Roosters,2015
16,56:46,Try,Shaun Kenny-Dowall,Roosters,,,18-26,Rabbitohs vs Roosters,2015
17,56:46,Linebreak,Shaun Kenny-Dowall,Roosters,,,,Rabbitohs vs Roosters,2015
18,55:40,Penalty - 2nd Effort,Thomas Burgess,Rabbitohs,,,,Rabbitohs vs Roosters,2015
19,52:05,40/20 Kick,Adam Reynolds,Rabbitohs,,,,Rabbitohs vs Roosters,2015
20,50:57,Conversion-Made,Adam Reynolds,Rabbitohs,,,18-22,Rabbitohs vs Roosters,2015
21,50:14,Video Referee,Try,Rabbitohs,,,,Rabbitohs vs Roosters,2015
22,50:14,Try,George Burgess,Rabbitohs,,,16-22,Rabbitohs vs Roosters,2015
23,50:13,Linebreak,George Burgess,Rabbitohs,,,,Rabbitohs vs Roosters,2015
24,48:57,Penalty - Holding Down,Kane Evans,Roosters,,,,Rabbitohs vs Roosters,2015
25,46:01,Penalty - Ball Strip,Ben Lowe,Rabbitohs,,,,Rabbitohs vs Roosters,2015
26,44:47,Conversion-Made,James Maloney,Roosters,,,12-22,Rabbitohs vs Roosters,2015
27,43:32,Try,Dylan Napa,Roosters,,,12-20,Rabbitohs vs Roosters,2015
28,43:32,Linebreak,Dylan Napa,Roosters,,,,Rabbitohs vs Roosters,2015
29,42:37,Line Dropout,Adam Reynolds,Rabbitohs,,,,Rabbitohs vs Roosters,2015
30,39:47,Linebreak,Kane Evans,Roosters,,,,Rabbitohs vs Roosters,2015
31,39:26,Line Dropout,Adam Reynolds,Rabbitohs,,,,Rabbitohs vs Roosters,2015
32,38:02,Penalty - Ball Strip,Issac Luke,Rabbitohs,,,,Rabbitohs vs Roosters,2015
33,36:30,Kick Bomb,Mitchell Pearce,Roosters,,,,Rabbitohs vs Roosters,2015
34,35:31,Interchange - Sin Bin Return,Dylan Walker,Rabbitohs,,,,Rabbitohs vs Roosters,2015
35,31:49,Line Dropout,Adam Reynolds,Rabbitohs,,,,Rabbitohs vs Roosters,2015
36,31:03,Kick Bomb,James Maloney,Roosters,,,,Rabbitohs vs Roosters,2015
37,28:00,Conversion-Made,James Maloney,Roosters,,,12-16,Rabbitohs vs Roosters,2015
38,27:07,Video Referee,Try,Roosters,,,,Rabbitohs vs Roosters,2015
39,27:07,Try,Michael Jennings,Roosters,,,12-14,Rabbitohs vs Roosters,2015
40,26:18,Kick Bomb,Mitchell Pearce,Roosters,,,,Rabbitohs vs Roosters,2015
41,24:56,Conversion-Made,James Maloney,Roosters,,,12-10,Rabbitohs vs Roosters,2015
42,23:21,Try,Michael Jennings,Roosters,,,12-8,Rabbitohs vs Roosters,2015
43,23:13,Kick Bomb,James Maloney,Roosters,,,,Rabbitohs vs Roosters,2015
44,21:32,Conversion-Missed,James Maloney,Roosters,,,,Rabbitohs vs Roosters,2015
45,19:58,Try,Daniel Tupou,Roosters,,,12-4,Rabbitohs vs Roosters,2015
46,19:58,Linebreak,Daniel Tupou,Roosters,,,,Rabbitohs vs Roosters,2015
47,18:58,Penalty - Leg Pull,Jason Clark,Rabbitohs,,,,Rabbitohs vs Roosters,2015
48,17:23,Penalty - Holding Down,Jared Waerea-Hargreaves,Roosters,,,,Rabbitohs vs Roosters,2015
49,15:26,Kick Bomb,James Maloney,Roosters,,,,Rabbitohs vs Roosters,2015
50,12:48,Conversion-Made,Adam Reynolds,Rabbitohs,,,12-0,Rabbitohs vs Roosters,2015
51,12:09,Try,Alex Johnston,Rabbitohs,,,10-0,Rabbitohs vs Roosters,2015
52,12:02,Linebreak,Alex Johnston,Rabbitohs,,,,Rabbitohs vs Roosters,2015
53,10:14,Kick Bomb,Mitchell Pearce,Roosters,,,,Rabbitohs vs Roosters,2015
54,08:42,Kick Bomb,James Maloney,Roosters,,,,Rabbitohs vs Roosters,2015
55,06:37,Conversion-Made,Adam Reynolds,Rabbitohs,,,6-0,Rabbitohs vs Roosters,2015
56,05:40,Video Referee,Try,Rabbitohs,,,,Rabbitohs vs Roosters,2015
57,05:40,Try,Dylan Walker,Rabbitohs,,,4-0,Rabbitohs vs Roosters,2015
58,05:40,Linebreak,Dylan Walker,Rabbitohs,,,,Rabbitohs vs Roosters,2015
59,05:03,Line Dropout,James Maloney,Roosters,,,,Rabbitohs vs Roosters,2015
60,02:48,Penalty - Ball Strip,Sam Moa,Roosters,,,,Rabbitohs vs Roosters,2015
61,02:36,Kick Bomb,Mitchell Pearce,Roosters,,,,Rabbitohs vs Roosters,2015
62,01:47,Kick Bomb,Adam Reynolds,Rabbitohs,,,,Rabbitohs vs Roosters,2015
63,00:00,KICK OFF,,,,,,Rabbitohs vs Roosters,2015
