,Time,Event Type,Player,Team,Player On,Player Off,Score,Match,Year
0,80:00,FULL TIME,,,,,,Sea Eagles vs Storm,2015
1,78:49,Penalty - Hand in the Ruck,Dunamis Lui,Sea Eagles,,,,Sea Eagles vs Storm,2015
2,77:19,Penalty - Offside General,Kurt Mann,Storm,,,,Sea Eagles vs Storm,2015
3,74:57,Conversion-Made,Cameron Smith,Storm,,,24-22,Sea Eagles vs Storm,2015
4,73:44,Try,Blake Green,Storm,,,24-20,Sea Eagles vs Storm,2015
5,73:43,Linebreak,Blake Green,Storm,,,,Sea Eagles vs Storm,2015
6,73:10,Penalty - Hand in the Ruck,Daly Cherry-Evans,Sea Eagles,,,,Sea Eagles vs Storm,2015
7,72:09,Linebreak,Daly Cherry-Evans,Sea Eagles,,,,Sea Eagles vs Storm,2015
8,71:30,Kick Bomb,Cooper Cronk,Storm,,,,Sea Eagles vs Storm,2015
9,68:47,Penalty - Slow Peel,Cameron Smith,Storm,,,,Sea Eagles vs Storm,2015
10,68:24,Interchange - Sin Bin Return,Dale Finucane,Storm,,,,Sea Eagles vs Storm,2015
11,66:48,Conversion-Made,Cameron Smith,Storm,,,24-16,Sea Eagles vs Storm,2015
12,65:53,Try,Will Chambers,Storm,,,24-14,Sea Eagles vs Storm,2015
13,65:50,Linebreak,Will Chambers,Storm,,,,Sea Eagles vs Storm,2015
14,65:28,Linebreak,Marika Koroibete,Storm,,,,Sea Eagles vs Storm,2015
15,62:44,Conversion-Missed,Cameron Smith,Storm,,,,Sea Eagles vs Storm,2015
16,61:20,Try,Blake Green,Storm,,,24-10,Sea Eagles vs Storm,2015
17,61:19,Linebreak,Blake Green,Storm,,,,Sea Eagles vs Storm,2015
18,60:17,Penalty - Offside General,Matt Ballin,Sea Eagles,,,,Sea Eagles vs Storm,2015
19,60:11,Kick Bomb,Cooper Cronk,Storm,,,,Sea Eagles vs Storm,2015
20,58:41,Penalty - 2nd Effort,Jordan McLean,Storm,,,,Sea Eagles vs Storm,2015
21,56:57,Penalty - Slow Peel,Tom Symonds,Sea Eagles,,,,Sea Eagles vs Storm,2015
22,56:36,Penalty - Holding Down,Feleti Mateo,Sea Eagles,,,,Sea Eagles vs Storm,2015
23,55:59,Eagles Interchange - Sin Bin Return,Jamie Buhrer,Sea,,,,Sea Eagles vs Storm,2015
24,55:17,Penalties - Other,Tim Glasby,Storm,,,,Sea Eagles vs Storm,2015
25,55:15,Linebreak,Tim Glasby,Storm,,,,Sea Eagles vs Storm,2015
26,54:47,Line Dropout,Daly Cherry-Evans,Sea Eagles,,,,Sea Eagles vs Storm,2015
27,46:53,Penalty - 2nd Effort,Kevin Proctor,Storm,,,,Sea Eagles vs Storm,2015
28,45:23,Penalty - 2nd Effort,Jamie Lyon,Sea Eagles,,,,Sea Eagles vs Storm,2015
29,43:31,Interchange - Sin Bin Return,Young Tonumaipea,Storm,,,,Sea Eagles vs Storm,2015
30,39:56,Conversion-Made,Jamie Lyon,Sea Eagles,,,24-6,Sea Eagles vs Storm,2015
31,38:26,Try,Brett Stewart,Sea Eagles,,,22-6,Sea Eagles vs Storm,2015
32,38:22,Linebreak,Daly Cherry-Evans,Sea Eagles,,,,Sea Eagles vs Storm,2015
33,37:04,Conversion-Made,Jamie Lyon,Sea Eagles,,,18-6,Sea Eagles vs Storm,2015
34,35:31,Try,Blake Leary,Sea Eagles,,,16-6,Sea Eagles vs Storm,2015
35,31:43,Conversion-Made,Jamie Lyon,Sea Eagles,,,12-6,Sea Eagles vs Storm,2015
36,30:11,Try,Brett Stewart,Sea Eagles,,,10-6,Sea Eagles vs Storm,2015
37,30:08,Linebreak,Tom Symonds,Sea Eagles,,,,Sea Eagles vs Storm,2015
38,24:41,Eagles Interchange - Sin Bin Return,Brett Stewart,Sea,,,,Sea Eagles vs Storm,2015
39,19:53,Conversion-Made,Cameron Smith,Storm,,,6-6,Sea Eagles vs Storm,2015
40,18:23,Video Referee,Try,Storm,,,,Sea Eagles vs Storm,2015
41,18:23,Try,Young Tonumaipea,Storm,,,6-4,Sea Eagles vs Storm,2015
42,18:18,Linebreak,Young Tonumaipea,Storm,,,,Sea Eagles vs Storm,2015
43,17:29,Kick Bomb,Daly Cherry-Evans,Sea Eagles,,,,Sea Eagles vs Storm,2015
44,13:06,Penalty - Hand in the Ruck,Matt Ballin,Sea Eagles,,,,Sea Eagles vs Storm,2015
45,12:18,Penalties - Other,Luke Burgess,Sea Eagles,,,,Sea Eagles vs Storm,2015
46,10:13,Conversion-Made,Jamie Lyon,Sea Eagles,,,6-0,Sea Eagles vs Storm,2015
47,09:10,Video Referee,Try,Sea Eagles,,,,Sea Eagles vs Storm,2015
48,09:10,Try,Steve Matai,Sea Eagles,,,4-0,Sea Eagles vs Storm,2015
49,09:07,Linebreak,Jamie Buhrer,Sea Eagles,,,,Sea Eagles vs Storm,2015
50,07:58,Penalty - Offside inside 10m,Cameron Smith,Storm,,,,Sea Eagles vs Storm,2015
51,04:23,Penalty - Crowding,Jordan McLean,Storm,,,,Sea Eagles vs Storm,2015
52,03:08,Penalty - 2nd Effort,Jordan McLean,Storm,,,,Sea Eagles vs Storm,2015
53,00:53,Kick Bomb,Cooper Cronk,Storm,,,,Sea Eagles vs Storm,2015
54,00:00,KICK OFF,,,,,,Sea Eagles vs Storm,2015
