,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Will
                
                  Smith",1.0,Fullback,,79:00,,-,-,-,-,-,-,-,,39.0,,20.0,143.0,39,,42,-,-,1,-,2,-,-,-,2,17,-,,2,4,20,41.0,1,,75%,9.0,2,1,-,5,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,79:00,-,Panthers,20,2015-07-26T04:00:00Z,Panthers vs Raiders,2015
1,,"Waqa
                
                  Blake",2.0,Winger,,79:00,,-,-,-,-,-,-,-,,19.0,,13.0,113.0,29,,39,-,-,-,-,1,1,-,-,-,-,-,,1,-,3,20.0,0.23,,83.3%,5.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,79:00,-,Panthers,20,2015-07-26T04:00:00Z,Panthers vs Raiders,2015
2,,"Dean
                
                  Whare",3.0,Centre,,79:00,,-,-,-,-,-,-,-,,35.0,,13.0,112.0,-,,42,-,1,1,-,2,-,-,-,-,-,-,,-,-,15,20.0,1.15,,84.6%,11.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,79:00,-,Panthers,20,2015-07-26T04:00:00Z,Panthers vs Raiders,2015
3,,"Isaah
                
                  Yeo",4.0,Centre,,79:00,,4,1,-,-,-,-,-,,51.0,,12.0,98.0,-,,36,-,-,-,-,4,2,-,-,-,-,-,,1,1,4,15.0,0.33,,95%,19.0,-,1,1,-,,1,20,1,-,1,-,-,-,,-,1,-,-,-,-,-,,79:00,-,Panthers,20,2015-07-26T04:00:00Z,Panthers vs Raiders,2015
4,,"Robert
                
                  Jennings",21.0,Winger,,79:00,,4,1,-,-,-,-,-,,38.0,,15.0,139.0,29,,41,1,-,-,-,4,-,-,-,2,9,-,,-,1,4,21.0,0.27,,60%,3.0,1,1,-,-,,1,15,-,-,1,-,-,-,,-,1,-,-,-,-,-,,79:00,-,Panthers,20,2015-07-26T04:00:00Z,Panthers vs Raiders,2015
5,,"Jamie
                
                  Soward",6.0,Five-Eighth,,79:00,,8,-,4,4,-,100%,-,,26.0,,5.0,32.0,-,,7,-,-,-,-,1,-,-,-,-,-,-,,1,3,31,42.0,6.2,,66.7%,10.0,4,1,-,-,,8,161,-,3,1,-,1,-,,-,-,-,-,-,-,-,,79:00,-,Panthers,20,2015-07-26T04:00:00Z,Panthers vs Raiders,2015
6,,"Peter
                
                  Wallace",7.0,Halfback,,79:00,,-,-,-,-,-,-,-,,28.0,,3.0,8.0,-,,-,-,1,1,-,-,-,-,-,1,-,-,,1,2,41,47.0,13.67,,95.5%,21.0,-,1,-,-,,4,55,-,-,1,-,1,-,,-,-,-,2,-,-,-,,79:00,-,Panthers,20,2015-07-26T04:00:00Z,Panthers vs Raiders,2015
7,,"Nigel
                
                  Plum",8.0,Prop,,60:00,,-,-,-,-,-,-,-,,26.0,,9.0,71.0,19,,17,-,-,-,-,-,7,-,-,-,-,-,,-,1,1,10.0,0.11,,95.5%,21.0,1,-,1,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,60:00,-,Panthers,20,2015-07-26T04:00:00Z,Panthers vs Raiders,2015
8,,"James
                
                  Segeyaro",9.0,Hooker,,79:00,,4,1,-,-,-,-,-,,96.0,,13.0,93.0,-,,16,1,1,1,-,6,7,-,-,6,38,-,,5,6,77,88.0,5.92,,93.2%,41.0,2,1,-,1,,1,50,-,-,-,-,-,-,,-,1,-,-,-,-,-,,79:00,-,Panthers,20,2015-07-26T04:00:00Z,Panthers vs Raiders,2015
9,,"Reagan
                
                  Campbell-Gillard",10.0,Prop,,21:00,,-,-,-,-,-,-,-,,32.0,,14.0,124.0,35,,44,-,-,-,-,-,11,-,-,-,-,-,,3,-,-,14.0,-,,81.5%,22.0,4,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,21:00,-,Panthers,20,2015-07-26T04:00:00Z,Panthers vs Raiders,2015
10,,"Lewis
                
                  Brown",11.0,2nd Row,,56:00,,-,-,-,-,-,-,-,,40.0,,9.0,134.0,-,,45,1,-,-,-,2,9,-,-,-,-,-,,-,-,4,12.0,0.44,,87.5%,21.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,56:00,-,Panthers,20,2015-07-26T04:00:00Z,Panthers vs Raiders,2015
11,,"Sika
                
                  Manu",12.0,2nd Row,,23:00,,-,-,-,-,-,-,-,,12.0,,2.0,24.0,-,,14,-,-,-,-,-,2,-,-,-,-,-,,-,1,-,2.0,-,,80%,12.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:00,-,Panthers,20,2015-07-26T04:00:00Z,Panthers vs Raiders,2015
12,,"Elijah
                
                  Taylor",13.0,Lock,,79:00,,4,1,-,-,-,-,-,,72.0,,5.0,41.0,-,,13,1,-,-,-,3,4,-,-,-,-,-,,-,1,8,13.0,1.6,,86.8%,59.0,5,4,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,79:00,-,Panthers,20,2015-07-26T04:00:00Z,Panthers vs Raiders,2015
13,,"Tyrone
                
                  Peachey",14.0,Interchange,,38:00,,-,-,-,-,-,-,-,,41.0,,13.0,95.0,12,,19,-,-,-,-,5,12,-,-,-,-,-,,2,1,3,15.0,0.23,,93.3%,14.0,-,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,38:00,-,Panthers,20,2015-07-26T04:00:00Z,Panthers vs Raiders,2015
14,,"Jeremy
                
                  Latimore",15.0,Interchange,,53:00,,-,-,-,-,-,-,-,,54.0,,13.0,119.0,-,,53,-,-,-,-,1,13,-,-,-,-,-,,1,2,1,14.0,0.08,,97.6%,40.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,53:00,-,Panthers,20,2015-07-26T04:00:00Z,Panthers vs Raiders,2015
