,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Cameron
                
                  Munster",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,37.0,,16.0,135.0,10,,46.0,-,-,-,-,2,-,-,-,1,9,-,,1,5,13,26.0,0.81,,100%,9.0,-,-,-,2,,1,10,1,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Storm,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
1,,"Marika
                
                  Koroibete",2.0,Winger,,66:00,,4,1,-,-,-,-,-,,29.0,,9.0,161.0,11,,37.0,-,-,-,-,1,-,-,-,1,5,-,,-,-,1,10.0,0.11,,60%,3.0,1,1,-,1,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,66:00,-,Storm,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
2,,"Will
                
                  Chambers",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,40.0,,15.0,181.0,-,,63.0,-,1,-,-,1,-,-,-,3,40,-,,-,-,1,16.0,0.07,,90.5%,19.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Storm,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
3,,"Tohu
                
                  Harris",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,39.0,,15.0,123.0,-,,43.0,1,-,2,-,-,1,-,-,1,7,-,,1,1,6,21.0,0.4,,89.5%,17.0,2,-,1,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Storm,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
4,,"Matt
                
                  Duffie",18.0,Winger,,80:00,,-,-,-,-,-,-,-,,15.0,,10.0,98.0,13,,34.0,1,-,-,-,-,1,-,-,3,24,-,,2,1,7,17.0,0.7,,40%,2.0,3,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Storm,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
5,,"Blake
                
                  Green",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,40.0,,7.0,51.0,-,,11.0,-,1,1,-,1,-,-,-,-,-,-,,1,8,31,39.0,4.43,,93.3%,28.0,2,-,-,-,,3,74,-,-,1,-,-,1,,-,-,-,2,-,-,-,,80:00,-,Storm,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
6,,"Cooper
                
                  Cronk",7.0,Halfback,,65:00,,-,-,-,-,-,-,-,,32.0,,4.0,56.0,-,,6.0,1,-,-,-,-,-,-,-,-,-,-,,-,3,27,43.0,6.75,,80%,8.0,2,-,-,-,,15,396,2,4,-,-,4,-,,-,2,-,-,-,-,-,,65:00,-,Storm,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
7,,"Jesse
                
                  Bromwich",8.0,Prop,,62:00,,-,-,-,-,-,-,-,,45.0,,18.0,180.0,34,,68.0,-,-,-,-,-,12,-,-,1,2,-,,-,3,5,21.0,0.28,,96.4%,27.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,1,-,-,,62:00,-,Storm,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
8,,"Cameron
                
                  Smith",9.0,Hooker,,74:00,,6,-,3,4,-,75%,-,,66.0,,5.0,47.0,-,,11.0,-,2,1,-,-,1,-,-,4,36,-,,1,5,98,99.0,19.6,,93%,40.0,1,2,-,1,,3,120,1,-,1,-,-,-,,-,-,-,-,-,-,-,,74:00,-,Storm,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
9,,"Tim
                
                  Glasby",10.0,Prop,,36:00,,-,-,-,-,-,-,-,,40.0,,11.0,114.0,43,,45.0,-,-,-,-,1,8,-,-,-,-,-,,-,-,-,11.0,-,,96.3%,26.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,36:00,-,Storm,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
10,,"Kevin
                
                  Proctor",11.0,2nd Row,,63:00,,4,1,-,-,-,-,-,,54.0,,9.0,72.0,-,,29.0,1,-,-,-,2,8,-,-,-,-,-,,1,-,6,14.0,0.67,,96.9%,31.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,63:00,-,Storm,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
11,,"Kenneath
                
                  Bromwich",12.0,2nd Row,,64:00,,-,-,-,-,-,-,-,,26.0,,12.0,82.0,-,,31.0,-,-,-,-,-,12,-,-,-,-,-,,1,1,1,13.0,0.08,,80%,24.0,3,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,64:00,-,Storm,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
12,,"Ryan
                
                  Hinchcliffe",13.0,Lock,,44:00,,-,-,-,-,-,-,-,,32.0,,9.0,70.0,-,,17.0,-,-,-,-,-,8,-,-,1,3,-,,-,3,24,32.0,2.67,,96.2%,25.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,44:00,-,Storm,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
13,,"Dale
                
                  Finucane",14.0,Interchange,,65:00,,-,-,-,-,-,-,-,,60.0,,20.0,178.0,17,,61.0,-,1,-,-,1,17,-,-,-,-,-,,-,1,8,25.0,0.4,,97.7%,42.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,65:00,-,Storm,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
14,,"Mahe
                
                  Fonua",15.0,Interchange,,35:00,,4,1,-,-,-,-,-,,19.0,,6.0,61.0,-,,22.0,-,-,-,-,1,-,-,-,-,-,-,,-,1,1,10.0,0.17,,80%,4.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,35:00,-,Storm,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
15,,"Nelson
                
                  Asofa-Solomona",16.0,Interchange,,37:00,,4,1,-,-,-,-,-,,46.0,,9.0,78.0,17,,31.0,1,-,-,-,2,7,-,-,-,-,-,,2,1,-,10.0,-,,90.9%,20.0,1,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,37:00,-,Storm,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
16,,"Christian
                
                  Welch",17.0,Interchange,,27:00,,-,-,-,-,-,-,-,,13.0,,5.0,48.0,11,,7.0,-,-,-,-,-,3,-,-,-,-,-,,-,1,2,6.0,0.4,,81%,17.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,27:00,-,Storm,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
0,,"Josh
                
                  Dugan",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,55.0,,20.0,239.0,72,,75,1,-,-,-,5,-,-,-,-,-,-,,1,-,5,24.0,0.25,,100%,8.0,-,-,-,2,,1,30,-,-,-,-,-,1,,-,-,-,-,-,-,-,,80:00,-,Dragons,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
1,,"Justin
                
                  Hunt",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,15.0,,8.0,37.0,13,,6,-,-,-,-,1,-,-,-,2,10,-,,1,-,1,12.0,0.12,,85.7%,6.0,1,-,-,3,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Dragons,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
2,,"Euan
                
                  Aitken",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,36.0,,11.0,131.0,-,,54,-,-,-,-,2,-,-,-,1,6,-,,-,1,7,14.0,0.64,,84%,21.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
3,,"Peter
                
                  Mata'utia",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,54.0,,11.0,110.0,-,,33,1,-,-,-,5,-,-,-,1,9,-,,-,1,14,19.0,1.27,,88%,22.0,2,1,1,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Dragons,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
4,,"Jason
                
                  Nightingale",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,23.0,,13.0,90.0,4,,29,-,1,-,-,2,-,-,-,2,13,-,,2,1,6,21.0,0.46,,66.7%,4.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,-,,80:00,-,Dragons,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
5,,"Gareth
                
                  Widdop",6.0,Five-Eighth,,80:00,,-,-,-,1,-,-,-,,31.0,,11.0,64.0,1,,8,-,-,-,-,1,-,-,-,-,-,-,,-,5,32,45.0,2.91,,81.8%,18.0,2,2,-,1,,5,151,1,-,2,-,2,1,,-,2,-,-,-,-,-,,80:00,-,Dragons,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
6,,"Benji
                
                  Marshall",7.0,Halfback,,78:00,,-,-,-,-,-,-,-,,49.0,,10.0,70.0,-,,6,-,1,1,-,3,-,-,-,-,-,-,,1,8,41,52.0,4.1,,94.1%,16.0,-,1,-,-,,8,177,-,4,1,-,-,-,,-,2,-,-,-,-,-,,78:00,-,Dragons,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
7,,"Leeson
                
                  Ah Mau",8.0,Prop,,42:00,,-,-,-,-,-,-,-,,38.0,,13.0,122.0,10,,59,-,-,-,-,-,12,-,-,-,-,-,,1,1,-,13.0,-,,100%,24.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,42:00,-,Dragons,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
8,,"Mitch
                
                  Rein",9.0,Hooker,,49:00,,-,-,-,-,-,-,-,,32.0,,2.0,10.0,-,,-,-,-,-,-,-,-,-,-,2,10,-,,-,6,70,71.0,35,,91.2%,31.0,-,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,49:00,-,Dragons,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
9,,"Will
                
                  Matthews",17.0,Prop,,21:00,,-,-,-,-,-,-,-,,22.0,,9.0,70.0,-,,25,-,-,-,-,1,8,-,-,-,-,-,,-,-,3,11.0,0.33,,94.1%,16.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,21:00,-,Dragons,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
10,,"Tyson
                
                  Frizell",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,51.0,,11.0,103.0,-,,44,-,-,-,-,1,11,-,-,-,-,-,,-,-,3,15.0,0.27,,93.3%,42.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,20,2015-07-25T07:30:00Z,Storm vs Dragons,2015
