,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Dragons vs Knights,2015
1,Conversion-Made,Gareth Widdop,,,46-24,Dragons,80:00,Dragons vs Knights,2015
2,Try,Josh Dugan,,,44-24,Dragons,78:51,Dragons vs Knights,2015
3,Linebreak,Josh Dugan,,,,Dragons,78:46,Dragons vs Knights,2015
4,Penalty - Leg Pull,Peter Mata'utia,,,,Dragons,75:20,Dragons vs Knights,2015
5,Kick Bomb,Carlos Tuimavave,,,,Knights,72:30,Dragons vs Knights,2015
6,Conversion-Made,Gareth Widdop,,,40-24,Dragons,70:27,Dragons vs Knights,2015
7,Video Referee,Try,,,,Dragons,69:21,Dragons vs Knights,2015
8,Try,Will Matthews,,,38-24,Dragons,69:21,Dragons vs Knights,2015
9,Line Dropout,Tyrone Roberts,,,,Knights,68:30,Dragons vs Knights,2015
10,Conversion-Made,Gareth Widdop,,,34-24,Dragons,66:36,Dragons vs Knights,2015
11,Video Referee,Try,,,,Dragons,65:22,Dragons vs Knights,2015
12,Try,Benji Marshall,,,32-24,Dragons,65:22,Dragons vs Knights,2015
13,Kick Bomb,Benji Marshall,,,,Dragons,65:03,Dragons vs Knights,2015
14,Penalty - Leg Pull,Gareth Widdop,,,,Dragons,63:21,Dragons vs Knights,2015
15,Penalty - Slow Peel,Tyson Frizell,,,,Dragons,62:34,Dragons vs Knights,2015
16,Interchange - Sin Bin Return,Nathan Ross,,,,Knights,60:50,Dragons vs Knights,2015
17,Kick Bomb,Tyrone Roberts,,,,Knights,60:02,Dragons vs Knights,2015
18,Conversion-Missed,Tyrone Roberts,,,,Knights,58:27,Dragons vs Knights,2015
19,Try,Tyler Randell,,,28-24,Knights,57:16,Dragons vs Knights,2015
20,Linebreak,Tyler Randell,,,,Knights,57:11,Dragons vs Knights,2015
21,Conversion-Made,Gareth Widdop,,,28-20,Dragons,54:58,Dragons vs Knights,2015
22,Try,Tyson Frizell,,,26-20,Dragons,53:28,Dragons vs Knights,2015
23,Linebreak,Tyson Frizell,,,,Dragons,53:26,Dragons vs Knights,2015
24,Linebreak,Tyson Frizell,,,,Dragons,53:26,Dragons vs Knights,2015
25,Kick Bomb,Gareth Widdop,,,,Dragons,51:39,Dragons vs Knights,2015
26,Penalty Shot-Made,Gareth Widdop,,,22-20,Dragons,48:42,Dragons vs Knights,2015
27,Penalty - Offside General,Korbin Sims,,,,Knights,47:21,Dragons vs Knights,2015
28,Linebreak,Benji Marshall,,,,Dragons,47:08,Dragons vs Knights,2015
29,Conversion-Made,Gareth Widdop,,,20-20,Dragons,45:56,Dragons vs Knights,2015
30,Try,Gareth Widdop,,,18-20,Dragons,44:28,Dragons vs Knights,2015
31,Linebreak,Gareth Widdop,,,,Dragons,44:27,Dragons vs Knights,2015
32,Penalty - Offside General,Tyrone Roberts,,,,Knights,43:51,Dragons vs Knights,2015
33,Interchange - Sin Bin Return,Tyler Randell,,,,Knights,43:04,Dragons vs Knights,2015
34,Penalty - Slow Peel,Adam Clydsdale,,,,Knights,41:49,Dragons vs Knights,2015
35,Penalty Shot-Made,Gareth Widdop,,,14-20,Dragons,40:00,Dragons vs Knights,2015
36,Penalty - Slow Peel,Chris Houston,,,,Knights,39:18,Dragons vs Knights,2015
37,Penalty - Offside General,Beau Scott,,,,Knights,38:46,Dragons vs Knights,2015
38,Linebreak,Craig Garvey,,,,Dragons,38:35,Dragons vs Knights,2015
39,Conversion-Missed,Tyrone Roberts,,,,Knights,32:33,Dragons vs Knights,2015
40,Try,Nathan Ross,,,12-20,Knights,30:38,Dragons vs Knights,2015
41,Linebreak,Nathan Ross,,,,Knights,30:37,Dragons vs Knights,2015
42,Penalty - Working on the Ground,Jake Marketo,,,,Dragons,29:27,Dragons vs Knights,2015
43,Interchange - Sin Bin Return,Benji Marshall,,,,Dragons,27:07,Dragons vs Knights,2015
44,Penalty - Offside inside 10m,Carlos Tuimavave,,,,Knights,25:44,Dragons vs Knights,2015
45,Penalty - Ball Strip,Tyrone Roberts,,,,Knights,25:14,Dragons vs Knights,2015
46,Conversion-Missed,Tyrone Roberts,,,,Knights,23:50,Dragons vs Knights,2015
47,Try,Jake Mamo,,,12-16,Knights,22:21,Dragons vs Knights,2015
48,Linebreak,Jake Mamo,,,,Knights,22:21,Dragons vs Knights,2015
49,Kick Bomb,Tyrone Roberts,,,,Knights,21:16,Dragons vs Knights,2015
50,Kick Bomb,Carlos Tuimavave,,,,Knights,19:47,Dragons vs Knights,2015
51,Conversion-Made,Tyrone Roberts,,,12-12,Knights,18:20,Dragons vs Knights,2015
52,Try,Adam Clydsdale,,,12-10,Knights,17:02,Dragons vs Knights,2015
53,Linebreak,Adam Clydsdale,,,,Knights,17:00,Dragons vs Knights,2015
54,Interchange - Sin Bin Return,Mitch Rein,,,,Dragons,15:34,Dragons vs Knights,2015
55,Kick Bomb,Tyrone Roberts,,,,Knights,14:54,Dragons vs Knights,2015
56,Conversion-Made,Tyrone Roberts,,,12-6,Knights,13:41,Dragons vs Knights,2015
57,Try,Kurt Gidley,,,12-4,Knights,12:12,Dragons vs Knights,2015
58,Linebreak,Kurt Gidley,,,,Knights,12:12,Dragons vs Knights,2015
59,On Report,Leeson Ah Mau,,,,Dragons,11:54,Dragons vs Knights,2015
60,Penalty - Dangerous Tackle,Leeson Ah Mau,,,,Dragons,11:47,Dragons vs Knights,2015
61,Penalty - Slow Peel,Josh Dugan,,,,Dragons,10:42,Dragons vs Knights,2015
62,Conversion-Made,Gareth Widdop,,,12-0,Dragons,09:22,Dragons vs Knights,2015
63,Video Referee,Try,,,,Dragons,08:37,Dragons vs Knights,2015
64,Try,Mitch Rein,,,10-0,Dragons,08:37,Dragons vs Knights,2015
65,Linebreak,Joel Thompson,,,,Dragons,08:32,Dragons vs Knights,2015
66,Penalty - Slow Peel,Dane Gagai,,,,Knights,07:42,Dragons vs Knights,2015
67,Penalty - Lying in the Ruck,Peter Mata'utia,,,,Dragons,04:06,Dragons vs Knights,2015
68,Conversion-Made,Gareth Widdop,,,6-0,Dragons,02:46,Dragons vs Knights,2015
69,Video Referee,Try,,,,Dragons,01:56,Dragons vs Knights,2015
70,Try,Josh Dugan,,,4-0,Dragons,01:56,Dragons vs Knights,2015
71,KICK OFF,,,,,,00:00,Dragons vs Knights,2015
