,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Titans vs Eels,2015
1,Line Dropout,Luke Kelly,,,,Eels,78:38,Titans vs Eels,2015
2,Linebreak,Kane Elgey,,,,Titans,77:19,Titans vs Eels,2015
3,Conversion-Made,Aidan Sezer,,,24-14,Titans,73:52,Titans vs Eels,2015
4,Try,James Roberts,,,22-14,Titans,72:22,Titans vs Eels,2015
5,Interchange - Sin Bin Return,Manu Ma'u,,,,Eels,72:10,Titans vs Eels,2015
6,Conversion-Missed,Reece Robinson,,,,Eels,70:26,Titans vs Eels,2015
7,Try,Bureta Faraimo,,,18-14,Eels,68:52,Titans vs Eels,2015
8,Linebreak,Bureta Faraimo,,,,Eels,68:50,Titans vs Eels,2015
9,Penalty - Dangerous Tackle,Luke Kelly,,,,Eels,65:25,Titans vs Eels,2015
10,Kick Bomb,Nathan Peats,,,,Eels,65:17,Titans vs Eels,2015
11,Penalty - Dangerous Tackle,Darcy Lussick,,,,Eels,62:06,Titans vs Eels,2015
12,Penalty - Ball Strip,Aidan Sezer,,,,Titans,60:24,Titans vs Eels,2015
13,Line Dropout,Josh Hoffman,,,,Titans,59:54,Titans vs Eels,2015
14,Penalty - Early Tackle,Semi Radradra,,,,Eels,56:27,Titans vs Eels,2015
15,Conversion-Made,Aidan Sezer,,,18-10,Titans,52:56,Titans vs Eels,2015
16,Video Referee,Try,,,,Titans,51:37,Titans vs Eels,2015
17,Try,Nene Macdonald,,,16-10,Titans,51:37,Titans vs Eels,2015
18,Linebreak,Nene Macdonald,,,,Titans,51:37,Titans vs Eels,2015
19,Line Dropout,Luke Kelly,,,,Eels,50:59,Titans vs Eels,2015
20,Penalty - Ball Strip,Dave Taylor,,,,Titans,47:42,Titans vs Eels,2015
21,Conversion-Made,Aidan Sezer,,,12-10,Titans,45:38,Titans vs Eels,2015
22,Try,Nene Macdonald,,,10-10,Titans,44:07,Titans vs Eels,2015
23,Penalty - Slow Peel,Isaac De Gois,,,,Eels,42:54,Titans vs Eels,2015
24,Kick Bomb,Luke Kelly,,,,Eels,40:51,Titans vs Eels,2015
25,Interchange - Sin Bin Return,Kane Elgey,,,,Titans,39:55,Titans vs Eels,2015
26,Interchange - Sin Bin Return,Ryan James,,,,Titans,39:04,Titans vs Eels,2015
27,Kick Bomb,Kane Elgey,,,,Titans,39:00,Titans vs Eels,2015
28,Kick Bomb,Luke Kelly,,,,Eels,38:12,Titans vs Eels,2015
29,Linebreak,Greg Bird,,,,Titans,35:02,Titans vs Eels,2015
30,Penalty - Hand in the Ruck,David Mead,,,,Titans,32:37,Titans vs Eels,2015
31,Kick Bomb,Luke Kelly,,,,Eels,31:43,Titans vs Eels,2015
32,Conversion-Made,Reece Robinson,,,6-10,Eels,30:24,Titans vs Eels,2015
33,Video Referee,Try,,,,Eels,29:25,Titans vs Eels,2015
34,Try,Nathan Peats,,,6-8,Eels,29:25,Titans vs Eels,2015
35,Linebreak,Nathan Peats,,,,Eels,29:25,Titans vs Eels,2015
36,Penalty - Slow Peel,Eddy Pettybourne,,,,Titans,28:50,Titans vs Eels,2015
37,Penalty - Offside inside 10m,Matt White,,,,Titans,27:46,Titans vs Eels,2015
38,Line Dropout,Reece Robinson,,,,Eels,26:24,Titans vs Eels,2015
39,Penalty - Leg Pull,Nene Macdonald,,,,Titans,23:06,Titans vs Eels,2015
40,Interchange - Sin Bin Return,Ryan James,,,,Titans,19:43,Titans vs Eels,2015
41,Line Dropout,Reece Robinson,,,,Eels,19:19,Titans vs Eels,2015
42,Penalty - Slow Peel,Junior Paulo,,,,Eels,17:17,Titans vs Eels,2015
43,Interchange - Sin Bin Return,Vai Toutai,,,,Eels,16:26,Titans vs Eels,2015
44,Conversion-Missed,Reece Robinson,,,,Eels,13:28,Titans vs Eels,2015
45,Try,Junior Paulo,,,6-4,Eels,11:51,Titans vs Eels,2015
46,Linebreak,Junior Paulo,,,,Eels,11:51,Titans vs Eels,2015
47,Penalty - Offside inside 10m,Agnatius Paasi,,,,Titans,11:18,Titans vs Eels,2015
48,Linebreak,Reece Robinson,,,,Eels,10:29,Titans vs Eels,2015
49,Conversion-Made,Aidan Sezer,,,6-0,Titans,07:16,Titans vs Eels,2015
50,Video Referee,Try,,,,Titans,06:05,Titans vs Eels,2015
51,Try,Kane Elgey,,,4-0,Titans,06:05,Titans vs Eels,2015
52,Interchange - Sin Bin Return,Semi Radradra,,,,Eels,06:01,Titans vs Eels,2015
53,Interchange - Sin Bin Return,Josh Hoffman,,,,Titans,03:19,Titans vs Eels,2015
54,Kick Bomb,Luke Kelly,,,,Eels,03:14,Titans vs Eels,2015
55,Penalty - Crowding,David Gower,,,,Eels,01:50,Titans vs Eels,2015
56,Penalty - Crowding,Vai Toutai,,,,Eels,00:57,Titans vs Eels,2015
57,Penalty - Dangerous Tackle,Luke Kelly,,,,Eels,00:24,Titans vs Eels,2015
58,KICK OFF,,,,,,00:00,Titans vs Eels,2015
