,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Eels vs Panthers,2015
1,Penalty - Dangerous Tackle,Reagan Campbell-Gillard,,,,Panthers,79:51,Eels vs Panthers,2015
2,Penalty - Marker Not Square,Tepai Moeroa,,,,Eels,78:59,Eels vs Panthers,2015
3,Conversion-Made,Luke Kelly,,,10-4,Eels,77:06,Eels vs Panthers,2015
4,Try,Reece Robinson,,,8-4,Eels,75:31,Eels vs Panthers,2015
5,Linebreak,Reece Robinson,,,,Eels,75:23,Eels vs Panthers,2015
6,Linebreak,Semi Radradra,,,,Eels,73:44,Eels vs Panthers,2015
7,Interchange - Sin Bin Return,Jamie Soward,,,,Panthers,72:24,Eels vs Panthers,2015
8,Interchange - Sin Bin Return,Waqa Blake,,,,Panthers,69:57,Eels vs Panthers,2015
9,Interchange - Sin Bin Return,Bureta Faraimo,,,,Eels,68:39,Eels vs Panthers,2015
10,Kick Bomb,Isaac John,,,,Panthers,68:36,Eels vs Panthers,2015
11,Interchange - Sin Bin Return,Manu Ma'u,,,,Eels,67:09,Eels vs Panthers,2015
12,Interchange - Sin Bin Return,Tepai Moeroa,,,,Eels,60:00,Eels vs Panthers,2015
13,Penalty - Marker Not Square,Tim Mannah,,,,Eels,57:56,Eels vs Panthers,2015
14,Interchange - Sin Bin Return,Waqa Blake,,,,Panthers,56:14,Eels vs Panthers,2015
15,Kick Bomb,Luke Kelly,,,,Eels,56:10,Eels vs Panthers,2015
16,Penalty - Offside inside 10m,Leilani Latu,,,,Panthers,54:34,Eels vs Panthers,2015
17,Penalty - Flop,Junior Paulo,,,,Eels,52:49,Eels vs Panthers,2015
18,Interchange - Sin Bin Return,Isaac John,,,,Panthers,50:59,Eels vs Panthers,2015
19,Penalty - Crowding,Isaac De Gois,,,,Eels,50:25,Eels vs Panthers,2015
20,Penalty - Hand in the Ruck,Isaac De Gois,,,,Eels,49:53,Eels vs Panthers,2015
21,Linebreak,Will Smith,,,,Panthers,49:31,Eels vs Panthers,2015
22,Kick Bomb,Jamie Soward,,,,Panthers,48:39,Eels vs Panthers,2015
23,Conversion-Missed,Luke Kelly,,,,Eels,45:33,Eels vs Panthers,2015
24,Video Referee,Try,,,,Eels,44:17,Eels vs Panthers,2015
25,Try,Semi Radradra,,,4-4,Eels,44:17,Eels vs Panthers,2015
26,Linebreak,Semi Radradra,,,,Eels,44:15,Eels vs Panthers,2015
27,Linebreak,Semi Radradra,,,,Eels,42:54,Eels vs Panthers,2015
28,Kick Bomb,Luke Kelly,,,,Eels,41:59,Eels vs Panthers,2015
29,Kick Bomb,Jamie Soward,,,,Panthers,40:55,Eels vs Panthers,2015
30,Penalty Shot-Missed,Luke Kelly,,,,Eels,40:00,Eels vs Panthers,2015
31,Penalty - Marker Not Square,Tyrone Peachey,,,,Panthers,39:46,Eels vs Panthers,2015
32,Penalty - 2nd Effort,Isaah Yeo,,,,Panthers,36:08,Eels vs Panthers,2015
33,Line Dropout,Luke Kelly,,,,Eels,30:31,Eels vs Panthers,2015
34,Line Dropout,Luke Kelly,,,,Eels,29:09,Eels vs Panthers,2015
35,Penalty - Slow Peel,Isaac De Gois,,,,Eels,27:17,Eels vs Panthers,2015
36,Penalty - Crowding,Jamie Soward,,,,Panthers,25:39,Eels vs Panthers,2015
37,Penalty - Slow Peel,Sika Manu,,,,Panthers,20:14,Eels vs Panthers,2015
38,Conversion-Missed,Jamie Soward,,,,Panthers,18:32,Eels vs Panthers,2015
39,Try,Waqa Blake,,,0-4,Panthers,17:01,Eels vs Panthers,2015
40,Linebreak,Waqa Blake,,,,Panthers,17:01,Eels vs Panthers,2015
41,Line Dropout,Luke Kelly,,,,Eels,16:06,Eels vs Panthers,2015
42,Line Dropout,Luke Kelly,,,,Eels,14:41,Eels vs Panthers,2015
43,Line Dropout,Reece Robinson,,,,Eels,13:16,Eels vs Panthers,2015
44,Penalty - Dangerous Tackle,Luke Kelly,,,,Eels,11:01,Eels vs Panthers,2015
45,Penalty - Slow Peel,Junior Paulo,,,,Eels,10:52,Eels vs Panthers,2015
46,Line Dropout,Corey Norman,,,,Eels,10:39,Eels vs Panthers,2015
47,Penalty - Flop,Corey Norman,,,,Eels,08:37,Eels vs Panthers,2015
48,Interchange - Sin Bin Return,Waqa Blake,,,,Panthers,07:02,Eels vs Panthers,2015
49,Penalty - Slow Peel,Tepai Moeroa,,,,Eels,06:05,Eels vs Panthers,2015
50,Line Dropout,Corey Norman,,,,Eels,04:01,Eels vs Panthers,2015
51,Interchange - Sin Bin Return,Josh Mansour,,,,Panthers,01:30,Eels vs Panthers,2015
52,Interchange - Sin Bin Return,Manu Ma'u,,,,Eels,00:24,Eels vs Panthers,2015
53,KICK OFF,,,,,,00:00,Eels vs Panthers,2015
