,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Michael
                
                  Gordon",1.0,Fullback,,80:00,,14,1,4,5,1,83.33%,-,,75.0,,18.0,239.0,159,,51.0,1,1,1,-,5,-,-,-,2,19,-,,-,-,13,30.0,0.72,,83.3%,5.0,-,1,-,3,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Sharks,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
1,,"Sosaia
                
                  Feki",2.0,Winger,,51:00,,-,-,-,-,-,-,-,,9.0,,8.0,78.0,20,,25.0,-,-,-,-,-,-,-,-,2,9,-,,-,-,1,9.0,0.12,,50%,2.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,51:00,-,Sharks,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
2,,"Gerard
                
                  Beale",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,48.0,,11.0,192.0,108,,37.0,-,-,-,-,1,-,-,-,-,-,-,,1,-,4,13.0,0.36,,86.7%,13.0,-,2,-,2,,1,24,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
3,,"Ricky
                
                  Leutele",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,41.0,,14.0,132.0,-,,62.0,1,-,-,-,2,-,-,-,2,17,-,,-,1,4,16.0,0.29,,85.7%,12.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
4,,"Valentine
                
                  Holmes",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,34.0,,11.0,117.0,41,,54.0,-,-,-,-,8,-,-,-,1,14,-,,-,-,3,13.0,0.27,,50%,1.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
5,,"Jack
                
                  Bird",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,62.0,,9.0,78.0,5,,26.0,1,-,-,-,3,-,-,-,-,-,-,,-,1,22,33.0,2.44,,85.4%,35.0,4,2,-,1,,2,34,-,-,2,-,-,1,,-,1,-,-,-,-,-,,80:00,-,Sharks,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
6,,"Jeff
                
                  Robson",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,26.0,,3.0,25.0,-,,11.0,-,1,1,-,-,-,-,-,-,-,-,,-,4,38,48.0,12.67,,83.3%,15.0,3,-,-,-,,8,217,1,2,-,-,1,-,,-,-,-,1,-,-,-,,80:00,-,Sharks,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
7,,"Chris
                
                  Heighington",8.0,Prop,,44:00,,-,-,-,-,-,-,-,,34.0,,13.0,112.0,-,,44.0,-,-,-,-,-,11,-,-,-,-,-,,1,-,1,13.0,0.08,,95.8%,23.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,44:00,-,Sharks,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
8,,"Michael
                
                  Ennis",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,50.0,,6.0,41.0,-,,7.0,-,-,-,-,2,2,-,-,4,26,-,,-,11,107,114.0,17.83,,87%,47.0,6,1,-,-,,5,105,-,-,3,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
9,,"Sam
                
                  Tagataese",10.0,Prop,,32:00,,-,-,-,-,-,-,-,,24.0,,9.0,79.0,21,,30.0,-,-,-,-,-,6,-,-,-,-,-,,1,-,1,9.0,0.11,,91.3%,21.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,1,-,-,,32:00,-,Sharks,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
10,,"Anthony
                
                  Tupou",11.0,2nd Row,,41:00,,-,-,-,-,-,-,-,,39.0,,8.0,89.0,-,,42.0,-,-,-,-,3,6,-,-,-,-,-,,-,2,3,8.0,0.38,,96.3%,26.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,41:00,-,Sharks,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
11,,"Wade
                
                  Graham",12.0,2nd Row,,80:00,,4,1,-,-,-,-,-,,68.0,,17.0,135.0,-,,55.0,1,-,-,-,5,14,-,-,1,7,-,,2,-,6,24.0,0.35,,84.4%,27.0,4,1,-,1,,3,82,1,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
12,,"Paul
                
                  Gallen",13.0,Lock,,80:00,,-,-,-,-,-,-,-,,67.0,,25.0,234.0,30,,98.0,-,-,-,-,-,22,-,-,-,-,-,,-,3,5,29.0,0.2,,92%,46.0,1,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
13,,"Ben
                
                  Barba",14.0,Interchange,,29:00,,-,-,-,-,-,-,-,,4.0,,3.0,39.0,9,,13.0,-,-,-,-,-,-,-,-,-,-,-,,-,-,1,5.0,0.33,,100%,1.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,29:00,-,Sharks,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
14,,"Matt
                
                  Prior",15.0,Interchange,,44:00,,-,-,-,-,-,-,-,,32.0,,12.0,119.0,31,,44.0,-,-,-,-,-,9,-,-,-,-,-,,-,1,2,13.0,0.17,,100%,23.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,44:00,-,Sharks,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
15,,"Tinirau
                
                  Arona",16.0,Interchange,,20:00,,-,-,-,-,-,-,-,,13.0,,5.0,53.0,8,,21.0,-,-,-,-,-,4,-,-,-,-,-,,-,-,-,5.0,-,,85.7%,12.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,20:00,-,Sharks,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
16,,"Jayson
                
                  Bukuya",17.0,Interchange,,59:00,,-,-,-,-,-,-,-,,54.0,,6.0,58.0,-,,34.0,-,-,-,-,2,6,-,-,-,-,-,,1,-,-,6.0,-,,89.8%,44.0,3,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,59:00,-,Sharks,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
0,,"Lachlan
                
                  Coote",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,25.0,,9.0,58.0,19,,15.0,-,-,2,-,-,-,-,-,-,-,-,,-,1,23,37.0,2.56,,75%,6.0,2,-,-,2,,5,135,-,-,2,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
1,,"Matthew
                
                  Wright",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,26.0,,11.0,83.0,17,,30.0,-,-,-,-,-,-,-,-,1,10,-,,1,2,5,19.0,0.45,,100%,7.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
2,,"Justin
                
                  O'Neill",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,33.0,,10.0,102.0,-,,41.0,1,-,-,-,2,-,-,-,-,-,-,,1,-,2,15.0,0.2,,92.3%,12.0,1,-,1,1,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Cowboys,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
3,,"Kane
                
                  Linnett",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,34.0,,13.0,123.0,-,,41.0,-,-,-,-,2,-,-,-,-,-,-,,-,1,-,13.0,-,,75%,12.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
4,,"Antonio
                
                  Winterstein",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,34.0,,14.0,156.0,38,,56.0,-,-,-,-,3,-,-,-,1,7,-,,-,-,-,15.0,-,,100%,4.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Cowboys,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
5,,"Michael
                
                  Morgan",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,34.0,,4.0,40.0,1,,21.0,-,1,-,-,3,-,-,-,-,-,-,,1,2,13,22.0,3.25,,83.3%,20.0,2,2,-,-,,2,36,-,-,1,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Cowboys,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
6,,"Johnathan
                
                  Thurston",7.0,Halfback,,80:00,,6,-,2,3,1,75%,-,,62.0,,11.0,89.0,4,,11.0,1,1,1,-,5,-,-,-,-,-,-,,-,7,34,52.0,3.09,,72%,18.0,6,1,-,1,,13,317,1,3,2,-,2,-,,-,1,-,-,-,-,-,,80:00,-,Cowboys,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
7,,"Ben
                
                  Hannant",17.0,Prop,,46:00,,-,-,-,-,-,-,-,,41.0,,14.0,129.0,17,,41.0,-,-,-,-,1,13,-,-,-,-,-,,1,2,1,15.0,0.07,,94.1%,32.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,3,-,-,-,,46:00,-,Cowboys,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
8,,"Jake
                
                  Granville",9.0,Hooker,,53:00,,-,-,-,-,-,-,-,,34.0,,7.0,38.0,-,,13.0,-,-,-,-,1,1,-,-,6,29,-,,-,7,68,72.0,9.71,,91.2%,31.0,2,1,-,-,,2,22,-,-,2,-,-,-,,-,-,-,-,-,-,-,,53:00,-,Cowboys,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
9,,"James
                
                  Tamou",10.0,Prop,,61:00,,-,-,-,-,-,-,-,,40.0,,15.0,128.0,52,,44.0,-,-,-,-,-,10,-,-,-,-,-,,1,-,1,16.0,0.07,,93.8%,30.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,1,-,-,,61:00,-,Cowboys,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
10,,"Gavin
                
                  Cooper",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,71.0,,18.0,173.0,-,,76.0,1,-,-,-,6,17,-,-,1,7,-,,3,1,3,22.0,0.17,,87.8%,36.0,4,1,-,-,,1,4,-,-,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Cowboys,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
11,,"Ethan
                
                  Lowe",12.0,2nd Row,,71:00,,-,-,-,-,-,-,-,,38.0,,6.0,36.0,-,,15.0,-,-,-,-,-,5,-,-,1,9,-,,-,-,-,6.0,-,,90.7%,39.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,71:00,-,Cowboys,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
12,,"Jason
                
                  Taumalolo",13.0,Lock,,49:00,,-,-,-,-,-,-,-,,21.0,,8.0,77.0,-,,29.0,-,-,-,-,1,7,-,-,-,-,-,,-,-,1,9.0,0.12,,79.2%,19.0,4,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,49:00,-,Cowboys,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
13,,"Rory
                
                  Kostjasyn",14.0,Interchange,,27:00,,-,-,-,-,-,-,-,,24.0,,2.0,26.0,-,,5.0,-,-,-,-,1,-,-,-,1,10,-,,-,3,35,33.0,17.5,,100%,23.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,27:00,-,Cowboys,22,2015-08-08T07:30:00Z,Sharks vs Cowboys,2015
