,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Dragons vs Panthers,2015
1,Interchange - Sin Bin Return,Josh Mansour,,,,Panthers,79:53,Dragons vs Panthers,2015
2,Interchange - Sin Bin Return,Bryce Cartwright,,,,Panthers,78:41,Dragons vs Panthers,2015
3,Interchange - Sin Bin Return,Mitch Rein,,,,Dragons,78:20,Dragons vs Panthers,2015
4,Line Dropout,Jamie Soward,,,,Panthers,78:19,Dragons vs Panthers,2015
5,Conversion-Made,Gareth Widdop,,,19-12,Dragons,77:01,Dragons vs Panthers,2015
6,Try,Gareth Widdop,,,17-12,Dragons,75:15,Dragons vs Panthers,2015
7,Penalty - Offside inside 10m,Lewis Brown,,,,Panthers,73:50,Dragons vs Panthers,2015
8,Interchange - Sin Bin Return,Trent Merrin,,,,Dragons,70:45,Dragons vs Panthers,2015
9,Line Dropout,Tyrone Peachey,,,,Panthers,70:22,Dragons vs Panthers,2015
10,Drop Goal-Made,Benji Marshall,,,13-12,Dragons,68:12,Dragons vs Panthers,2015
11,Line Dropout,Jamie Soward,,,,Panthers,67:28,Dragons vs Panthers,2015
12,Penalty - Holding Down,Euan Aitken,,,,Dragons,59:22,Dragons vs Panthers,2015
13,Linebreak,Tyrone Peachey,,,,Panthers,59:13,Dragons vs Panthers,2015
14,Kick Bomb,Benji Marshall,,,,Dragons,58:43,Dragons vs Panthers,2015
15,Interchange - Sin Bin Return,Sika Manu,,,,Panthers,55:44,Dragons vs Panthers,2015
16,Penalty Shot-Made,Gareth Widdop,,,12-12,Dragons,54:04,Dragons vs Panthers,2015
17,Penalty - Slow Peel,Sika Manu,,,,Panthers,52:50,Dragons vs Panthers,2015
18,Linebreak,Gareth Widdop,,,,Dragons,52:40,Dragons vs Panthers,2015
19,Kick Bomb,Jamie Soward,,,,Panthers,50:40,Dragons vs Panthers,2015
20,Penalty Shot-Made,Jamie Soward,,,10-12,Panthers,49:17,Dragons vs Panthers,2015
21,On Report,Jake Marketo,,,,Dragons,48:03,Dragons vs Panthers,2015
22,Penalty - Dangerous Tackle,Jake Marketo,,,,Dragons,48:00,Dragons vs Panthers,2015
23,Penalty - Ball Strip,Craig Garvey,,,,Dragons,45:16,Dragons vs Panthers,2015
24,Penalty - Offside Downtown,Peter Mata'utia,,,,Dragons,43:48,Dragons vs Panthers,2015
25,Kick Bomb,Gareth Widdop,,,,Dragons,43:43,Dragons vs Panthers,2015
26,Drop Goal-Missed,Benji Marshall,,,,Dragons,39:52,Dragons vs Panthers,2015
27,Kick Bomb,Benji Marshall,,,,Dragons,38:26,Dragons vs Panthers,2015
28,Penalty Shot-Made,Gareth Widdop,,,10-10,Dragons,37:09,Dragons vs Panthers,2015
29,Penalty - Leg Pull,Bryce Cartwright,,,,Panthers,36:06,Dragons vs Panthers,2015
30,Conversion-Missed,Jamie Soward,,,,Panthers,34:19,Dragons vs Panthers,2015
31,Try,Josh Mansour,,,8-10,Panthers,32:37,Dragons vs Panthers,2015
32,Linebreak,Josh Mansour,,,,Panthers,32:36,Dragons vs Panthers,2015
33,Interchange - Sin Bin Return,Justin Hunt,,,,Dragons,30:46,Dragons vs Panthers,2015
34,Line Dropout,Josh Dugan,,,,Dragons,29:41,Dragons vs Panthers,2015
35,Conversion-Made,Jamie Soward,,,8-6,Panthers,27:45,Dragons vs Panthers,2015
36,Try,David Simmons,,,8-4,Panthers,26:14,Dragons vs Panthers,2015
37,On Report,Euan Aitken,,,,Dragons,25:53,Dragons vs Panthers,2015
38,Penalty - Flop,Euan Aitken,,,,Dragons,25:47,Dragons vs Panthers,2015
39,On Report,Tyson Frizell,,,,Dragons,25:28,Dragons vs Panthers,2015
40,Penalty - Tripping,Tyson Frizell,,,,Dragons,25:22,Dragons vs Panthers,2015
41,Line Dropout,Josh Dugan,,,,Dragons,24:43,Dragons vs Panthers,2015
42,Penalty - Obstruction,Tupou Sopoaga,,,,Panthers,21:34,Dragons vs Panthers,2015
43,Penalty - Obstruction,Jack de Belin,,,,Dragons,19:09,Dragons vs Panthers,2015
44,Penalty - Slow Peel,Tyson Frizell,,,,Dragons,17:55,Dragons vs Panthers,2015
45,Conversion-Made,Gareth Widdop,,,8-0,Dragons,15:43,Dragons vs Panthers,2015
46,Try,Peter Mata'utia,,,6-0,Dragons,14:08,Dragons vs Panthers,2015
47,Linebreak,Peter Mata'utia,,,,Dragons,14:08,Dragons vs Panthers,2015
48,Penalty - Slow Peel,Sika Manu,,,,Panthers,13:05,Dragons vs Panthers,2015
49,Penalty Shot-Made,Gareth Widdop,,,2-0,Dragons,08:32,Dragons vs Panthers,2015
50,Penalty - Holding Down,Sika Manu,,,,Panthers,07:30,Dragons vs Panthers,2015
51,Interchange - Sin Bin Return,Justin Hunt,,,,Dragons,05:18,Dragons vs Panthers,2015
52,Penalty - Slow Peel,Lewis Brown,,,,Panthers,04:40,Dragons vs Panthers,2015
53,Interchange - Sin Bin Return,Elijah Taylor,,,,Panthers,03:56,Dragons vs Panthers,2015
54,Penalty - Slow Peel,Mike Cooper,,,,Dragons,01:07,Dragons vs Panthers,2015
55,KICK OFF,,,,,,00:00,Dragons vs Panthers,2015
