,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Greg
                
                  Inglis",1.0,Fullback,,68:00,,-,-,-,-,-,-,-,,39.0,,13.0,111.0,65,,45.0,-,1,1,-,4,-,-,-,-,-,-,,-,4,13,27.0,1,,100%,9.0,-,-,-,2,,-,-,-,-,-,-,-,-,,-,2,-,1,-,-,-,,68:00,-,Rabbitohs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
1,,"Alex
                
                  Johnston",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,28.0,,7.0,56.0,20,,14.0,1,-,-,-,1,-,-,-,1,10,-,,-,-,3,12.0,0.43,,73.3%,11.0,2,2,-,1,,1,18,-,-,-,-,-,1,,-,1,-,-,-,-,-,,80:00,-,Rabbitohs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
2,,"Dylan
                
                  Walker",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,38.0,,15.0,134.0,13,,46.0,-,-,-,-,4,-,-,-,1,15,-,,1,2,3,19.0,0.2,,81.2%,13.0,2,1,-,1,,1,33,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
3,,"Kirisome
                
                  Auva'a",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,18.0,,12.0,100.0,-,,37.0,-,-,-,-,1,-,-,-,3,28,-,,-,-,-,12.0,-,,70%,7.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Rabbitohs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
4,,"Bryson
                
                  Goodwin",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,29.0,,10.0,105.0,46,,32.0,-,-,-,-,2,-,-,-,-,-,-,,1,1,-,13.0,-,,100%,3.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
5,,"John
                
                  Sutton",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,32.0,,10.0,73.0,-,,24.0,-,-,1,-,-,-,-,-,-,-,-,,2,8,53,62.0,5.3,,80%,16.0,1,3,-,-,,3,57,-,-,1,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
6,,"Adam
                
                  Reynolds",7.0,Halfback,,80:00,,6,-,3,3,-,100%,-,,43.0,,7.0,58.0,-,,8.0,-,-,-,-,-,-,-,-,-,-,-,,1,10,32,49.0,4.57,,71%,22.0,6,3,-,-,,12,412,-,4,-,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
7,,"George
                
                  Burgess",8.0,Prop,,50:00,,-,-,-,-,-,-,-,,45.0,,10.0,99.0,-,,41.0,-,-,-,-,1,10,-,-,-,-,-,,-,-,-,10.0,-,,94.6%,35.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,50:00,-,Rabbitohs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
8,,"Cameron
                
                  McInnes",25.0,Hooker,,69:00,,-,-,-,-,-,-,-,,46.0,,12.0,103.0,-,,22.0,-,-,-,-,1,1,-,-,11,93,-,,-,6,110,112.0,9.17,,92.1%,35.0,1,2,-,-,,1,17,-,-,-,-,-,-,,-,-,-,-,-,-,-,,69:00,-,Rabbitohs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
9,,"David
                
                  Tyrrell",10.0,Prop,,45:00,,-,-,-,-,-,-,-,,30.0,,7.0,64.0,11,,14.0,-,-,-,-,-,6,-,-,-,-,-,,-,-,-,8.0,-,,90.9%,30.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,45:00,-,Rabbitohs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
10,,"Kyle
                
                  Turner",11.0,2nd Row,,47:00,,-,-,-,-,-,-,-,,30.0,,6.0,41.0,-,,22.0,-,-,-,-,-,6,-,-,-,-,-,,-,-,2,9.0,0.33,,90.9%,30.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,47:00,-,Rabbitohs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
11,,"Jason
                
                  Clark",12.0,2nd Row,,48:00,,4,1,-,-,-,-,-,,60.0,,13.0,121.0,-,,38.0,1,-,-,-,5,12,-,-,1,1,-,,-,-,2,15.0,0.15,,86.2%,25.0,1,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,48:00,-,Rabbitohs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
12,,"Chris
                
                  McQueen",13.0,Lock,,80:00,,-,-,-,-,-,-,-,,47.0,,11.0,80.0,-,,31.0,-,-,-,-,-,11,-,-,-,-,-,,1,1,-,11.0,-,,97.5%,39.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Rabbitohs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
13,,"Paul
                
                  Carter",9.0,Interchange,,27:00,,-,-,-,-,-,-,-,,25.0,,7.0,59.0,-,,22.0,-,-,-,-,1,5,-,-,2,22,-,,1,2,9,17.0,1.29,,94.1%,16.0,1,-,-,-,,1,20,-,-,1,-,-,-,,-,-,-,-,-,-,-,,27:00,-,Rabbitohs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
14,,"Glenn
                
                  Stewart",15.0,Interchange,,51:00,,-,-,-,-,-,-,-,,42.0,,15.0,126.0,-,,44.0,-,-,-,-,2,12,-,-,-,-,-,,2,1,4,17.0,0.27,,89.7%,26.0,3,-,-,-,,1,-,-,-,1,-,-,-,,-,-,-,-,-,-,-,,51:00,-,Rabbitohs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
15,,"Tim
                
                  Grant",16.0,Interchange,,34:00,,-,-,-,-,-,-,-,,26.0,,12.0,111.0,25,,43.0,-,-,-,-,-,9,-,-,-,-,-,,-,-,-,12.0,-,,94.4%,17.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,34:00,-,Rabbitohs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
16,,"Thomas
                
                  Burgess",17.0,Interchange,,41:00,,-,-,-,-,-,-,-,,38.0,,14.0,134.0,-,,56.0,-,-,-,-,-,14,-,-,-,-,-,,1,-,3,18.0,0.21,,100%,22.0,-,-,-,-,,1,30,-,-,-,-,-,-,,-,-,-,-,-,-,-,,41:00,-,Rabbitohs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
0,,"Brett
                
                  Morris",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,61.0,,15.0,174.0,54,,59.0,-,-,-,-,10,-,-,-,3,35,-,,-,1,11,26.0,0.73,,100%,5.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Bulldogs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
1,,"Curtis
                
                  Rona",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,49.0,,14.0,145.0,36,,45.0,1,1,-,-,4,1,-,-,-,-,-,,2,-,1,14.0,0.07,,100%,3.0,-,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
2,,"Josh
                
                  Morris",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,19.0,,11.0,105.0,-,,38.0,-,-,-,-,2,-,-,-,2,18,-,,-,-,6,16.0,0.55,,75%,9.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
3,,"Timoteo
                
                  Lafai",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,19.0,,9.0,81.0,18,,13.0,-,-,-,-,1,-,-,-,-,-,-,,-,1,6,16.0,0.67,,82.4%,14.0,2,1,-,-,,2,47,-,-,1,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Bulldogs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
4,,"Sam
                
                  Perrett",5.0,Winger,,80:00,,8,2,-,-,-,-,-,,44.0,,14.0,136.0,40,,40.0,1,-,1,-,-,-,-,-,2,24,-,,-,-,3,21.0,0.21,,85.7%,6.0,1,-,-,1,,1,22,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
5,,"Moses
                
                  Mbye",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,19.0,,5.0,40.0,-,,16.0,-,-,-,-,1,-,-,-,-,-,-,,1,4,28,38.0,5.6,,83.3%,15.0,3,-,-,-,,4,102,1,-,2,-,-,-,,-,1,-,2,-,-,-,,80:00,-,Bulldogs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
6,,"Trent
                
                  Hodkinson",7.0,Halfback,,80:00,,8,-,4,6,-,66.67%,-,,68.0,,1.0,30.0,-,,2.0,1,1,1,-,-,-,-,-,-,-,-,,-,2,34,46.0,34,,96.7%,29.0,-,1,-,-,,10,347,-,3,1,-,-,1,,-,1,-,-,-,-,-,,80:00,-,Bulldogs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
7,,"Sam
                
                  Kasiano",8.0,Prop,,37:00,,-,-,-,-,-,-,-,,46.0,,10.0,87.0,11,,40.0,-,1,-,-,3,8,-,-,-,-,-,,5,-,4,13.0,0.4,,90.5%,19.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,37:00,-,Bulldogs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
8,,"Damien
                
                  Cook",9.0,Hooker,,80:00,,4,1,-,-,-,-,-,,64.0,,4.0,25.0,-,,9.0,1,-,1,-,-,-,-,-,3,20,-,,1,1,89,93.0,22.25,,89.1%,49.0,3,3,-,-,,1,13,-,-,1,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Bulldogs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
9,,"James
                
                  Graham",10.0,Prop,,69:00,,-,-,-,-,-,-,-,,64.0,,24.0,222.0,27,,59.0,-,-,-,-,2,18,-,-,-,-,-,,1,2,8,28.0,0.33,,88.4%,38.0,2,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,69:00,-,Bulldogs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
10,,"Josh
                
                  Jackson",11.0,2nd Row,,71:00,,-,-,-,-,-,-,-,,43.0,,9.0,76.0,-,,31.0,-,-,-,-,1,9,-,-,-,-,-,,-,4,6,16.0,0.67,,90.5%,38.0,2,2,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,71:00,-,Bulldogs,24,2015-08-21T09:45:00Z,Rabbitohs vs Bulldogs,2015
