,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Roosters vs Broncos,2015
1,Interchange - Sin Bin Return,Justin Hodges,,,,Broncos,79:26,Roosters vs Broncos,2015
2,Line Dropout,James Maloney,,,,Roosters,78:42,Roosters vs Broncos,2015
3,Interchange - Sin Bin Return,Ben Hunt,,,,Broncos,74:43,Roosters vs Broncos,2015
4,Penalty - Crowding,Justin Hodges,,,,Broncos,70:35,Roosters vs Broncos,2015
5,Line Dropout,Ben Hunt,,,,Broncos,69:12,Roosters vs Broncos,2015
6,Kick Bomb,James Maloney,,,,Roosters,66:46,Roosters vs Broncos,2015
7,On Report,Dylan Napa,,,,Roosters,64:34,Roosters vs Broncos,2015
8,Penalty - Shoulder Charge,Dylan Napa,,,,Roosters,64:29,Roosters vs Broncos,2015
9,Conversion-Missed,Corey Parker,,,,Broncos,61:49,Roosters vs Broncos,2015
10,Video Referee,Try,,,,Broncos,60:41,Roosters vs Broncos,2015
11,Try,Corey Oates,,,12-10,Broncos,60:41,Roosters vs Broncos,2015
12,Linebreak,Corey Oates,,,,Broncos,60:41,Roosters vs Broncos,2015
13,Kick Bomb,James Maloney,,,,Roosters,59:34,Roosters vs Broncos,2015
14,Kick Bomb,Ben Hunt,,,,Broncos,58:40,Roosters vs Broncos,2015
15,Penalty - Holding Down,Sam Thaiday,,,,Broncos,56:38,Roosters vs Broncos,2015
16,Penalty - Slow Peel,James Maloney,,,,Roosters,53:27,Roosters vs Broncos,2015
17,Interchange - Sin Bin Return,Anthony Milford,,,,Broncos,51:47,Roosters vs Broncos,2015
18,Kick Bomb,James Maloney,,,,Roosters,51:06,Roosters vs Broncos,2015
19,Conversion-Missed,James Maloney,,,,Roosters,49:52,Roosters vs Broncos,2015
20,Video Referee,Try,,,,Roosters,48:26,Roosters vs Broncos,2015
21,Try,Boyd Cordner,,,12-6,Roosters,48:26,Roosters vs Broncos,2015
22,Conversion-Made,Jordan Kahu,,,8-6,Broncos,46:48,Roosters vs Broncos,2015
23,Try,Jordan Kahu,,,8-4,Broncos,45:11,Roosters vs Broncos,2015
24,Linebreak,Jordan Kahu,,,,Broncos,45:10,Roosters vs Broncos,2015
25,Penalty - Holding Down,James Maloney,,,,Roosters,44:25,Roosters vs Broncos,2015
26,Kick Bomb,Jackson Hastings,,,,Roosters,43:16,Roosters vs Broncos,2015
27,Kick Bomb,Jackson Hastings,,,,Roosters,41:39,Roosters vs Broncos,2015
28,Linebreak,Michael Jennings,,,,Roosters,37:25,Roosters vs Broncos,2015
29,Penalty - Slow Peel,Alex Glenn,,,,Broncos,36:00,Roosters vs Broncos,2015
30,Interchange - Sin Bin Return,Anthony Milford,,,,Broncos,34:49,Roosters vs Broncos,2015
31,Kick Bomb,James Maloney,,,,Roosters,34:20,Roosters vs Broncos,2015
32,Conversion-Made,James Maloney,,,8-0,Roosters,31:09,Roosters vs Broncos,2015
33,Try,Brendan Elliot,,,6-0,Roosters,29:40,Roosters vs Broncos,2015
34,Linebreak,Brendan Elliot,,,,Roosters,29:38,Roosters vs Broncos,2015
35,Line Dropout,Ben Hunt,,,,Broncos,29:04,Roosters vs Broncos,2015
36,Kick Bomb,Ben Hunt,,,,Broncos,27:37,Roosters vs Broncos,2015
37,Penalty - Ball Strip,Adam Blair,,,,Broncos,19:34,Roosters vs Broncos,2015
38,Interchange - Sin Bin Return,Corey Oates,,,,Broncos,18:09,Roosters vs Broncos,2015
39,Interchange - Sin Bin Return,Mitchell Pearce,,,,Roosters,15:27,Roosters vs Broncos,2015
40,Linebreak,Jake Friend,,,,Roosters,15:25,Roosters vs Broncos,2015
41,Penalty Shot-Made,James Maloney,,,2-0,Roosters,11:03,Roosters vs Broncos,2015
42,Penalty - Holding Down,Justin Hodges,,,,Broncos,09:22,Roosters vs Broncos,2015
43,Kick Bomb,Mitchell Pearce,,,,Roosters,06:24,Roosters vs Broncos,2015
44,Kick Bomb,Mitchell Pearce,,,,Roosters,04:45,Roosters vs Broncos,2015
45,Kick Bomb,Ben Hunt,,,,Broncos,03:53,Roosters vs Broncos,2015
46,Penalty - Dangerous Tackle,Michael Jennings,,,,Roosters,01:00,Roosters vs Broncos,2015
47,KICK OFF,,,,,,00:00,Roosters vs Broncos,2015
