,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Michael
                
                  Gordon",1.0,Fullback,,80:00,,16,1,5,7,1,75%,-,,62.0,,18.0,214.0,57,,66.0,-,1,-,-,3,-,-,-,-,-,-,,2,2,5,24.0,0.28,,83.3%,5.0,1,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,24,2015-08-22T05:00:00Z,Sharks vs Wests Tigers,2015
1,,"Sosaia
                
                  Feki",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,22.0,,9.0,83.0,8,,25.0,1,-,-,-,-,-,-,-,-,-,-,,-,-,1,13.0,0.11,,100%,2.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,24,2015-08-22T05:00:00Z,Sharks vs Wests Tigers,2015
2,,"Gerard
                
                  Beale",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,33.0,,8.0,104.0,-,,20.0,-,2,1,-,4,-,-,-,1,8,-,,-,1,6,14.0,0.75,,62.5%,5.0,2,1,1,-,,1,33,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,24,2015-08-22T05:00:00Z,Sharks vs Wests Tigers,2015
3,,"Ricky
                
                  Leutele",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,27.0,,8.0,72.0,-,,26.0,-,1,1,-,-,-,-,-,1,10,-,,1,1,9,15.0,1.12,,86.7%,13.0,1,1,-,-,,1,6,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,24,2015-08-22T05:00:00Z,Sharks vs Wests Tigers,2015
4,,"Valentine
                
                  Holmes",5.0,Winger,,80:00,,8,2,-,-,-,-,-,,54.0,,12.0,216.0,34,,27.0,2,-,-,-,2,1,-,-,1,8,-,,-,3,2,13.0,0.17,,40%,2.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,24,2015-08-22T05:00:00Z,Sharks vs Wests Tigers,2015
5,,"Jack
                
                  Bird",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,37.0,,10.0,81.0,-,,21.0,-,1,2,-,2,-,-,-,-,-,-,,1,3,23,31.0,2.3,,71.4%,15.0,3,3,-,-,,1,3,-,-,1,-,-,-,,-,1,1,-,-,-,-,,80:00,-,Sharks,24,2015-08-22T05:00:00Z,Sharks vs Wests Tigers,2015
6,,"Jeff
                
                  Robson",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,18.0,,7.0,47.0,-,,7.0,-,-,-,-,-,-,-,-,-,-,-,,1,6,39,47.0,5.57,,87.5%,14.0,2,-,-,-,,4,88,-,2,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Sharks,24,2015-08-22T05:00:00Z,Sharks vs Wests Tigers,2015
7,,"Chris
                
                  Heighington",8.0,Prop,,34:00,,-,-,-,-,-,-,-,,24.0,,16.0,122.0,7,,39.0,-,-,-,-,-,12,-,-,-,-,-,,-,-,9,22.0,0.56,,100%,12.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,34:00,-,Sharks,24,2015-08-22T05:00:00Z,Sharks vs Wests Tigers,2015
8,,"Michael
                
                  Ennis",9.0,Hooker,,75:00,,4,1,-,-,-,-,-,,53.0,,10.0,68.0,-,,20.0,1,-,-,-,3,2,-,-,7,54,-,,1,11,105,113.0,10.5,,79.4%,27.0,4,3,-,-,,2,101,-,-,-,-,-,1,,-,1,-,-,-,-,-,,75:00,-,Sharks,24,2015-08-22T05:00:00Z,Sharks vs Wests Tigers,2015
9,,"Sam
                
                  Tagataese",10.0,Prop,,41:00,,-,-,-,-,-,-,-,,25.0,,12.0,110.0,-,,43.0,-,-,-,-,-,12,-,-,-,-,-,,2,-,2,14.0,0.17,,85.7%,12.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,41:00,-,Sharks,24,2015-08-22T05:00:00Z,Sharks vs Wests Tigers,2015
10,,"Luke
                
                  Lewis",11.0,2nd Row,,61:00,,4,1,-,-,-,-,-,,64.0,,10.0,125.0,4,,34.0,2,-,-,-,7,9,-,-,-,-,-,,2,1,-,11.0,-,,69.6%,16.0,3,4,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,61:00,-,Sharks,24,2015-08-22T05:00:00Z,Sharks vs Wests Tigers,2015
11,,"Wade
                
                  Graham",12.0,2nd Row,,78:00,,4,1,-,-,-,-,-,,66.0,,16.0,140.0,-,,51.0,-,-,-,-,6,14,-,-,-,-,1,,2,1,5,23.0,0.31,,87.5%,21.0,2,1,-,-,,3,108,-,-,1,-,-,2,,-,1,-,-,-,-,-,,78:00,-,Sharks,24,2015-08-22T05:00:00Z,Sharks vs Wests Tigers,2015
12,,"Paul
                
                  Gallen",13.0,Lock,,71:00,,-,-,-,-,-,-,-,,33.0,,20.0,159.0,-,,55.0,-,-,-,-,1,19,-,-,-,-,-,,-,-,5,25.0,0.25,,83.3%,25.0,4,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,71:00,-,Sharks,24,2015-08-22T05:00:00Z,Sharks vs Wests Tigers,2015
13,,"Matt
                
                  Prior",14.0,Interchange,,37:00,,-,-,-,-,-,-,-,,24.0,,9.0,76.0,-,,32.0,-,-,-,-,-,9,-,-,-,-,-,,1,-,1,10.0,0.11,,88.5%,23.0,2,1,1,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,37:00,-,Sharks,24,2015-08-22T05:00:00Z,Sharks vs Wests Tigers,2015
