,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Reece
                
                  Robinson",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,29.0,,12.0,113.0,12,,38.0,1,-,-,-,2,-,-,-,1,13,-,,-,3,22,34.0,1.83,,33.3%,1.0,2,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,25,2015-08-29T05:00:00Z,Eels vs Sharks,2015
1,,"Semi
                
                  Radradra",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,37.0,,12.0,136.0,55,,48.0,-,1,1,-,2,-,-,-,2,31,-,,-,-,3,17.0,0.25,,71.4%,5.0,2,-,-,2,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Eels,25,2015-08-29T05:00:00Z,Eels vs Sharks,2015
2,,"Will
                
                  Hopoate",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,22.0,,9.0,106.0,20,,43.0,-,-,-,-,-,-,-,-,4,55,-,,-,-,5,14.0,0.56,,84.2%,16.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,25,2015-08-29T05:00:00Z,Eels vs Sharks,2015
3,,"Ryan
                
                  Morgan",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,38.0,,12.0,118.0,-,,40.0,-,-,1,-,3,-,-,-,1,16,-,,-,-,7,16.0,0.58,,78.6%,11.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,25,2015-08-29T05:00:00Z,Eels vs Sharks,2015
4,,"Bureta
                
                  Faraimo",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,22.0,,7.0,58.0,21,,27.0,-,-,-,-,1,-,-,-,-,-,-,,1,-,9,17.0,1.29,,100%,13.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Eels,25,2015-08-29T05:00:00Z,Eels vs Sharks,2015
5,,"Corey
                
                  Norman",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,35.0,,10.0,108.0,-,,8.0,1,-,-,-,1,-,-,-,-,-,-,,1,11,32,43.0,3.2,,75%,12.0,3,1,-,-,,8,213,-,2,-,-,3,-,,-,-,-,-,-,-,-,,80:00,-,Eels,25,2015-08-29T05:00:00Z,Eels vs Sharks,2015
6,,"Luke
                
                  Kelly",7.0,Halfback,,80:00,,8,-,4,5,-,80%,-,,48.0,,5.0,47.0,-,,9.0,-,1,-,-,1,-,-,-,-,-,-,,-,8,21,33.0,4.2,,95%,19.0,1,-,-,-,,9,288,1,2,2,-,1,1,,-,1,-,-,-,-,-,,80:00,-,Eels,25,2015-08-29T05:00:00Z,Eels vs Sharks,2015
7,,"Junior
                
                  Paulo",8.0,Prop,,57:00,,-,-,-,-,-,-,-,,40.0,,11.0,111.0,-,,48.0,-,-,-,-,2,11,-,-,-,-,-,,1,-,1,12.0,0.09,,92.6%,25.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,57:00,-,Eels,25,2015-08-29T05:00:00Z,Eels vs Sharks,2015
8,,"Isaac
                
                  De Gois",9.0,Hooker,,80:00,,4,1,-,-,-,-,-,,61.0,,4.0,16.0,-,,3.0,1,-,-,-,2,-,-,-,4,16,-,,1,1,83,88.0,20.75,,92%,46.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Eels,25,2015-08-29T05:00:00Z,Eels vs Sharks,2015
9,,"Tim
                
                  Mannah",10.0,Prop,,56:00,,-,-,-,-,-,-,-,,41.0,,16.0,145.0,48,,39.0,-,-,-,-,-,12,-,-,-,-,-,,-,-,2,17.0,0.12,,96.4%,27.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,56:00,-,Eels,25,2015-08-29T05:00:00Z,Eels vs Sharks,2015
