,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Knights vs Bulldogs,2015
1,Interchange - Sin Bin Return,Akuila Uate,,,,Knights,76:32,Knights vs Bulldogs,2015
2,Line Dropout,Moses Mbye,,,,Bulldogs,76:29,Knights vs Bulldogs,2015
3,Kick Bomb,Moses Mbye,,,,Bulldogs,75:01,Knights vs Bulldogs,2015
4,Kick Bomb,Moses Mbye,,,,Bulldogs,73:12,Knights vs Bulldogs,2015
5,Kick Bomb,Tyrone Roberts,,,,Knights,72:03,Knights vs Bulldogs,2015
6,Conversion-Made,Tyrone Roberts,,,18-20,Knights,70:20,Knights vs Bulldogs,2015
7,Try,Kurt Gidley,,,16-20,Knights,69:20,Knights vs Bulldogs,2015
8,Linebreak,Kurt Gidley,,,,Knights,69:19,Knights vs Bulldogs,2015
9,Kick Bomb,Moses Mbye,,,,Bulldogs,66:24,Knights vs Bulldogs,2015
10,Conversion-Made,Timoteo Lafai,,,12-20,Bulldogs,63:11,Knights vs Bulldogs,2015
11,Video Referee,Try,,,,Bulldogs,62:11,Knights vs Bulldogs,2015
12,Try,Frank Pritchard,,,12-18,Bulldogs,62:11,Knights vs Bulldogs,2015
13,Linebreak,Frank Pritchard,,,,Bulldogs,62:10,Knights vs Bulldogs,2015
14,Penalty - Ball Strip,Dane Gagai,,,,Knights,60:26,Knights vs Bulldogs,2015
15,Interchange - Sin Bin Return,Damien Cook,,,,Bulldogs,59:08,Knights vs Bulldogs,2015
16,Linebreak,Josh Morris,,,,Bulldogs,58:43,Knights vs Bulldogs,2015
17,Kick Bomb,Tyrone Roberts,,,,Knights,56:11,Knights vs Bulldogs,2015
18,Conversion-Made,Tyrone Roberts,,,12-14,Knights,52:35,Knights vs Bulldogs,2015
19,Video Referee,Try,,,,Knights,51:24,Knights vs Bulldogs,2015
20,Try,Nathan Ross,,,10-14,Knights,51:24,Knights vs Bulldogs,2015
21,Penalty - Marker Not Square,Curtis Rona,,,,Bulldogs,50:24,Knights vs Bulldogs,2015
22,Penalty - 2nd Effort,David Klemmer,,,,Bulldogs,50:02,Knights vs Bulldogs,2015
23,Penalty - Dangerous Tackle,Tim Browne,,,,Bulldogs,48:30,Knights vs Bulldogs,2015
24,Interchange - Sin Bin Return,Beau Scott,,,,Knights,46:19,Knights vs Bulldogs,2015
25,Penalty - Escorts,Curtis Rona,,,,Bulldogs,43:38,Knights vs Bulldogs,2015
26,Line Dropout,Moses Mbye,,,,Bulldogs,42:38,Knights vs Bulldogs,2015
27,Kick Bomb,Tyrone Roberts,,,,Knights,39:56,Knights vs Bulldogs,2015
28,Penalty - Crowding,Shaun Lane,,,,Bulldogs,36:51,Knights vs Bulldogs,2015
29,Conversion-Missed,Moses Mbye,,,,Bulldogs,32:52,Knights vs Bulldogs,2015
30,Try,Damien Cook,,,6-14,Bulldogs,31:22,Knights vs Bulldogs,2015
31,Linebreak,Damien Cook,,,,Bulldogs,31:18,Knights vs Bulldogs,2015
32,Kick Bomb,Tyrone Roberts,,,,Knights,28:48,Knights vs Bulldogs,2015
33,Conversion-Made,Moses Mbye,,,6-10,Bulldogs,26:44,Knights vs Bulldogs,2015
34,Try,Timoteo Lafai,,,6-8,Bulldogs,25:16,Knights vs Bulldogs,2015
35,Linebreak,Timoteo Lafai,,,,Bulldogs,25:15,Knights vs Bulldogs,2015
36,Penalty - Dangerous Tackle,Beau Scott,,,,Knights,24:20,Knights vs Bulldogs,2015
37,Interchange - Sin Bin Return,Beau Scott,,,,Knights,23:09,Knights vs Bulldogs,2015
38,Interchange - Sin Bin Return,Trent Hodkinson,,,,Bulldogs,22:32,Knights vs Bulldogs,2015
39,Conversion-Missed,Trent Hodkinson,,,,Bulldogs,21:06,Knights vs Bulldogs,2015
40,Try,Curtis Rona,,,6-4,Bulldogs,19:21,Knights vs Bulldogs,2015
41,Penalty - Holding Down,Josh Jackson,,,,Bulldogs,17:42,Knights vs Bulldogs,2015
42,Kick Bomb,Kurt Gidley,,,,Knights,14:22,Knights vs Bulldogs,2015
43,Conversion-Made,Kurt Gidley,,,6-0,Knights,12:59,Knights vs Bulldogs,2015
44,Try,Tariq Sims,,,4-0,Knights,11:17,Knights vs Bulldogs,2015
45,Linebreak,Sione Mata'utia,,,,Knights,10:41,Knights vs Bulldogs,2015
46,Linebreak,Sam Perrett,,,,Bulldogs,09:36,Knights vs Bulldogs,2015
47,Interchange - Sin Bin Return,Josh Jackson,,,,Bulldogs,06:13,Knights vs Bulldogs,2015
48,Line Dropout,Trent Hodkinson,,,,Bulldogs,05:10,Knights vs Bulldogs,2015
49,On Report,Frank Pritchard,,,,Bulldogs,03:25,Knights vs Bulldogs,2015
50,Penalty - Dangerous Tackle,Frank Pritchard,,,,Bulldogs,02:56,Knights vs Bulldogs,2015
51,Penalty - Offside inside 10m,Korbin Sims,,,,Knights,01:34,Knights vs Bulldogs,2015
52,On Report,Kade Snowden,,,,Knights,01:20,Knights vs Bulldogs,2015
53,Penalty - Dangerous Tackle,Kade Snowden,,,,Knights,01:13,Knights vs Bulldogs,2015
54,KICK OFF,,,,,,00:00,Knights vs Bulldogs,2015
