,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Storm vs Cowboys,2015
1,Conversion-Made,Johnathan Thurston,,,14-6,Cowboys,79:01,Storm vs Cowboys,2015
2,Try,Kyle Feldt,,,14-4,Cowboys,78:34,Storm vs Cowboys,2015
3,Penalty - Dangerous Tackle,Christian Welch,,,,Storm,77:45,Storm vs Cowboys,2015
4,Kick Bomb,Cooper Cronk,,,,Storm,72:07,Storm vs Cowboys,2015
5,Interchange - Sin Bin Return,Gavin Cooper,,,,Cowboys,70:34,Storm vs Cowboys,2015
6,Kick Bomb,Johnathan Thurston,,,,Cowboys,70:29,Storm vs Cowboys,2015
7,Line Dropout,Cameron Smith,,,,Storm,68:01,Storm vs Cowboys,2015
8,Penalty - Ball Strip,Cameron Munster,,,,Storm,65:38,Storm vs Cowboys,2015
9,Interchange - Sin Bin Return,Cooper Cronk,,,,Storm,65:32,Storm vs Cowboys,2015
10,Interchange - Sin Bin Return,Lachlan Coote,,,,Cowboys,64:25,Storm vs Cowboys,2015
11,Interchange - Sin Bin Return,Johnathan Thurston,,,,Cowboys,59:00,Storm vs Cowboys,2015
12,Line Dropout,Cameron Smith,,,,Storm,57:22,Storm vs Cowboys,2015
13,40/20 Kick,Blake Green,,,,Storm,49:41,Storm vs Cowboys,2015
14,Kick Bomb,Lachlan Coote,,,,Cowboys,49:08,Storm vs Cowboys,2015
15,Linebreak,Nelson Asofa-Solomona,,,,Storm,47:02,Storm vs Cowboys,2015
16,Kick Bomb,Blake Green,,,,Storm,45:23,Storm vs Cowboys,2015
17,Conversion-Made,Cameron Smith,,,14-0,Storm,44:09,Storm vs Cowboys,2015
18,Try,Will Chambers,,,12-0,Storm,42:42,Storm vs Cowboys,2015
19,Interchange - Sin Bin Return,Jesse Bromwich,,,,Storm,39:44,Storm vs Cowboys,2015
20,Penalty - Ball Strip,Johnathan Thurston,,,,Cowboys,38:53,Storm vs Cowboys,2015
21,Penalty - Obstruction,Gavin Cooper,,,,Cowboys,37:50,Storm vs Cowboys,2015
22,Line Dropout,Kyle Feldt,,,,Cowboys,35:53,Storm vs Cowboys,2015
23,Line Dropout,Kyle Feldt,,,,Cowboys,34:20,Storm vs Cowboys,2015
24,Linebreak,Cameron Munster,,,,Storm,33:49,Storm vs Cowboys,2015
25,Penalty - Hand in the Ruck,Ray Thompson,,,,Cowboys,30:57,Storm vs Cowboys,2015
26,Kick Bomb,Cameron Smith,,,,Storm,29:39,Storm vs Cowboys,2015
27,Conversion-Made,Cameron Smith,,,8-0,Storm,28:23,Storm vs Cowboys,2015
28,Try,Kenneath Bromwich,,,6-0,Storm,26:49,Storm vs Cowboys,2015
29,Linebreak,Kenneath Bromwich,,,,Storm,26:49,Storm vs Cowboys,2015
30,Interchange - Sin Bin Return,Will Chambers,,,,Storm,23:56,Storm vs Cowboys,2015
31,Line Dropout,Kyle Feldt,,,,Cowboys,23:53,Storm vs Cowboys,2015
32,Line Dropout,Kyle Feldt,,,,Cowboys,22:07,Storm vs Cowboys,2015
33,Kick Bomb,Johnathan Thurston,,,,Cowboys,20:33,Storm vs Cowboys,2015
34,Penalty Shot-Made,Cameron Smith,,,2-0,Storm,16:56,Storm vs Cowboys,2015
35,Penalty - Late Tackle,Jake Granville,,,,Cowboys,15:43,Storm vs Cowboys,2015
36,Penalty - Offside inside 10m,Justin O'Neill,,,,Cowboys,14:59,Storm vs Cowboys,2015
37,Kick Bomb,Johnathan Thurston,,,,Cowboys,14:47,Storm vs Cowboys,2015
38,Penalty - Slow Peel,Kyle Feldt,,,,Cowboys,11:23,Storm vs Cowboys,2015
39,Penalty - 2nd Effort,Scott Bolton,,,,Cowboys,10:36,Storm vs Cowboys,2015
40,Line Dropout,Cameron Smith,,,,Storm,07:50,Storm vs Cowboys,2015
41,Penalty - Hand in the Ruck,Tohu Harris,,,,Storm,05:30,Storm vs Cowboys,2015
42,Penalty - Offside inside 10m,Blake Green,,,,Storm,02:52,Storm vs Cowboys,2015
43,Penalty - Marker Not Square,Ryan Hinchcliffe,,,,Storm,02:02,Storm vs Cowboys,2015
44,KICK OFF,,,,,,00:00,Storm vs Cowboys,2015
