,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Josh
                
                  Dugan",1.0,Fullback,,85:00,,12,1,3,6,1,57.14%,-,,66.0,,14.0,187.0,47,,61,1,-,-,-,8,-,-,-,2,31,-,,-,-,3,17.0,0.21,,66.7%,6.0,2,1,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,85:00,-,Dragons,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
1,,"Etonia
                
                  Nabuli",2.0,Winger,,75:00,,4,1,-,-,-,-,-,,18.0,,8.0,78.0,34,,28,-,-,-,-,1,-,-,-,1,4,-,,-,-,1,10.0,0.12,,60%,3.0,2,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,75:00,-,Dragons,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
2,,"Euan
                
                  Aitken",3.0,Centre,,85:00,,8,2,-,-,-,-,-,,76.0,,12.0,152.0,7,,46,2,-,-,-,8,-,-,-,4,63,1,,-,1,2,15.0,0.17,,75.8%,25.0,5,3,-,2,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,85:00,-,Dragons,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
3,,"Peter
                
                  Mata'utia",4.0,Centre,,85:00,,-,-,-,-,-,-,-,,12.0,,7.0,79.0,18,,27,-,-,-,-,-,-,-,-,-,-,-,,-,-,8,12.0,1.14,,70%,7.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,85:00,-,Dragons,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
4,,"Jason
                
                  Nightingale",5.0,Winger,,85:00,,4,1,-,-,-,-,-,,35.0,,19.0,190.0,17,,60,-,-,-,-,1,-,-,-,8,86,-,,1,-,4,21.0,0.21,,70%,7.0,2,1,1,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,85:00,-,Dragons,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
5,,"Drew
                
                  Hutchison",19.0,Five-Eighth,,85:00,,-,-,-,-,-,-,-,,31.0,,2.0,12.0,-,,5,-,-,1,-,2,-,-,-,-,-,-,,-,2,16,26.0,8,,81%,17.0,2,2,-,-,,7,159,1,1,3,-,1,-,,-,1,-,1,-,-,-,,85:00,-,Dragons,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
6,,"Benji
                
                  Marshall",7.0,Halfback,,85:00,,-,-,-,-,-,-,-,,42.0,,5.0,33.0,-,,-,-,3,4,-,-,-,-,-,-,-,-,,-,1,23,36.0,4.6,,87.5%,7.0,1,-,-,-,,8,206,-,-,3,-,-,-,,-,-,-,1,-,-,-,,85:00,-,Dragons,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
7,,"Leeson
                
                  Ah Mau",8.0,Prop,,46:00,,-,-,-,-,-,-,-,,42.0,,9.0,104.0,-,,48,-,-,-,-,1,9,-,-,-,-,-,,-,-,-,9.0,-,,96.7%,29.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,46:00,-,Dragons,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
8,,"Mitch
                
                  Rein",9.0,Hooker,,85:00,,-,-,-,-,-,-,-,,49.0,,5.0,46.0,-,,11,-,-,-,-,1,-,-,-,5,46,-,,-,2,102,105.0,20.4,,86.8%,46.0,3,4,-,-,,1,42,1,-,-,-,-,-,,-,2,-,-,-,-,-,,85:00,-,Dragons,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
9,,"Mike
                
                  Cooper",10.0,Prop,,46:00,,-,-,-,-,-,-,-,,38.0,,10.0,103.0,11,,39,-,-,-,-,1,9,-,-,-,-,-,,-,-,-,10.0,-,,84.6%,33.0,3,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,46:00,-,Dragons,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
10,,"Tyson
                
                  Frizell",11.0,2nd Row,,65:00,,4,1,-,-,-,-,-,,46.0,,11.0,112.0,-,,38,1,-,-,-,1,10,-,-,-,-,-,,-,-,2,13.0,0.18,,89.7%,26.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,1,-,2,-,-,-,,65:00,-,Dragons,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
11,,"Jake
                
                  Marketo",12.0,2nd Row,,85:00,,-,-,-,-,-,-,-,,39.0,,7.0,69.0,-,,23,-,-,-,-,2,7,-,-,-,-,-,,-,-,-,7.0,-,,90.6%,29.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,85:00,-,Dragons,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
12,,"Trent
                
                  Merrin",13.0,Lock,,58:00,,-,-,-,-,-,-,-,,40.0,,15.0,157.0,27,,63,-,-,-,-,-,13,-,-,-,-,-,,-,1,1,16.0,0.07,,93.9%,31.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,58:00,-,Dragons,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
13,,"George
                
                  Rose",14.0,Interchange,,13:00,,-,-,-,-,-,-,-,,13.0,,4.0,52.0,22,,22,-,-,-,-,1,3,-,-,-,-,-,,-,-,-,4.0,-,,87.5%,7.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,13:00,-,Dragons,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
14,,"Ben
                
                  Creagh",15.0,Interchange,,50:00,,-,-,-,-,-,-,-,,39.0,,12.0,128.0,13,,51,-,-,-,-,1,11,-,-,-,-,-,,-,-,1,13.0,0.08,,86.5%,32.0,4,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,50:00,-,Dragons,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
15,,"Jack
                
                  de Belin",17.0,Interchange,,51:00,,-,-,-,-,-,-,-,,40.0,,15.0,158.0,27,,56,-,-,-,-,-,12,-,-,-,-,-,,-,3,4,17.0,0.27,,93.5%,29.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,51:00,-,Dragons,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
16,,"Nathan
                
                  Green",21.0,Interchange,,16:00,,-,-,-,-,-,-,-,,11.0,,1.0,11.0,-,,3,-,-,-,-,-,1,-,-,-,-,-,,-,-,-,1.0,-,,80%,16.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,16:00,-,Dragons,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
0,,"James
                
                  Tedesco",1.0,Fullback,,85:00,,4,1,-,-,-,-,-,,50.0,,15.0,107.0,20,,34,-,3,1,-,4,-,-,-,-,-,-,,-,2,5,22.0,0.33,,100%,4.0,-,-,-,5,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,85:00,-,Wests,26,2015-09-05T07:30:00Z,Dragons vs Wests Tigers,2015
