,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Kurt
                
                  Gidley",1.0,Fullback,,78:00,,4,1,-,-,-,-,-,,55.0,,10.0,95.0,4,,29.0,1,-,-,-,6,-,-,-,-,-,-,,-,3,22,30.0,2.2,,85.7%,12.0,1,1,-,1,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,78:00,-,Knights,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
1,,"Sione
                
                  Mata'utia",18.0,Winger,,78:00,,-,-,-,-,-,-,-,,16.0,,11.0,107.0,23,,35.0,-,-,-,-,-,-,-,-,-,-,-,,-,-,1,13.0,0.09,,61.5%,8.0,2,3,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,78:00,-,Knights,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
2,,"Dane
                
                  Gagai",3.0,Centre,,78:00,,-,-,-,-,-,-,-,,28.0,,19.0,133.0,-,,43.0,-,1,1,-,2,1,-,-,1,7,-,,-,1,14,28.0,0.74,,59.3%,16.0,7,4,-,-,,1,6,-,-,1,-,-,-,,-,-,-,-,-,-,-,,78:00,-,Knights,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
3,,"Joseph
                
                  Leilua",4.0,Centre,,78:00,,-,-,-,-,-,-,-,,26.0,,11.0,85.0,-,,26.0,-,-,-,-,6,-,-,-,-,-,-,,-,-,4,14.0,0.36,,61.1%,11.0,5,2,-,1,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,78:00,-,Knights,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
4,,"Akuila
                
                  Uate",5.0,Winger,,78:00,,4,1,-,-,-,-,-,,51.0,,12.0,163.0,48,,39.0,1,-,-,-,5,-,-,-,-,-,-,,-,-,-,15.0,-,,50%,3.0,2,1,-,4,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,78:00,-,Knights,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
5,,"Jarrod
                
                  Mullen",6.0,Five-Eighth,,78:00,,-,-,-,-,-,-,-,,46.0,,7.0,86.0,-,,25.0,-,2,1,-,3,-,-,-,1,11,-,,-,2,27,41.0,3.86,,57.1%,12.0,4,5,-,-,,11,325,-,2,2,-,1,1,,-,-,-,-,-,-,-,,78:00,-,Knights,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
6,,"Tyrone
                
                  Roberts",7.0,Halfback,,78:00,,10,-,4,4,1,100%,-,,32.0,,4.0,23.0,-,,6.0,-,-,-,-,-,-,-,-,-,-,-,,1,1,25,32.0,6.25,,76.9%,20.0,3,3,-,-,,3,92,-,-,1,-,-,-,,-,1,-,-,-,-,-,,78:00,-,Knights,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
7,,"Kade
                
                  Snowden",8.0,Prop,,62:00,,-,-,-,-,-,-,-,,56.0,,20.0,148.0,-,,47.0,-,-,-,-,1,18,-,-,-,-,-,,2,-,2,20.0,0.1,,90.7%,39.0,1,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,62:00,-,Knights,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
8,,"Adam
                
                  Clydsdale",9.0,Hooker,,35:00,,4,1,-,-,-,-,-,,35.0,,4.0,28.0,-,,9.0,1,-,-,-,2,-,-,-,4,28,-,,-,3,33,35.0,8.25,,91.3%,21.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,35:00,-,Knights,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
9,,"David
                
                  Fa'alogo",10.0,Prop,,37:00,,-,-,-,-,-,-,-,,38.0,,9.0,76.0,24,,23.0,-,-,-,-,2,7,-,-,-,-,-,,-,-,-,9.0,-,,96.4%,27.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,37:00,-,Knights,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
10,,"Beau
                
                  Scott",11.0,2nd Row,,74:00,,-,-,-,-,-,-,-,,71.0,,7.0,97.0,-,,33.0,1,-,-,-,8,4,-,-,3,41,-,,2,-,2,11.0,0.29,,89.2%,33.0,2,2,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,74:00,-,Knights,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
11,,"Chris
                
                  Houston",15.0,2nd Row,,78:00,,4,1,-,-,-,-,-,,74.0,,11.0,100.0,-,,37.0,1,-,-,-,2,11,-,-,-,-,-,,-,-,3,15.0,0.27,,90%,54.0,3,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,78:00,-,Knights,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
12,,"Jeremy
                
                  Smith",13.0,Lock,,61:00,,-,-,-,-,-,-,-,,48.0,,10.0,97.0,-,,46.0,-,-,-,-,1,10,-,-,-,-,-,,1,2,2,12.0,0.2,,89.5%,34.0,-,4,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,61:00,-,Knights,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
13,,"Tyler
                
                  Randell",14.0,Interchange,,44:00,,-,-,-,-,-,-,-,,39.0,,6.0,45.0,-,,16.0,-,-,-,-,1,2,-,-,4,26,-,,-,2,52,58.0,8.67,,86.8%,33.0,1,4,-,-,,1,21,-,-,1,-,-,-,,-,-,-,-,-,-,-,,44:00,-,Knights,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
14,,"Paterika
                
                  Vaivai",16.0,Interchange,,-,,-,-,-,-,-,-,-,,20.0,,6.0,60.0,12,,21.0,-,-,-,-,-,5,-,-,-,-,-,,-,-,1,7.0,0.17,,100%,14.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Knights,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
15,,"Jack
                
                  Stockwell",17.0,Interchange,,45:00,,-,-,-,-,-,-,-,,45.0,,13.0,110.0,-,,49.0,-,-,-,-,1,13,-,-,-,-,-,,1,1,1,16.0,0.08,,85.3%,29.0,-,5,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,45:00,-,Knights,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
16,,"Joseph
                
                  Tapine",19.0,Interchange,,47:00,,-,-,-,-,-,-,-,,18.0,,4.0,43.0,-,,25.0,-,-,-,-,-,4,-,-,-,-,-,,-,-,-,4.0,-,,93.3%,14.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,47:00,-,Knights,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
0,,"Matt
                
                  Moylan",1.0,Fullback,,80:00,,6,1,1,3,-,33.33%,-,,45.0,,15.0,101.0,6,,8.0,1,1,1,-,3,-,-,-,1,3,-,,1,8,33,45.0,2.2,,69.2%,9.0,3,1,-,1,,3,78,-,-,2,-,-,1,,-,-,-,2,-,-,-,,80:00,-,Panthers,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
1,,"Josh
                
                  Mansour",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,36.0,,20.0,139.0,29,,43.0,1,-,-,-,3,-,-,-,1,9,-,,2,-,4,25.0,0.2,,66.7%,4.0,2,-,-,-,,1,6,-,-,1,-,-,-,,-,2,-,1,-,-,-,,80:00,-,Panthers,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
2,,"Dean
                
                  Whare",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,37.0,,13.0,117.0,-,,37.0,2,-,-,-,3,-,-,-,3,28,-,,1,3,16,21.0,1.23,,64.7%,11.0,6,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
3,,"Jamal
                
                  Idris",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,50.0,,15.0,126.0,-,,53.0,-,-,-,-,8,2,-,-,1,12,-,,3,-,6,20.0,0.4,,77.8%,14.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
4,,"Dallin
                
                  Watene-Zelezniak",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,26.0,,14.0,83.0,20,,29.0,-,-,-,-,3,-,-,-,1,5,-,,2,1,5,19.0,0.36,,90%,9.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Panthers,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
5,,"Bryce
                
                  Cartwright",17.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,34.0,,14.0,88.0,-,,26.0,-,-,-,-,1,5,-,-,-,-,-,,5,6,14,28.0,1,,82.1%,23.0,5,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Panthers,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
6,,"Peter
                
                  Wallace",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,37.0,,12.0,56.0,-,,8.0,-,2,2,-,-,-,-,-,-,-,-,,-,3,45,60.0,3.75,,73.7%,14.0,4,1,-,-,,11,286,-,3,-,-,6,1,,-,-,-,1,-,-,-,,80:00,-,Panthers,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
7,,"Sam
                
                  McKendry",8.0,Prop,,32:00,,-,-,-,-,-,-,-,,18.0,,7.0,68.0,25,,27.0,-,-,-,-,-,5,-,-,-,-,-,,1,1,-,7.0,-,,84.2%,16.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,32:00,-,Panthers,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
8,,"Apisai
                
                  Koroisau",18.0,Hooker,,61:00,,-,-,-,-,-,-,-,,64.0,,13.0,83.0,-,,22.0,-,-,-,-,5,2,-,-,5,26,-,,2,13,85,95.0,6.54,,93.2%,41.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,61:00,-,Panthers,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
9,,"Brent
                
                  Kite",10.0,Prop,,38:00,,-,-,-,-,-,-,-,,17.0,,13.0,103.0,-,,42.0,-,-,-,-,1,11,-,-,-,-,-,,-,-,3,14.0,0.23,,70%,14.0,4,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,38:00,-,Panthers,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
10,,"Sika
                
                  Manu",11.0,2nd Row,,27:00,,-,-,-,-,-,-,-,,13.0,,6.0,43.0,-,,19.0,-,-,-,-,-,6,-,-,-,-,-,,-,-,-,6.0,-,,100%,11.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,27:00,-,Panthers,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
11,,"Isaah
                
                  Yeo",19.0,2nd Row,,59:00,,-,-,-,-,-,-,-,,38.0,,9.0,71.0,-,,35.0,-,-,-,-,-,8,-,-,1,5,-,,2,1,5,14.0,0.56,,93.5%,29.0,1,1,1,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,59:00,-,Panthers,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
12,,"Elijah
                
                  Taylor",13.0,Lock,,80:00,,-,-,-,-,-,-,-,,74.0,,13.0,121.0,-,,35.0,1,-,-,-,2,11,-,-,1,13,-,,2,8,11,23.0,0.85,,98%,48.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
13,,"Lewis
                
                  Brown",12.0,Interchange,,40:00,,-,-,-,-,-,-,-,,21.0,,8.0,76.0,-,,35.0,-,-,-,-,1,2,-,-,5,28,-,,1,8,36,41.0,4.5,,77.3%,17.0,4,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,40:00,-,Panthers,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
14,,"Tyrone
                
                  Peachey",14.0,Interchange,,53:00,,-,-,-,-,-,-,-,,56.0,,25.0,176.0,-,,62.0,-,1,-,-,3,19,-,-,-,-,1,,5,2,7,31.0,0.28,,96%,24.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,2,-,-,-,,53:00,-,Panthers,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
15,,"Jeremy
                
                  Latimore",15.0,Interchange,,44:00,,-,-,-,-,-,-,-,,46.0,,17.0,128.0,6,,46.0,-,-,-,-,-,16,-,-,-,-,-,,2,2,1,18.0,0.06,,96.8%,30.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,44:00,-,Panthers,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
16,,"Reagan
                
                  Campbell-Gillard",16.0,Interchange,,46:00,,-,-,-,-,-,-,-,,39.0,,15.0,128.0,13,,47.0,-,-,-,-,-,14,-,-,-,-,-,,1,-,3,18.0,0.2,,93.9%,31.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,46:00,-,Panthers,4,2015-03-28T04:00:00Z,Knights vs Panthers,2015
