,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Knights vs Dragons,2015
1,Line Dropout,Benji Marshall,,,,Dragons,80:00,Knights vs Dragons,2015
2,Interchange - Sin Bin Return,Dane Gagai,,,,Knights,75:38,Knights vs Dragons,2015
3,Penalty - Dangerous Tackle,Jake Marketo,,,,Dragons,74:09,Knights vs Dragons,2015
4,Drop Goal-Made,Benji Marshall,,,0-13,Dragons,70:39,Knights vs Dragons,2015
5,Conversion-Made,Gareth Widdop,,,0-12,Dragons,64:25,Knights vs Dragons,2015
6,Video Referee,Try,,,,Dragons,63:01,Knights vs Dragons,2015
7,Try,Josh Dugan,,,0-10,Dragons,63:01,Knights vs Dragons,2015
8,Linebreak,Josh Dugan,,,,Dragons,63:01,Knights vs Dragons,2015
9,Line Dropout,Jarrod Mullen,,,,Knights,62:21,Knights vs Dragons,2015
10,Interchange - Sin Bin Return,Tyrone Roberts,,,,Knights,61:08,Knights vs Dragons,2015
11,Interchange - Sin Bin Return,Mike Cooper,,,,Dragons,50:11,Knights vs Dragons,2015
12,Line Dropout,Jarrod Mullen,,,,Knights,49:56,Knights vs Dragons,2015
13,Interchange - Sin Bin Return,Sione Mata'utia,,,,Knights,48:17,Knights vs Dragons,2015
14,Kick Bomb,Benji Marshall,,,,Dragons,48:12,Knights vs Dragons,2015
15,Penalty - Holding Down,Jack de Belin,,,,Dragons,46:08,Knights vs Dragons,2015
16,Penalty - Dangerous Tackle,George Rose,,,,Dragons,45:34,Knights vs Dragons,2015
17,Penalty - Slow Peel,Joel Thompson,,,,Dragons,45:01,Knights vs Dragons,2015
18,Interchange - Sin Bin Return,Beau Scott,,,,Knights,43:16,Knights vs Dragons,2015
19,Interchange - Sin Bin Return,Gareth Widdop,,,,Dragons,41:40,Knights vs Dragons,2015
20,Kick Bomb,Gareth Widdop,,,,Dragons,41:36,Knights vs Dragons,2015
21,Kick Bomb,Tyrone Roberts,,,,Knights,40:53,Knights vs Dragons,2015
22,Drop Goal-Missed,Gareth Widdop,,,,Dragons,39:16,Knights vs Dragons,2015
23,Penalty Shot-Made,Gareth Widdop,,,0-6,Dragons,38:03,Knights vs Dragons,2015
24,Penalty - Dangerous Tackle,Chris Houston,,,,Knights,36:59,Knights vs Dragons,2015
25,Linebreak,Dylan Farrell,,,,Dragons,34:13,Knights vs Dragons,2015
26,Interchange - Sin Bin Return,Euan Aitken,,,,Dragons,32:20,Knights vs Dragons,2015
27,Kick Bomb,Jarrod Mullen,,,,Knights,32:09,Knights vs Dragons,2015
28,Kick Bomb,Gareth Widdop,,,,Dragons,25:40,Knights vs Dragons,2015
29,Penalty - Lying in the Ruck,Dylan Farrell,,,,Dragons,23:41,Knights vs Dragons,2015
30,Line Dropout,Jarrod Mullen,,,,Knights,22:43,Knights vs Dragons,2015
31,Penalty - 2nd Effort,Tyrone Roberts,,,,Knights,20:10,Knights vs Dragons,2015
32,Conversion-Missed,Gareth Widdop,,,,Dragons,16:46,Knights vs Dragons,2015
33,Try,Etonia Nabuli,,,0-4,Dragons,15:07,Knights vs Dragons,2015
34,Linebreak,Etonia Nabuli,,,,Dragons,15:07,Knights vs Dragons,2015
35,On Report,Tariq Sims,,,,Knights,13:42,Knights vs Dragons,2015
36,Penalty - Dangerous Tackle,Tariq Sims,,,,Knights,13:37,Knights vs Dragons,2015
37,Penalty - Offside inside 10m,Jason Nightingale,,,,Dragons,10:36,Knights vs Dragons,2015
38,Penalty - Hand in the Ruck,Trent Merrin,,,,Dragons,08:25,Knights vs Dragons,2015
39,Line Dropout,Josh Dugan,,,,Dragons,07:46,Knights vs Dragons,2015
40,Penalty - Holding Down,Euan Aitken,,,,Dragons,06:25,Knights vs Dragons,2015
41,Kick Bomb,Tyrone Roberts,,,,Knights,05:10,Knights vs Dragons,2015
42,Line Dropout,Jarrod Mullen,,,,Knights,03:12,Knights vs Dragons,2015
43,Penalty - Slow Peel,Tariq Sims,,,,Knights,01:21,Knights vs Dragons,2015
44,Interchange - Sin Bin Return,Kurt Gidley,,,,Knights,00:41,Knights vs Dragons,2015
45,KICK OFF,,,,,,00:00,Knights vs Dragons,2015
