,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Lachlan
                
                  Maranta",1.0,Fullback,,85:00,,-,-,-,-,-,-,-,,26.0,,17.0,150.0,67,,46.0,-,-,-,-,1,1,-,-,-,-,-,,1,3,11,26.0,0.65,,100%,2.0,-,-,-,4,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,85:00,-,Broncos,6,2015-04-10T09:35:00Z,Broncos vs Roosters,2015
1,,"Corey
                
                  Oates",2.0,Winger,,85:00,,-,-,-,-,-,-,-,,10.0,,12.0,115.0,18,,43.0,-,-,-,-,-,1,-,-,1,8,-,,-,-,-,12.0,-,,60%,3.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,85:00,-,Broncos,6,2015-04-10T09:35:00Z,Broncos vs Roosters,2015
2,,"Jack
                
                  Reed",3.0,Centre,,85:00,,-,-,-,-,-,-,-,,26.0,,11.0,96.0,-,,42.0,-,-,-,-,-,1,-,-,-,-,-,,1,-,5,16.0,0.45,,88.2%,15.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,85:00,-,Broncos,6,2015-04-10T09:35:00Z,Broncos vs Roosters,2015
3,,"Dale
                
                  Copley",4.0,Centre,,85:00,,-,-,-,-,-,-,-,,32.0,,10.0,91.0,-,,37.0,-,-,-,-,4,-,-,-,-,-,-,,-,1,3,14.0,0.3,,91.7%,11.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,85:00,-,Broncos,6,2015-04-10T09:35:00Z,Broncos vs Roosters,2015
4,,"Daniel
                
                  Vidot",5.0,Winger,,85:00,,-,-,-,-,-,-,-,,22.0,,18.0,209.0,34,,85.0,-,-,-,-,-,1,-,-,-,-,-,,-,-,-,18.0,-,,100%,1.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,85:00,-,Broncos,6,2015-04-10T09:35:00Z,Broncos vs Roosters,2015
5,,"Anthony
                
                  Milford",6.0,Five-Eighth,,85:00,,-,-,-,-,-,-,-,,24.0,,14.0,129.0,-,,40.0,-,-,-,-,1,-,-,-,1,11,-,,-,7,34,44.0,2.43,,85.7%,12.0,1,1,-,-,,1,39,-,-,-,-,-,-,,-,1,-,1,-,-,-,,85:00,-,Broncos,6,2015-04-10T09:35:00Z,Broncos vs Roosters,2015
6,,"Ben
                
                  Hunt",7.0,Halfback,,85:00,,8,2,-,-,-,-,-,,102.0,,15.0,145.0,-,,23.0,2,1,1,-,7,-,-,-,-,-,-,,2,21,39,67.0,2.6,,78.6%,11.0,2,1,-,-,,18,507,1,1,3,-,1,1,,-,1,-,-,-,-,-,,85:00,-,Broncos,6,2015-04-10T09:35:00Z,Broncos vs Roosters,2015
7,,"Josh
                
                  McGuire",8.0,Prop,,31:00,,-,-,-,-,-,-,-,,52.0,,18.0,155.0,-,,57.0,-,-,-,-,1,18,-,-,-,-,-,,-,-,4,22.0,0.22,,88.9%,40.0,3,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,31:00,-,Broncos,6,2015-04-10T09:35:00Z,Broncos vs Roosters,2015
8,,"Andrew
                
                  McCullough",9.0,Hooker,,64:00,,-,-,-,-,-,-,-,,51.0,,9.0,86.0,-,,37.0,-,-,-,-,-,3,-,-,6,48,-,,-,4,94,97.0,10.44,,97.8%,45.0,1,-,-,-,,1,51,-,-,-,-,-,-,,-,-,-,1,-,-,-,,64:00,-,Broncos,6,2015-04-10T09:35:00Z,Broncos vs Roosters,2015
9,,"Sam
                
                  Thaiday",10.0,Prop,,64:00,,-,-,-,-,-,-,-,,46.0,,14.0,126.0,47,,34.0,-,-,-,-,-,8,-,-,-,-,-,,-,-,4,16.0,0.29,,97.4%,37.0,1,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,64:00,-,Broncos,6,2015-04-10T09:35:00Z,Broncos vs Roosters,2015
