,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Dragons vs Bulldogs,2015
1,Kick Bomb,Trent Hodkinson,,,,Bulldogs,75:04,Dragons vs Bulldogs,2015
2,Penalty - Ball Strip,Curtis Rona,,,,Bulldogs,72:29,Dragons vs Bulldogs,2015
3,Conversion-Made,Gareth Widdop,,,31-6,Dragons,71:59,Dragons vs Bulldogs,2015
4,Try,Euan Aitken,,,29-6,Dragons,70:19,Dragons vs Bulldogs,2015
5,Penalty - Hand in the Ruck,Tony Williams,,,,Bulldogs,69:01,Dragons vs Bulldogs,2015
6,Drop Goal-Made,Benji Marshall,,,25-6,Dragons,66:43,Dragons vs Bulldogs,2015
7,Line Dropout,Trent Hodkinson,,,,Bulldogs,65:46,Dragons vs Bulldogs,2015
8,Kick Bomb,Gareth Widdop,,,,Dragons,64:58,Dragons vs Bulldogs,2015
9,Linebreak,Peter Mata'utia,,,,Dragons,64:07,Dragons vs Bulldogs,2015
10,Penalty - Holding Down,Ben Creagh,,,,Dragons,63:21,Dragons vs Bulldogs,2015
11,Conversion-Made,Gareth Widdop,,,24-6,Dragons,57:54,Dragons vs Bulldogs,2015
12,Try,Joel Thompson,,,22-6,Dragons,56:06,Dragons vs Bulldogs,2015
13,Linebreak,Joel Thompson,,,,Dragons,56:05,Dragons vs Bulldogs,2015
14,Interchange - Sin Bin Return,Sam Perrett,,,,Bulldogs,54:46,Dragons vs Bulldogs,2015
15,Interchange - Sin Bin Return,Gareth Widdop,,,,Dragons,51:55,Dragons vs Bulldogs,2015
16,On Report,Tyson Frizell,,,,Dragons,50:03,Dragons vs Bulldogs,2015
17,Penalty - Dangerous Tackle,Tyson Frizell,,,,Dragons,50:01,Dragons vs Bulldogs,2015
18,Conversion-Made,Trent Hodkinson,,,18-6,Bulldogs,49:19,Dragons vs Bulldogs,2015
19,Try,Josh Morris,,,18-4,Bulldogs,48:16,Dragons vs Bulldogs,2015
20,Linebreak,Josh Morris,,,,Bulldogs,48:13,Dragons vs Bulldogs,2015
21,Line Dropout,Josh Dugan,,,,Dragons,45:40,Dragons vs Bulldogs,2015
22,Penalty - 2nd Effort,Jake Marketo,,,,Dragons,44:21,Dragons vs Bulldogs,2015
23,Penalty - Dangerous Tackle,Joel Thompson,,,,Dragons,43:18,Dragons vs Bulldogs,2015
24,Interchange - Sin Bin Return,Josh Dugan,,,,Dragons,42:32,Dragons vs Bulldogs,2015
25,Interchange - Sin Bin Return,Jack de Belin,,,,Dragons,40:43,Dragons vs Bulldogs,2015
26,Conversion-Made,Gareth Widdop,,,18-0,Dragons,38:44,Dragons vs Bulldogs,2015
27,Try,Tyson Frizell,,,16-0,Dragons,37:09,Dragons vs Bulldogs,2015
28,Linebreak,Tyson Frizell,,,,Dragons,37:08,Dragons vs Bulldogs,2015
29,Penalty - Lying in the Ruck,Lloyd Perrett,,,,Bulldogs,35:48,Dragons vs Bulldogs,2015
30,Conversion-Made,Gareth Widdop,,,12-0,Dragons,35:00,Dragons vs Bulldogs,2015
31,Try,Peter Mata'utia,,,10-0,Dragons,33:01,Dragons vs Bulldogs,2015
32,Linebreak,Peter Mata'utia,,,,Dragons,33:00,Dragons vs Bulldogs,2015
33,Interchange - Sin Bin Return,Trent Hodkinson,,,,Bulldogs,30:01,Dragons vs Bulldogs,2015
34,Kick Bomb,Benji Marshall,,,,Dragons,27:08,Dragons vs Bulldogs,2015
35,Interchange - Sin Bin Return,Trent Merrin,,,,Dragons,24:42,Dragons vs Bulldogs,2015
36,Interchange - Sin Bin Return,Sam Perrett,,,,Bulldogs,18:40,Dragons vs Bulldogs,2015
37,Line Dropout,Josh Dugan,,,,Dragons,17:52,Dragons vs Bulldogs,2015
38,Kick Bomb,Moses Mbye,,,,Bulldogs,13:10,Dragons vs Bulldogs,2015
39,Interchange - Sin Bin Return,Dylan Farrell,,,,Dragons,12:00,Dragons vs Bulldogs,2015
40,Conversion-Made,Gareth Widdop,,,6-0,Dragons,10:41,Dragons vs Bulldogs,2015
41,Video Referee,Try,,,,Dragons,09:53,Dragons vs Bulldogs,2015
42,Try,Josh Dugan,,,4-0,Dragons,09:53,Dragons vs Bulldogs,2015
43,Linebreak,Josh Dugan,,,,Dragons,09:52,Dragons vs Bulldogs,2015
44,Penalty - Offside inside 10m,Michael Lichaa,,,,Bulldogs,08:45,Dragons vs Bulldogs,2015
45,Line Dropout,Josh Dugan,,,,Dragons,02:54,Dragons vs Bulldogs,2015
46,KICK OFF,,,,,,00:00,Dragons vs Bulldogs,2015
