,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Panthers vs Sea Eagles,2015
1,Eagles Interchange - Sin Bin Return,Steve Matai,,,,Sea,78:51,Panthers vs Sea Eagles,2015
2,Eagles Interchange - Sin Bin Return,Jamie Buhrer,,,,Sea,78:20,Panthers vs Sea Eagles,2015
3,Line Dropout,Matt Moylan,,,,Panthers,77:23,Panthers vs Sea Eagles,2015
4,Conversion-Missed,Peta Hiku,,,,Sea Eagles,72:04,Panthers vs Sea Eagles,2015
5,Try,Steve Matai,,,22-12,Sea Eagles,71:00,Panthers vs Sea Eagles,2015
6,Linebreak,Steve Matai,,,,Sea Eagles,71:00,Panthers vs Sea Eagles,2015
7,Line Dropout,Matt Moylan,,,,Panthers,69:53,Panthers vs Sea Eagles,2015
8,Penalties - Other,Dallin Watene-Zelezniak,,,,Panthers,67:06,Panthers vs Sea Eagles,2015
9,Conversion-Made,Matt Moylan,,,22-8,Panthers,66:23,Panthers vs Sea Eagles,2015
10,Try,Apisai Koroisau,,,20-8,Panthers,64:31,Panthers vs Sea Eagles,2015
11,Linebreak,Apisai Koroisau,,,,Panthers,64:30,Panthers vs Sea Eagles,2015
12,Conversion-Made,Matt Moylan,,,16-8,Panthers,61:40,Panthers vs Sea Eagles,2015
13,Try,Waqa Blake,,,14-8,Panthers,60:11,Panthers vs Sea Eagles,2015
14,Linebreak,Waqa Blake,,,,Panthers,60:07,Panthers vs Sea Eagles,2015
15,Penalty - Marker Not Square,Jake Trbojevic,,,,Sea Eagles,59:11,Panthers vs Sea Eagles,2015
16,Conversion-Missed,Matt Moylan,,,,Panthers,58:07,Panthers vs Sea Eagles,2015
17,Try,Josh Mansour,,,10-8,Panthers,56:35,Panthers vs Sea Eagles,2015
18,Linebreak,Josh Mansour,,,,Panthers,56:35,Panthers vs Sea Eagles,2015
19,Penalty - Slow Peel,Willie Mason,,,,Sea Eagles,55:53,Panthers vs Sea Eagles,2015
20,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,55:28,Panthers vs Sea Eagles,2015
21,Penalty - Hand in the Ruck,Matt Ballin,,,,Sea Eagles,53:24,Panthers vs Sea Eagles,2015
22,Penalty - Dangerous Tackle,Ligi Sao,,,,Sea Eagles,52:15,Panthers vs Sea Eagles,2015
23,Penalty - Offside inside 10m,Jake Trbojevic,,,,Sea Eagles,51:45,Panthers vs Sea Eagles,2015
24,Line Dropout,Matt Moylan,,,,Panthers,47:12,Panthers vs Sea Eagles,2015
25,Penalty - Dangerous Tackle,Sam McKendry,,,,Panthers,45:03,Panthers vs Sea Eagles,2015
26,Kick Bomb,Kieran Foran,,,,Sea Eagles,42:29,Panthers vs Sea Eagles,2015
27,Penalty Shot-Made,Peta Hiku,,,6-8,Sea Eagles,39:38,Panthers vs Sea Eagles,2015
28,Penalty - Marker Not Square,Matt Moylan,,,,Panthers,38:01,Panthers vs Sea Eagles,2015
29,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,36:32,Panthers vs Sea Eagles,2015
30,Interchange - Sin Bin Return,Dallin Watene-Zelezniak,,,,Panthers,33:08,Panthers vs Sea Eagles,2015
31,Linebreak,Tyrone Peachey,,,,Panthers,33:01,Panthers vs Sea Eagles,2015
32,Kick Bomb,Isaac John,,,,Panthers,31:39,Panthers vs Sea Eagles,2015
33,Conversion-Made,Peta Hiku,,,6-6,Sea Eagles,24:57,Panthers vs Sea Eagles,2015
34,Try,Justin Horo,,,6-4,Sea Eagles,23:17,Panthers vs Sea Eagles,2015
35,Line Dropout,Matt Moylan,,,,Panthers,22:23,Panthers vs Sea Eagles,2015
36,Penalty - Slow Peel,James Segeyaro,,,,Panthers,19:36,Panthers vs Sea Eagles,2015
37,Eagles Interchange - Sin Bin Return,Tom Trbojevic,,,,Sea,18:12,Panthers vs Sea Eagles,2015
38,Interchange - Sin Bin Return,Josh Mansour,,,,Panthers,16:28,Panthers vs Sea Eagles,2015
39,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,15:55,Panthers vs Sea Eagles,2015
40,Penalty - 2nd Effort,Josh Mansour,,,,Panthers,14:31,Panthers vs Sea Eagles,2015
41,Penalty - Slow Peel,Jake Trbojevic,,,,Sea Eagles,13:14,Panthers vs Sea Eagles,2015
42,Penalty - Hand in the Ruck,James Segeyaro,,,,Panthers,11:47,Panthers vs Sea Eagles,2015
43,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,09:42,Panthers vs Sea Eagles,2015
44,Interchange - Sin Bin Return,James Segeyaro,,,,Panthers,05:15,Panthers vs Sea Eagles,2015
45,Linebreak,Matt Moylan,,,,Panthers,05:14,Panthers vs Sea Eagles,2015
46,Penalty - Holding Down,Jake Trbojevic,,,,Sea Eagles,05:09,Panthers vs Sea Eagles,2015
47,Conversion-Made,Matt Moylan,,,6-0,Panthers,04:00,Panthers vs Sea Eagles,2015
48,Video Referee,Try,,,,Panthers,02:41,Panthers vs Sea Eagles,2015
49,Try,Josh Mansour,,,4-0,Panthers,02:41,Panthers vs Sea Eagles,2015
50,Linebreak,Josh Mansour,,,,Panthers,02:40,Panthers vs Sea Eagles,2015
51,Penalty - Holding Down,Dunamis Lui,,,,Sea Eagles,01:46,Panthers vs Sea Eagles,2015
52,KICK OFF,,,,,,00:00,Panthers vs Sea Eagles,2015
