,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Tuimoala
                
                  Lolohea",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,36.0,,11.0,142.0,75,,21.0,-,1,1,-,2,-,-,-,1,-,-,,-,2,8,18.0,0.73,,100%,1.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,6,2015-04-11T07:30:00Z,Warriors vs Wests Tigers,2015
1,,"Jonathan
                
                  Wright",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,23.0,,12.0,133.0,76,,38.0,-,-,-,-,2,-,-,-,-,-,-,,-,1,1,12.0,0.08,,100%,1.0,-,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,6,2015-04-11T07:30:00Z,Warriors vs Wests Tigers,2015
2,,"Konrad
                
                  Hurrell",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,36.0,,12.0,150.0,-,,54.0,1,-,1,-,5,2,-,-,1,1,-,,-,-,2,13.0,0.17,,50%,3.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Warriors,6,2015-04-11T07:30:00Z,Warriors vs Wests Tigers,2015
3,,"Solomone
                
                  Kata",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,37.0,,12.0,154.0,-,,36.0,1,1,1,-,2,-,-,-,-,-,-,,-,-,3,16.0,0.25,,87.5%,7.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Warriors,6,2015-04-11T07:30:00Z,Warriors vs Wests Tigers,2015
4,,"Manu
                
                  Vatuvei",5.0,Winger,,80:00,,8,2,-,-,-,-,-,,56.0,,12.0,117.0,10,,45.0,2,-,-,-,4,-,-,-,-,-,-,,1,-,4,23.0,0.33,,100%,5.0,-,-,-,4,,-,-,-,-,-,-,-,-,,-,2,-,1,-,-,-,,80:00,-,Warriors,6,2015-04-11T07:30:00Z,Warriors vs Wests Tigers,2015
5,,"Chad
                
                  Townsend",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,53.0,,12.0,71.0,10,,6.0,1,1,-,-,2,-,-,-,-,-,-,,2,4,36,51.0,3,,85.7%,18.0,2,1,-,1,,12,186,-,4,1,-,6,-,,-,-,1,1,-,-,-,,80:00,-,Warriors,6,2015-04-11T07:30:00Z,Warriors vs Wests Tigers,2015
6,,"Shaun
                
                  Johnson",7.0,Halfback,,80:00,,12,1,4,6,-,66.67%,-,,50.0,,10.0,97.0,-,,8.0,2,1,-,-,1,-,-,-,2,25,-,,-,5,38,44.0,3.8,,61.5%,8.0,3,2,-,-,,7,210,1,2,1,-,1,1,,-,-,-,-,-,-,-,,80:00,-,Warriors,6,2015-04-11T07:30:00Z,Warriors vs Wests Tigers,2015
7,,"Jacob
                
                  Lillyman",8.0,Prop,,47:00,,-,-,-,-,-,-,-,,41.0,,16.0,135.0,31,,35.0,-,-,-,-,-,13,-,-,-,-,-,,-,-,2,18.0,0.12,,96.8%,30.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,47:00,-,Warriors,6,2015-04-11T07:30:00Z,Warriors vs Wests Tigers,2015
8,,"Thomas
                
                  Leuluai",9.0,Hooker,,64:00,,-,-,-,-,-,-,-,,34.0,,6.0,40.0,-,,14.0,-,-,-,-,1,-,-,-,4,40,-,,-,1,91,94.0,15.17,,100%,29.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,64:00,-,Warriors,6,2015-04-11T07:30:00Z,Warriors vs Wests Tigers,2015
9,,"Ben
                
                  Matulino",10.0,Prop,,58:00,,-,-,-,-,-,-,-,,55.0,,17.0,158.0,9,,53.0,-,-,-,-,1,16,-,-,-,-,-,,3,-,-,20.0,-,,97.1%,33.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,58:00,-,Warriors,6,2015-04-11T07:30:00Z,Warriors vs Wests Tigers,2015
