,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Cowboys vs Warriors,2015
1,Conversion-Made,Johnathan Thurston,,,28-24,Cowboys,79:21,Cowboys vs Warriors,2015
2,Video Referee,Try,,,,Cowboys,78:13,Cowboys vs Warriors,2015
3,Try,Jake Granville,,,26-24,Cowboys,78:13,Cowboys vs Warriors,2015
4,Linebreak,Jake Granville,,,,Cowboys,78:12,Cowboys vs Warriors,2015
5,Interchange - Sin Bin Return,Michael Morgan,,,,Cowboys,75:34,Cowboys vs Warriors,2015
6,Kick Bomb,Lachlan Coote,,,,Cowboys,75:30,Cowboys vs Warriors,2015
7,Interchange - Sin Bin Return,Konrad Hurrell,,,,Warriors,74:31,Cowboys vs Warriors,2015
8,Kick Bomb,Shaun Johnson,,,,Warriors,74:27,Cowboys vs Warriors,2015
9,Interchange - Sin Bin Return,Michael Morgan,,,,Cowboys,73:21,Cowboys vs Warriors,2015
10,Interchange - Sin Bin Return,Nathan Friend,,,,Warriors,72:25,Cowboys vs Warriors,2015
11,Conversion-Made,Johnathan Thurston,,,22-24,Cowboys,70:25,Cowboys vs Warriors,2015
12,Video Referee,Try,,,,Cowboys,69:55,Cowboys vs Warriors,2015
13,Try,Jake Granville,,,20-24,Cowboys,69:55,Cowboys vs Warriors,2015
14,Linebreak,Jake Granville,,,,Cowboys,69:55,Cowboys vs Warriors,2015
15,Interchange - Sin Bin Return,Jonathan Wright,,,,Warriors,67:26,Cowboys vs Warriors,2015
16,Kick Bomb,Shaun Johnson,,,,Warriors,67:21,Cowboys vs Warriors,2015
17,Kick Bomb,Johnathan Thurston,,,,Cowboys,66:37,Cowboys vs Warriors,2015
18,Penalty Shot-Made,Shaun Johnson,,,16-24,Warriors,64:25,Cowboys vs Warriors,2015
19,Penalty - 2nd Effort,James Tamou,,,,Cowboys,63:08,Cowboys vs Warriors,2015
20,Line Dropout,Lachlan Coote,,,,Cowboys,62:56,Cowboys vs Warriors,2015
21,Penalty - Offside Downtown,James Tamou,,,,Cowboys,60:37,Cowboys vs Warriors,2015
22,Kick Bomb,Michael Morgan,,,,Cowboys,60:35,Cowboys vs Warriors,2015
23,Kick Bomb,Lachlan Coote,,,,Cowboys,59:03,Cowboys vs Warriors,2015
24,Interchange - Sin Bin Return,Manu Vatuvei,,,,Warriors,56:12,Cowboys vs Warriors,2015
25,Kick Bomb,Chad Townsend,,,,Warriors,56:08,Cowboys vs Warriors,2015
26,Penalty - Dangerous Tackle,Justin O'Neill,,,,Cowboys,54:37,Cowboys vs Warriors,2015
27,Conversion-Made,Johnathan Thurston,,,16-22,Cowboys,53:02,Cowboys vs Warriors,2015
28,Video Referee,Try,,,,Cowboys,52:31,Cowboys vs Warriors,2015
29,Try,Lachlan Coote,,,14-22,Cowboys,52:31,Cowboys vs Warriors,2015
30,Interchange - Sin Bin Return,Tuimoala Lolohea,,,,Warriors,52:30,Cowboys vs Warriors,2015
31,Kick Bomb,Johnathan Thurston,,,,Cowboys,52:26,Cowboys vs Warriors,2015
32,Conversion-Made,Shaun Johnson,,,10-22,Warriors,50:08,Cowboys vs Warriors,2015
33,Try,Manu Vatuvei,,,10-20,Warriors,48:46,Cowboys vs Warriors,2015
34,Linebreak,Manu Vatuvei,,,,Warriors,48:46,Cowboys vs Warriors,2015
35,Penalty - Offside inside 10m,Ben Hannant,,,,Cowboys,47:53,Cowboys vs Warriors,2015
36,Linebreak,Solomone Kata,,,,Warriors,47:49,Cowboys vs Warriors,2015
37,Linebreak,Konrad Hurrell,,,,Warriors,47:34,Cowboys vs Warriors,2015
38,Interchange - Sin Bin Return,Johnathan Thurston,,,,Cowboys,46:04,Cowboys vs Warriors,2015
39,Penalty - Crowding,Ben Matulino,,,,Warriors,45:09,Cowboys vs Warriors,2015
40,Interchange - Sin Bin Return,Chad Townsend,,,,Warriors,44:22,Cowboys vs Warriors,2015
41,Line Dropout,Lachlan Coote,,,,Cowboys,41:27,Cowboys vs Warriors,2015
42,Conversion-Missed,Chad Townsend,,,,Warriors,38:11,Cowboys vs Warriors,2015
43,Try,Solomone Kata,,,10-16,Warriors,36:44,Cowboys vs Warriors,2015
44,Linebreak,Solomone Kata,,,,Warriors,36:44,Cowboys vs Warriors,2015
45,Interchange - Sin Bin Return,Gavin Cooper,,,,Cowboys,36:19,Cowboys vs Warriors,2015
46,Penalty - Leg Pull,Simon Mannering,,,,Warriors,34:07,Cowboys vs Warriors,2015
