,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Titans vs Panthers,2015
1,Conversion-Made,Greg Bird,,,32-6,Titans,79:58,Titans vs Panthers,2015
2,Try,William Zillman,,,30-6,Titans,78:27,Titans vs Panthers,2015
3,Kick Bomb,Aidan Sezer,,,,Titans,77:08,Titans vs Panthers,2015
4,Conversion-Made,Aidan Sezer,,,26-6,Titans,75:56,Titans vs Panthers,2015
5,Video Referee,Try,,,,Titans,74:53,Titans vs Panthers,2015
6,Try,Josh Hoffman,,,24-6,Titans,74:53,Titans vs Panthers,2015
7,Penalty - Ball Strip,Luke Douglas,,,,Titans,70:39,Titans vs Panthers,2015
8,Conversion-Made,Aidan Sezer,,,20-6,Titans,69:36,Titans vs Panthers,2015
9,Try,James Roberts,,,18-6,Titans,68:06,Titans vs Panthers,2015
10,Kick Bomb,Kane Elgey,,,,Titans,67:57,Titans vs Panthers,2015
11,Penalty Shot-Made,Aidan Sezer,,,14-6,Titans,66:40,Titans vs Panthers,2015
12,Penalty - Slow Peel,Reagan Campbell-Gillard,,,,Panthers,65:13,Titans vs Panthers,2015
13,Linebreak,William Zillman,,,,Titans,64:41,Titans vs Panthers,2015
14,Linebreak,Anthony Don,,,,Titans,62:52,Titans vs Panthers,2015
15,Penalty Shot-Made,Aidan Sezer,,,12-6,Titans,61:30,Titans vs Panthers,2015
16,Interchange,,,,,Panthers,60:12,Titans vs Panthers,2015
17,Sin Bin,Isaah Yeo,,,,Panthers,60:12,Titans vs Panthers,2015
18,Penalty - Professional Foul,Isaah Yeo,,,,Panthers,60:07,Titans vs Panthers,2015
19,Interchange - Sin Bin Return,Dallin Watene-Zelezniak,,,,Panthers,59:44,Titans vs Panthers,2015
20,Kick Bomb,Kane Elgey,,,,Titans,58:48,Titans vs Panthers,2015
21,Interchange - Sin Bin Return,Tyrone Peachey,,,,Panthers,57:54,Titans vs Panthers,2015
22,Line Dropout,Aidan Sezer,,,,Titans,56:44,Titans vs Panthers,2015
23,Penalty - Hand in the Ruck,Ryan James,,,,Titans,54:32,Titans vs Panthers,2015
24,Kick Bomb,Isaac John,,,,Panthers,51:08,Titans vs Panthers,2015
25,Penalty - Dangerous Tackle,Isaac John,,,,Panthers,47:18,Titans vs Panthers,2015
26,Interchange - Sin Bin Return,Waqa Blake,,,,Panthers,46:59,Titans vs Panthers,2015
27,Linebreak,Reagan Campbell-Gillard,,,,Panthers,46:42,Titans vs Panthers,2015
28,Interchange - Sin Bin Return,Kane Elgey,,,,Titans,45:19,Titans vs Panthers,2015
29,Kick Bomb,Aidan Sezer,,,,Titans,44:31,Titans vs Panthers,2015
30,Kick Bomb,Isaac John,,,,Panthers,41:35,Titans vs Panthers,2015
31,Interchange - Sin Bin Return,Waqa Blake,,,,Panthers,39:54,Titans vs Panthers,2015
32,Penalty - Marker Not Square,Matt White,,,,Titans,34:46,Titans vs Panthers,2015
33,Penalty - Hand in the Ruck,Matt White,,,,Titans,34:28,Titans vs Panthers,2015
34,Penalty - Working on the Ground,Matt White,,,,Titans,33:36,Titans vs Panthers,2015
35,Interchange - Sin Bin Return,William Zillman,,,,Titans,32:31,Titans vs Panthers,2015
36,Kick Bomb,Aidan Sezer,,,,Titans,32:25,Titans vs Panthers,2015
37,Penalty - Dangerous Tackle,Kierran Moseley,,,,Titans,30:27,Titans vs Panthers,2015
38,Conversion-Made,Aidan Sezer,,,10-6,Titans,29:13,Titans vs Panthers,2015
39,Try,Josh Hoffman,,,8-6,Titans,27:49,Titans vs Panthers,2015
40,Linebreak,Josh Hoffman,,,,Titans,27:48,Titans vs Panthers,2015
41,Kick Bomb,Aidan Sezer,,,,Titans,26:11,Titans vs Panthers,2015
42,Penalty - Crowding,Dallin Watene-Zelezniak,,,,Panthers,25:09,Titans vs Panthers,2015
43,Penalty - Dangerous Tackle,Dave Taylor,,,,Titans,23:11,Titans vs Panthers,2015
44,Penalty - Holding Down,Waqa Blake,,,,Panthers,20:12,Titans vs Panthers,2015
45,Penalty - Dangerous Tackle,Isaah Yeo,,,,Panthers,19:06,Titans vs Panthers,2015
46,Conversion-Missed,Aidan Sezer,,,,Titans,17:55,Titans vs Panthers,2015
47,Try,William Zillman,,,4-6,Titans,16:28,Titans vs Panthers,2015
48,Penalty - 2nd Effort,Aidan Sezer,,,,Titans,15:01,Titans vs Panthers,2015
49,Kick Bomb,Aidan Sezer,,,,Titans,14:55,Titans vs Panthers,2015
50,Linebreak,Nigel Plum,,,,Panthers,13:20,Titans vs Panthers,2015
51,Penalty - Crowding,Waqa Blake,,,,Panthers,11:36,Titans vs Panthers,2015
52,Interchange - Sin Bin Return,Isaac John,,,,Panthers,10:57,Titans vs Panthers,2015
53,Linebreak,James Segeyaro,,,,Panthers,09:07,Titans vs Panthers,2015
54,Conversion-Made,Matt Moylan,,,0-6,Panthers,08:15,Titans vs Panthers,2015
