,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Lachlan
                
                  Maranta",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,27.0,,14.0,90.0,65,,23,-,-,-,-,-,-,-,-,1,4,-,,-,-,5,19.0,0.36,,100%,5.0,-,-,-,8,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Broncos,8,2015-04-25T10:00:00Z,Broncos vs Eels,2015
1,,"Corey
                
                  Oates",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,31.0,,11.0,117.0,18,,57,-,-,-,-,4,1,-,-,1,14,-,,-,-,3,15.0,0.27,,77.8%,7.0,-,2,-,1,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Broncos,8,2015-04-25T10:00:00Z,Broncos vs Eels,2015
2,,"Justin
                
                  Hodges",18.0,Centre,,80:00,,-,-,-,-,-,-,-,,36.0,,11.0,79.0,-,,30,-,2,1,-,2,-,-,-,8,61,-,,1,2,9,17.0,0.82,,92.3%,12.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Broncos,8,2015-04-25T10:00:00Z,Broncos vs Eels,2015
3,,"Jack
                
                  Reed",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,28.0,,12.0,102.0,11,,34,1,-,-,-,1,1,-,-,-,-,-,,-,-,2,14.0,0.17,,100%,3.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,8,2015-04-25T10:00:00Z,Broncos vs Eels,2015
4,,"Dale
                
                  Copley",4.0,Winger,,80:00,,-,-,-,-,-,-,-,,17.0,,8.0,77.0,-,,27,-,-,-,-,-,1,-,-,-,-,-,,-,1,4,13.0,0.5,,78.3%,18.0,4,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,8,2015-04-25T10:00:00Z,Broncos vs Eels,2015
5,,"Anthony
                
                  Milford",6.0,Five-Eighth,,80:00,,8,2,-,-,-,-,-,,71.0,,12.0,206.0,-,,39,1,-,-,-,2,1,-,-,1,13,-,,2,6,17,34.0,1.42,,93.8%,15.0,-,1,-,1,,3,112,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,8,2015-04-25T10:00:00Z,Broncos vs Eels,2015
6,,"Ben
                
                  Hunt",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,43.0,,4.0,29.0,-,,9,-,-,-,-,-,-,-,-,-,-,-,,-,9,19,37.0,4.75,,82.8%,24.0,3,2,-,-,,12,476,-,4,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Broncos,8,2015-04-25T10:00:00Z,Broncos vs Eels,2015
7,,"Josh
                
                  McGuire",8.0,Prop,,62:00,,4,1,-,-,-,-,-,,59.0,,13.0,152.0,49,,28,-,-,-,-,-,7,-,-,-,-,-,,-,2,3,17.0,0.23,,100%,38.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,1,-,-,,62:00,-,Broncos,8,2015-04-25T10:00:00Z,Broncos vs Eels,2015
8,,"Andrew
                
                  McCullough",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,70.0,,9.0,77.0,-,,29,-,-,-,-,1,2,-,-,7,56,-,,-,3,76,81.0,8.44,,94.5%,52.0,1,2,-,-,,4,199,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,8,2015-04-25T10:00:00Z,Broncos vs Eels,2015
9,,"Adam
                
                  Blair",10.0,Prop,,43:00,,-,-,-,-,-,-,-,,22.0,,10.0,82.0,7,,33,-,-,-,-,-,9,-,-,-,-,-,,-,-,1,12.0,0.1,,87%,20.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,43:00,-,Broncos,8,2015-04-25T10:00:00Z,Broncos vs Eels,2015
