,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Storm vs Sea Eagles,2015
1,Kick Bomb,Cooper Cronk,,,,Storm,79:01,Storm vs Sea Eagles,2015
2,Penalty - Dangerous Tackle,Dunamis Lui,,,,Sea Eagles,74:06,Storm vs Sea Eagles,2015
3,Conversion-Missed,David Williams,,,,Sea Eagles,72:39,Storm vs Sea Eagles,2015
4,Try,David Williams,,,10-12,Sea Eagles,71:11,Storm vs Sea Eagles,2015
5,Linebreak,David Williams,,,,Sea Eagles,71:11,Storm vs Sea Eagles,2015
6,Penalty - Early Tackle,Mahe Fonua,,,,Storm,69:32,Storm vs Sea Eagles,2015
7,Kick Bomb,Cooper Cronk,,,,Storm,68:22,Storm vs Sea Eagles,2015
8,Eagles Interchange - Sin Bin Return,Tom Symonds,,,,Sea,66:47,Storm vs Sea Eagles,2015
9,Penalty - Ball Strip,Tim Glasby,,,,Storm,66:19,Storm vs Sea Eagles,2015
10,Interchange - Sin Bin Return,Mahe Fonua,,,,Storm,65:28,Storm vs Sea Eagles,2015
11,On Report,Brett Stewart,,,,Sea Eagles,64:10,Storm vs Sea Eagles,2015
12,Penalty - Dangerous Tackle,Brett Stewart,,,,Sea Eagles,64:06,Storm vs Sea Eagles,2015
13,Eagles Interchange - Sin Bin Return,David Williams,,,,Sea,63:56,Storm vs Sea Eagles,2015
14,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,63:53,Storm vs Sea Eagles,2015
15,Penalty - Dangerous Tackle,David Williams,,,,Sea Eagles,61:32,Storm vs Sea Eagles,2015
16,Penalty - 2nd Effort,Tom Symonds,,,,Sea Eagles,55:54,Storm vs Sea Eagles,2015
17,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,53:54,Storm vs Sea Eagles,2015
18,Penalty - Holding Down,Ligi Sao,,,,Sea Eagles,52:03,Storm vs Sea Eagles,2015
19,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,51:51,Storm vs Sea Eagles,2015
20,Conversion-Made,David Williams,,,10-8,Sea Eagles,50:34,Storm vs Sea Eagles,2015
21,Video Referee,Try,,,,Sea Eagles,49:46,Storm vs Sea Eagles,2015
22,Try,Tom Symonds,,,10-6,Sea Eagles,49:46,Storm vs Sea Eagles,2015
23,Linebreak,Tom Symonds,,,,Sea Eagles,49:45,Storm vs Sea Eagles,2015
24,Penalty - Working on the Ground,Tohu Harris,,,,Storm,49:30,Storm vs Sea Eagles,2015
25,Penalty - Slow Peel,Cameron Smith,,,,Storm,48:47,Storm vs Sea Eagles,2015
26,Penalty - Dangerous Tackle,Felise Kaufusi,,,,Storm,47:47,Storm vs Sea Eagles,2015
27,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,46:17,Storm vs Sea Eagles,2015
28,Penalty - Working on the Ground,Tim Glasby,,,,Storm,36:11,Storm vs Sea Eagles,2015
29,Penalty - Dangerous Tackle,Ryan Hinchcliffe,,,,Storm,35:27,Storm vs Sea Eagles,2015
30,40/20 Kick,Daly Cherry-Evans,,,,Sea Eagles,34:56,Storm vs Sea Eagles,2015
31,Conversion-Made,Cameron Smith,,,10-2,Storm,32:56,Storm vs Sea Eagles,2015
32,Try,Cooper Cronk,,,8-2,Storm,31:12,Storm vs Sea Eagles,2015
33,Linebreak,Blake Green,,,,Storm,31:07,Storm vs Sea Eagles,2015
34,Penalty - Working on the Ground,Jayden Hodges,,,,Sea Eagles,29:51,Storm vs Sea Eagles,2015
35,On Report,Steve Matai,,,,Sea Eagles,28:06,Storm vs Sea Eagles,2015
36,Penalty - Dangerous Tackle,Steve Matai,,,,Sea Eagles,28:02,Storm vs Sea Eagles,2015
37,Interchange - Sin Bin Return,Ryan Hinchcliffe,,,,Storm,26:09,Storm vs Sea Eagles,2015
38,Penalty - Dangerous Tackle,Justin Horo,,,,Sea Eagles,24:43,Storm vs Sea Eagles,2015
39,Eagles Interchange - Sin Bin Return,Justin Horo,,,,Sea,24:03,Storm vs Sea Eagles,2015
40,Kick Bomb,Cooper Cronk,,,,Storm,20:30,Storm vs Sea Eagles,2015
41,Conversion-Missed,Cameron Smith,,,,Storm,19:06,Storm vs Sea Eagles,2015
42,Try,Marika Koroibete,,,4-2,Storm,16:54,Storm vs Sea Eagles,2015
43,Linebreak,Marika Koroibete,,,,Storm,16:53,Storm vs Sea Eagles,2015
44,Penalty - Offside Downtown,Kurt Mann,,,,Storm,14:27,Storm vs Sea Eagles,2015
45,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,13:34,Storm vs Sea Eagles,2015
46,Penalty - Flop,Matt Ballin,,,,Sea Eagles,11:29,Storm vs Sea Eagles,2015
47,Eagles Interchange - Sin Bin Return,Tom Symonds,,,,Sea,11:22,Storm vs Sea Eagles,2015
48,Penalty Shot-Made,David Williams,,,0-2,Sea Eagles,06:39,Storm vs Sea Eagles,2015
49,Penalty - Holding Down,Kevin Proctor,,,,Storm,05:36,Storm vs Sea Eagles,2015
50,Penalty - Slow Peel,Tom Symonds,,,,Sea Eagles,03:20,Storm vs Sea Eagles,2015
51,Kick Bomb,Blake Green,,,,Storm,02:16,Storm vs Sea Eagles,2015
52,KICK OFF,,,,,,00:00,Storm vs Sea Eagles,2015
