,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Reece
                
                  Robinson",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,41.0,,15.0,123.0,67,,31,-,1,1,-,3,-,-,-,1,13,-,,2,-,21,35.0,1.4,,100%,7.0,-,-,-,4,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Eels,9,2015-05-10T06:00:00Z,Eels vs Storm,2015
1,,"Semi
                
                  Radradra",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,27.0,,14.0,191.0,59,,57,-,-,-,-,3,-,-,-,-,-,-,,-,1,-,16.0,-,,50%,1.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,9,2015-05-10T06:00:00Z,Eels vs Storm,2015
2,,"Will
                
                  Hopoate",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,49.0,,19.0,175.0,25,,69,1,1,1,-,4,1,-,-,1,11,-,,-,1,8,24.0,0.42,,62.5%,5.0,3,-,-,2,,-,-,-,-,-,-,-,-,,-,3,-,-,-,-,-,,80:00,-,Eels,9,2015-05-10T06:00:00Z,Eels vs Storm,2015
3,,"Brad
                
                  Takairangi",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,13.0,,6.0,58.0,-,,15,-,-,-,-,2,-,-,-,-,-,-,,-,-,6,9.0,1,,66.7%,10.0,4,1,-,-,,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,-,,80:00,-,Eels,9,2015-05-10T06:00:00Z,Eels vs Storm,2015
4,,"Ryan
                
                  Morgan",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,39.0,,9.0,76.0,-,,27,1,-,-,-,1,1,-,-,1,1,-,,-,-,3,12.0,0.33,,86.4%,19.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,9,2015-05-10T06:00:00Z,Eels vs Storm,2015
5,,"Corey
                
                  Norman",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,46.0,,8.0,70.0,-,,24,1,-,-,-,4,-,-,-,-,-,-,,3,3,34,43.0,4.25,,83.3%,20.0,2,2,-,-,,3,73,-,2,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Eels,9,2015-05-10T06:00:00Z,Eels vs Storm,2015
6,,"Chris
                
                  Sandow",7.0,Halfback,,80:00,,2,-,1,2,-,50%,-,,12.0,,5.0,47.0,8,,10,-,-,-,-,1,-,-,-,-,-,-,,-,1,30,42.0,6,,60.9%,14.0,9,-,1,1,,9,252,1,1,1,-,-,-,,-,-,-,3,-,-,-,,80:00,-,Eels,9,2015-05-10T06:00:00Z,Eels vs Storm,2015
7,,"Danny
                
                  Wicks",8.0,Prop,,62:00,,-,-,-,-,-,-,-,,46.0,,16.0,158.0,47,,62,-,1,-,-,1,12,-,-,-,-,-,,1,3,5,20.0,0.31,,91.9%,34.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,62:00,-,Eels,9,2015-05-10T06:00:00Z,Eels vs Storm,2015
8,,"Nathan
                
                  Peats",9.0,Hooker,,76:00,,-,-,-,-,-,-,-,,61.0,,7.0,74.0,-,,23,-,-,-,-,2,3,-,-,3,44,-,,-,1,52,57.0,7.43,,94.3%,50.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,76:00,-,Eels,9,2015-05-10T06:00:00Z,Eels vs Storm,2015
9,,"Tim
                
                  Mannah",10.0,Prop,,41:00,,-,-,-,-,-,-,-,,37.0,,12.0,93.0,-,,39,-,-,-,-,1,12,-,-,-,-,-,,-,-,-,12.0,-,,93.5%,29.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,41:00,-,Eels,9,2015-05-10T06:00:00Z,Eels vs Storm,2015
