,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Roosters vs Wests Tigers,2015
1,Conversion-Missed,Pat Richards,,,,Wests Tigers,78:09,Roosters vs Wests Tigers,2015
2,Try,Dene Halatau,,,36-4,Wests Tigers,76:47,Roosters vs Wests Tigers,2015
3,Linebreak,Dene Halatau,,,,Wests Tigers,76:47,Roosters vs Wests Tigers,2015
4,Interchange - Sin Bin Return,Michael Jennings,,,,Roosters,75:53,Roosters vs Wests Tigers,2015
5,Interchange - Sin Bin Return,Michael Jennings,,,,Roosters,74:09,Roosters vs Wests Tigers,2015
6,Kick Bomb,Mitchell Pearce,,,,Roosters,73:59,Roosters vs Wests Tigers,2015
7,Interchange - Sin Bin Return,Roger Tuivasa-Sheck,,,,Roosters,71:34,Roosters vs Wests Tigers,2015
8,Conversion-Made,James Maloney,,,36-0,Roosters,70:30,Roosters vs Wests Tigers,2015
9,Try,Mitchell Pearce,,,34-0,Roosters,68:36,Roosters vs Wests Tigers,2015
10,Conversion-Made,James Maloney,,,30-0,Roosters,64:33,Roosters vs Wests Tigers,2015
11,Video Referee,Try,,,,Roosters,62:50,Roosters vs Wests Tigers,2015
12,Try,Daniel Tupou,,,28-0,Roosters,62:50,Roosters vs Wests Tigers,2015
13,Linebreak,Daniel Tupou,,,,Roosters,62:50,Roosters vs Wests Tigers,2015
14,Linebreak,Shaun Kenny-Dowall,,,,Roosters,62:04,Roosters vs Wests Tigers,2015
15,Kick Bomb,Luke Brooks,,,,Wests Tigers,61:48,Roosters vs Wests Tigers,2015
16,Kick Bomb,Mitchell Pearce,,,,Roosters,61:00,Roosters vs Wests Tigers,2015
17,Penalty Shot-Made,James Maloney,,,24-0,Roosters,57:35,Roosters vs Wests Tigers,2015
18,Penalty - Offside inside 10m,Luke Brooks,,,,Wests Tigers,56:16,Roosters vs Wests Tigers,2015
19,Linebreak,Michael Jennings,,,,Roosters,56:05,Roosters vs Wests Tigers,2015
20,Kick Bomb,Luke Brooks,,,,Wests Tigers,55:26,Roosters vs Wests Tigers,2015
21,Kick Bomb,Mitchell Moses,,,,Wests Tigers,52:46,Roosters vs Wests Tigers,2015
22,Penalty - Hand in the Ruck,James Maloney,,,,Roosters,51:28,Roosters vs Wests Tigers,2015
23,Penalty - Slow Peel,Keith Galloway,,,,Wests Tigers,50:22,Roosters vs Wests Tigers,2015
24,Linebreak,Mitchell Aubusson,,,,Roosters,49:00,Roosters vs Wests Tigers,2015
25,Line Dropout,Pat Richards,,,,Wests Tigers,46:17,Roosters vs Wests Tigers,2015
26,Kick Bomb,Mitchell Pearce,,,,Roosters,43:50,Roosters vs Wests Tigers,2015
27,Kick Bomb,Mitchell Pearce,,,,Roosters,41:39,Roosters vs Wests Tigers,2015
28,Kick Bomb,Luke Brooks,,,,Wests Tigers,40:46,Roosters vs Wests Tigers,2015
29,Kick Bomb,Mitchell Moses,,,,Wests Tigers,38:34,Roosters vs Wests Tigers,2015
30,Line Dropout,James Maloney,,,,Roosters,37:36,Roosters vs Wests Tigers,2015
31,Interchange - Sin Bin Return,Roger Tuivasa-Sheck,,,,Roosters,34:23,Roosters vs Wests Tigers,2015
32,Kick Bomb,Luke Brooks,,,,Wests Tigers,34:19,Roosters vs Wests Tigers,2015
33,Conversion-Made,James Maloney,,,22-0,Roosters,32:23,Roosters vs Wests Tigers,2015
34,Try,Daniel Tupou,,,20-0,Roosters,30:43,Roosters vs Wests Tigers,2015
35,Penalties - Other,Pat Richards,,,,Wests Tigers,29:07,Roosters vs Wests Tigers,2015
36,Conversion-Made,James Maloney,,,16-0,Roosters,28:36,Roosters vs Wests Tigers,2015
37,Video Referee,Try,,,,Roosters,27:27,Roosters vs Wests Tigers,2015
38,Try,Boyd Cordner,,,14-0,Roosters,27:27,Roosters vs Wests Tigers,2015
39,Linebreak,Boyd Cordner,,,,Roosters,27:26,Roosters vs Wests Tigers,2015
40,Penalty - 2nd Effort,Sauaso Sue,,,,Wests Tigers,26:54,Roosters vs Wests Tigers,2015
41,Conversion-Made,James Maloney,,,10-0,Roosters,25:46,Roosters vs Wests Tigers,2015
42,Try,Siosiua Taukeiaho,,,8-0,Roosters,24:49,Roosters vs Wests Tigers,2015
43,Kick Bomb,Mitchell Pearce,,,,Roosters,24:43,Roosters vs Wests Tigers,2015
44,Interchange - Sin Bin Return,Michael Jennings,,,,Roosters,23:09,Roosters vs Wests Tigers,2015
45,Penalties - Other,Michael Jennings,,,,Roosters,19:26,Roosters vs Wests Tigers,2015
46,Line Dropout,Pat Richards,,,,Wests Tigers,17:03,Roosters vs Wests Tigers,2015
47,Line Dropout,Pat Richards,,,,Wests Tigers,15:29,Roosters vs Wests Tigers,2015
48,Line Dropout,James Maloney,,,,Roosters,11:43,Roosters vs Wests Tigers,2015
49,Penalty - Lying in the Ruck,Jake Friend,,,,Roosters,09:31,Roosters vs Wests Tigers,2015
50,Penalty - Offside Downtown,Mitchell Pearce,,,,Roosters,07:13,Roosters vs Wests Tigers,2015
51,Kick Bomb,James Maloney,,,,Roosters,07:07,Roosters vs Wests Tigers,2015
52,Conversion-Missed,James Maloney,,,,Roosters,05:41,Roosters vs Wests Tigers,2015
53,Video Referee,Try,,,,Roosters,04:02,Roosters vs Wests Tigers,2015
54,Try,Daniel Tupou,,,4-0,Roosters,04:02,Roosters vs Wests Tigers,2015
55,Linebreak,Daniel Tupou,,,,Roosters,04:01,Roosters vs Wests Tigers,2015
56,Penalties - Other,Mitchell Moses,,,,Wests Tigers,02:49,Roosters vs Wests Tigers,2015
57,Penalty - Slow Peel,James Maloney,,,,Roosters,01:31,Roosters vs Wests Tigers,2015
58,KICK OFF,,,,,,00:00,Roosters vs Wests Tigers,2015
