,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sea Eagles vs Knights,2015
1,Kick Bomb,Tyrone Roberts,,,,Knights,78:03,Sea Eagles vs Knights,2015
2,Kick Bomb,Tom Symonds,,,,Sea Eagles,77:04,Sea Eagles vs Knights,2015
3,Interchange - Sin Bin Return,Dane Gagai,,,,Knights,75:34,Sea Eagles vs Knights,2015
4,Penalty - Flop,Josh Starling,,,,Sea Eagles,74:31,Sea Eagles vs Knights,2015
5,Conversion-Made,Tyrone Roberts,,,30-10,Knights,73:26,Sea Eagles vs Knights,2015
6,Try,Tariq Sims,,,30-8,Knights,72:33,Sea Eagles vs Knights,2015
7,Linebreak,Tariq Sims,,,,Knights,72:33,Sea Eagles vs Knights,2015
8,Penalty - Lying in the Ruck,Matt Ballin,,,,Sea Eagles,72:01,Sea Eagles vs Knights,2015
9,Conversion-Made,Jamie Lyon,,,30-4,Sea Eagles,68:20,Sea Eagles vs Knights,2015
10,Try,Daly Cherry-Evans,,,28-4,Sea Eagles,66:39,Sea Eagles vs Knights,2015
11,Linebreak,Daly Cherry-Evans,,,,Sea Eagles,66:39,Sea Eagles vs Knights,2015
12,Penalty - Holding Down,Tariq Sims,,,,Knights,65:48,Sea Eagles vs Knights,2015
13,Kick Bomb,Tyrone Roberts,,,,Knights,64:51,Sea Eagles vs Knights,2015
14,Linebreak,Daly Cherry-Evans,,,,Sea Eagles,61:40,Sea Eagles vs Knights,2015
15,Interchange - Sin Bin Return,Joseph Leilua,,,,Knights,60:39,Sea Eagles vs Knights,2015
16,Conversion-Made,Jamie Lyon,,,24-4,Sea Eagles,58:20,Sea Eagles vs Knights,2015
17,Try,Brett Stewart,,,22-4,Sea Eagles,56:35,Sea Eagles vs Knights,2015
18,Linebreak,Brett Stewart,,,,Sea Eagles,56:34,Sea Eagles vs Knights,2015
19,40/20 Kick,Daly Cherry-Evans,,,,Sea Eagles,55:47,Sea Eagles vs Knights,2015
20,Interchange - Sin Bin Return,Akuila Uate,,,,Knights,54:16,Sea Eagles vs Knights,2015
21,Kick Bomb,Kurt Gidley,,,,Knights,52:55,Sea Eagles vs Knights,2015
22,Penalty - Hand in the Ruck,Feleti Mateo,,,,Sea Eagles,48:27,Sea Eagles vs Knights,2015
23,Conversion-Missed,Tyrone Roberts,,,,Knights,47:25,Sea Eagles vs Knights,2015
24,Video Referee,Try,,,,Knights,46:19,Sea Eagles vs Knights,2015
25,Try,James McManus,,,18-4,Knights,46:19,Sea Eagles vs Knights,2015
26,Linebreak,James McManus,,,,Knights,46:18,Sea Eagles vs Knights,2015
27,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,45:45,Sea Eagles vs Knights,2015
28,Kick Bomb,Tyrone Roberts,,,,Knights,44:58,Sea Eagles vs Knights,2015
29,Drop Goal-Missed,Daly Cherry-Evans,,,,Sea Eagles,39:42,Sea Eagles vs Knights,2015
30,Conversion-Made,Jamie Lyon,,,18-0,Sea Eagles,38:23,Sea Eagles vs Knights,2015
31,Try,Ligi Sao,,,16-0,Sea Eagles,36:46,Sea Eagles vs Knights,2015
32,Linebreak,Ligi Sao,,,,Sea Eagles,36:44,Sea Eagles vs Knights,2015
33,Interchange - Sin Bin Return,James McManus,,,,Knights,35:37,Sea Eagles vs Knights,2015
34,Interchange - Sin Bin Return,Dane Gagai,,,,Knights,34:45,Sea Eagles vs Knights,2015
35,Penalty - Ball Strip,Matt Ballin,,,,Sea Eagles,33:21,Sea Eagles vs Knights,2015
36,Linebreak,James McManus,,,,Knights,25:21,Sea Eagles vs Knights,2015
37,Conversion-Made,Jamie Lyon,,,12-0,Sea Eagles,23:22,Sea Eagles vs Knights,2015
38,Video Referee,Try,,,,Sea Eagles,22:16,Sea Eagles vs Knights,2015
39,Try,Brett Stewart,,,10-0,Sea Eagles,22:16,Sea Eagles vs Knights,2015
40,Linebreak,Peta Hiku,,,,Sea Eagles,22:10,Sea Eagles vs Knights,2015
41,Conversion-Made,Jamie Lyon,,,6-0,Sea Eagles,19:18,Sea Eagles vs Knights,2015
42,Video Referee,Try,,,,Sea Eagles,18:17,Sea Eagles vs Knights,2015
43,Try,Jorge Taufua,,,4-0,Sea Eagles,18:17,Sea Eagles vs Knights,2015
44,Linebreak,Jorge Taufua,,,,Sea Eagles,18:16,Sea Eagles vs Knights,2015
45,Penalty - Offside inside 10m,Jeremy Smith,,,,Knights,14:48,Sea Eagles vs Knights,2015
46,Penalty - Holding Down,Tyrone Roberts,,,,Knights,13:56,Sea Eagles vs Knights,2015
47,Penalty - Lying in the Ruck,Jake Trbojevic,,,,Sea Eagles,12:40,Sea Eagles vs Knights,2015
48,Penalty - Ball Strip,Matt Ballin,,,,Sea Eagles,12:06,Sea Eagles vs Knights,2015
49,Linebreak,Kurt Gidley,,,,Knights,09:45,Sea Eagles vs Knights,2015
50,Kick Bomb,Tyrone Roberts,,,,Knights,08:20,Sea Eagles vs Knights,2015
51,Eagles Interchange - Sin Bin Return,Luke Burgess,,,,Sea,06:51,Sea Eagles vs Knights,2015
52,Line Dropout,Tyrone Roberts,,,,Knights,06:29,Sea Eagles vs Knights,2015
53,Linebreak,Jake Trbojevic,,,,Sea Eagles,05:39,Sea Eagles vs Knights,2015
54,Linebreak,Tyler Randell,,,,Knights,03:54,Sea Eagles vs Knights,2015
55,Kick Bomb,Tyrone Roberts,,,,Knights,02:31,Sea Eagles vs Knights,2015
56,KICK OFF,,,,,,00:00,Sea Eagles vs Knights,2015
