,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sharks vs Warriors,2015
1,Conversion-Made,Shaun Johnson,,,16-20,Warriors,80:00,Sharks vs Warriors,2015
2,Try,Shaun Johnson,,,16-18,Warriors,78:53,Sharks vs Warriors,2015
3,Linebreak,Shaun Johnson,,,,Warriors,78:52,Sharks vs Warriors,2015
4,Kick Bomb,Jeff Robson,,,,Sharks,78:31,Sharks vs Warriors,2015
5,Conversion-Made,Valentine Holmes,,,16-14,Sharks,77:08,Sharks vs Warriors,2015
6,Try,Andrew Fifita,,,14-14,Sharks,75:34,Sharks vs Warriors,2015
7,Linebreak,Andrew Fifita,,,,Sharks,75:32,Sharks vs Warriors,2015
8,Interchange - Sin Bin Return,Shaun Johnson,,,,Warriors,74:25,Sharks vs Warriors,2015
9,Conversion-Missed,Shaun Johnson,,,,Warriors,73:55,Sharks vs Warriors,2015
10,Video Referee,Try,,,,Warriors,72:52,Sharks vs Warriors,2015
11,Try,Solomone Kata,,,10-14,Warriors,72:52,Sharks vs Warriors,2015
12,Linebreak,Shaun Johnson,,,,Warriors,72:47,Sharks vs Warriors,2015
13,Kick Bomb,Wade Graham,,,,Sharks,71:53,Sharks vs Warriors,2015
14,Kick Bomb,Shaun Johnson,,,,Warriors,70:36,Sharks vs Warriors,2015
15,Penalty - Leg Pull,Matt Prior,,,,Sharks,69:24,Sharks vs Warriors,2015
16,On Report,Sami Sauiluma,,,,Sharks,63:35,Sharks vs Warriors,2015
17,Penalty - Dangerous Tackle,Sami Sauiluma,,,,Sharks,63:25,Sharks vs Warriors,2015
18,Penalty Shot-Made,Shaun Johnson,,,10-10,Warriors,62:37,Sharks vs Warriors,2015
19,Penalty - Leg Pull,Ben Barba,,,,Sharks,61:23,Sharks vs Warriors,2015
20,Interchange - Sin Bin Return,Mitch Brown,,,,Sharks,60:46,Sharks vs Warriors,2015
21,Kick Bomb,Shaun Johnson,,,,Warriors,60:41,Sharks vs Warriors,2015
22,Penalty - Slow Peel,Andrew Fifita,,,,Sharks,57:35,Sharks vs Warriors,2015
23,Penalty - 2nd Effort,Andrew Fifita,,,,Sharks,54:57,Sharks vs Warriors,2015
24,Kick Bomb,Chad Townsend,,,,Warriors,53:39,Sharks vs Warriors,2015
25,Line Dropout,Shaun Johnson,,,,Warriors,51:31,Sharks vs Warriors,2015
26,On Report,Konrad Hurrell,,,,Warriors,47:30,Sharks vs Warriors,2015
27,Penalties - Other,Konrad Hurrell,,,,Warriors,47:03,Sharks vs Warriors,2015
28,Penalty Shot-Made,Valentine Holmes,,,10-8,Sharks,44:15,Sharks vs Warriors,2015
29,Penalty - Hand in the Ruck,Sam Lisone,,,,Warriors,42:48,Sharks vs Warriors,2015
30,Penalty - Hand in the Ruck,Simon Mannering,,,,Warriors,42:16,Sharks vs Warriors,2015
31,Penalty - Hand in the Ruck,Michael Ennis,,,,Sharks,40:11,Sharks vs Warriors,2015
32,Penalty Shot-Made,Valentine Holmes,,,8-8,Sharks,39:59,Sharks vs Warriors,2015
33,Penalty - Marker Not Square,Tuimoala Lolohea,,,,Warriors,38:49,Sharks vs Warriors,2015
34,Penalty - Offside General,Simon Mannering,,,,Warriors,37:48,Sharks vs Warriors,2015
35,Kick Bomb,Shaun Johnson,,,,Warriors,33:01,Sharks vs Warriors,2015
36,Conversion-Missed,Shaun Johnson,,,,Warriors,31:39,Sharks vs Warriors,2015
37,Try,Manu Vatuvei,,,6-8,Warriors,30:04,Sharks vs Warriors,2015
38,Linebreak,Manu Vatuvei,,,,Warriors,30:04,Sharks vs Warriors,2015
39,Penalty - Slow Peel,Michael Ennis,,,,Sharks,29:39,Sharks vs Warriors,2015
40,Kick Bomb,Chad Townsend,,,,Warriors,28:58,Sharks vs Warriors,2015
41,Penalty - Ball Strip,Ryan Hoffman,,,,Warriors,26:39,Sharks vs Warriors,2015
42,Penalty - Obstruction,Manu Vatuvei,,,,Warriors,25:37,Sharks vs Warriors,2015
43,Kick Bomb,Shaun Johnson,,,,Warriors,25:34,Sharks vs Warriors,2015
44,Conversion-Made,Valentine Holmes,,,6-4,Sharks,23:30,Sharks vs Warriors,2015
45,Try,Luke Lewis,,,4-4,Sharks,22:05,Sharks vs Warriors,2015
46,Line Dropout,Shaun Johnson,,,,Warriors,21:07,Sharks vs Warriors,2015
47,Penalty - Slow Peel,Ben Matulino,,,,Warriors,19:12,Sharks vs Warriors,2015
48,Conversion-Missed,Shaun Johnson,,,,Warriors,17:35,Sharks vs Warriors,2015
49,Try,Jonathan Wright,,,0-4,Warriors,16:04,Sharks vs Warriors,2015
50,Linebreak,Jonathan Wright,,,,Warriors,16:03,Sharks vs Warriors,2015
51,Penalty - Holding Down,Michael Ennis,,,,Sharks,15:27,Sharks vs Warriors,2015
52,Penalty - Offside inside 10m,Solomone Kata,,,,Warriors,12:34,Sharks vs Warriors,2015
53,Penalty - 2nd Effort,Andrew Fifita,,,,Sharks,11:13,Sharks vs Warriors,2015
54,Kick Bomb,Chad Townsend,,,,Warriors,09:05,Sharks vs Warriors,2015
55,Kick Bomb,Shaun Johnson,,,,Warriors,07:15,Sharks vs Warriors,2015
56,Penalty - Working on the Ground,Jeff Robson,,,,Sharks,05:59,Sharks vs Warriors,2015
57,Penalty - Holding Down,Ryan Hoffman,,,,Warriors,05:22,Sharks vs Warriors,2015
58,Penalty - Holding Down,Jacob Lillyman,,,,Warriors,03:20,Sharks vs Warriors,2015
59,Interchange - Sin Bin Return,Jeff Robson,,,,Sharks,02:17,Sharks vs Warriors,2015
60,KICK OFF,,,,,,00:00,Sharks vs Warriors,2015
