,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Cowboys vs Sharks,2016
1,Error,Andrew Fifita,,,,Sharks,79:36,Cowboys vs Sharks,2016
2,Linebreak,Andrew Fifita,,,,Sharks,79:34,Cowboys vs Sharks,2016
3,Penalty - Leg Pull,Johnathan Thurston,,,,Cowboys,79:10,Cowboys vs Sharks,2016
4,Error,Kyle Feldt,,,,Cowboys,78:24,Cowboys vs Sharks,2016
5,Interchange - Sin Bin Return,James Maloney,,,,Sharks,77:56,Cowboys vs Sharks,2016
6,Error,James Maloney,,,,Sharks,77:56,Cowboys vs Sharks,2016
7,Kick Bomb,Johnathan Thurston,,,,Cowboys,77:35,Cowboys vs Sharks,2016
8,Conversion-Made,Johnathan Thurston,,,20-14,Cowboys,74:49,Cowboys vs Sharks,2016
9,Video Referee,Try,,,,Cowboys,73:43,Cowboys vs Sharks,2016
10,Try,Ethan Lowe,,,18-14,Cowboys,73:39,Cowboys vs Sharks,2016
11,Linebreak,Ethan Lowe,,,,Cowboys,73:37,Cowboys vs Sharks,2016
12,Drop Goal-Missed,Johnathan Thurston,,,,Cowboys,72:46,Cowboys vs Sharks,2016
13,Interchange,,                   Scott Bolton,                   James Tamou,,Cowboys,70:00,Cowboys vs Sharks,2016
14,Error,Gavin Cooper,,,,Cowboys,69:54,Cowboys vs Sharks,2016
15,Error,Andrew Fifita,,,,Sharks,68:56,Cowboys vs Sharks,2016
16,Interchange,,                   David Fifita,                   Matt Prior,,Sharks,67:13,Cowboys vs Sharks,2016
17,Drop Goal-Missed,James Maloney,,,,Sharks,66:57,Cowboys vs Sharks,2016
18,Error,Michael Ennis,,,,Sharks,64:24,Cowboys vs Sharks,2016
19,Interchange,,                   Paul Gallen,                   Jayson Bukuya,,Sharks,63:19,Cowboys vs Sharks,2016
20,Kick Bomb,Lachlan Coote,,,,Cowboys,62:06,Cowboys vs Sharks,2016
21,Kick Bomb,Chad Townsend,,,,Sharks,61:17,Cowboys vs Sharks,2016
22,Interchange - HIA Cleared,,                   Jayson Bukuya,                   Luke Lewis,,Sharks,60:11,Cowboys vs Sharks,2016
23,Penalty Shot-Made,James Maloney,,,14-14,Sharks,59:39,Cowboys vs Sharks,2016
24,Penalty - 2nd Effort,Jake Granville,,,,Cowboys,58:23,Cowboys vs Sharks,2016
25,Interchange - HIA,,                   Antonio Winterstein,                   Jake Granville,,Cowboys,57:54,Cowboys vs Sharks,2016
26,Penalty - Offside Downtown,Gavin Cooper,,,,Cowboys,57:23,Cowboys vs Sharks,2016
27,Interchange,,                   John Asiata,                   Jason Taumalolo,,Cowboys,56:56,Cowboys vs Sharks,2016
28,Penalty - Slow Peel,Andrew Fifita,,,,Sharks,55:54,Cowboys vs Sharks,2016
29,Interchange,,                   Chris Heighington,                   Andrew Fifita,,Sharks,55:01,Cowboys vs Sharks,2016
30,Interchange,,                   Ben Hannant,                   Matthew Scott,,Cowboys,55:01,Cowboys vs Sharks,2016
31,Error,Valentine Holmes,,,,Sharks,53:34,Cowboys vs Sharks,2016
32,Kick Bomb,Chad Townsend,,,,Sharks,53:29,Cowboys vs Sharks,2016
33,Kick Bomb,Lachlan Coote,,,,Cowboys,52:39,Cowboys vs Sharks,2016
34,Conversion-Made,James Maloney,,,14-12,Sharks,49:52,Cowboys vs Sharks,2016
35,Interchange,,                   Sam Tagataese,                   David Fifita,,Sharks,48:41,Cowboys vs Sharks,2016
36,Video Referee,Try,,,,Sharks,48:38,Cowboys vs Sharks,2016
37,Try,Jack Bird,,,14-10,Sharks,48:36,Cowboys vs Sharks,2016
38,Linebreak,Jack Bird,,,,Sharks,48:36,Cowboys vs Sharks,2016
39,Interchange,,                   Jake Granville,                   Rory Kostjasyn,,Cowboys,48:00,Cowboys vs Sharks,2016
40,Interchange - HIA,,                   Luke Lewis,                   Paul Gallen,,Sharks,47:40,Cowboys vs Sharks,2016
41,Penalty - Hand in the Ruck,Jake Granville,,,,Cowboys,47:31,Cowboys vs Sharks,2016
42,Error,Sosaia Feki,,,,Sharks,45:38,Cowboys vs Sharks,2016
43,Interchange - Sin Bin Return,Scott Bolton,,,,Cowboys,44:28,Cowboys vs Sharks,2016
44,Error,Scott Bolton,,,,Cowboys,44:28,Cowboys vs Sharks,2016
45,Penalty Shot-Made,Johnathan Thurston,,,14-6,Cowboys,43:25,Cowboys vs Sharks,2016
46,Penalty - Offside inside 10m,Michael Ennis,,,,Sharks,41:58,Cowboys vs Sharks,2016
47,Penalty - Leg Pull,Wade Graham,,,,Sharks,40:40,Cowboys vs Sharks,2016
48,Kick Bomb,James Maloney,,,,Sharks,39:51,Cowboys vs Sharks,2016
49,Conversion-Made,James Maloney,,,12-6,Sharks,38:15,Cowboys vs Sharks,2016
50,Video Referee,Try,,,,Sharks,37:26,Cowboys vs Sharks,2016
51,Try,Chad Townsend,,,12-4,Sharks,37:19,Cowboys vs Sharks,2016
52,Error,Lachlan Coote,,,,Cowboys,37:16,Cowboys vs Sharks,2016
53,Interchange - Sin Bin Return,Lachlan Coote,,,,Cowboys,37:15,Cowboys vs Sharks,2016
54,Kick Bomb,Chad Townsend,,,,Sharks,37:11,Cowboys vs Sharks,2016
55,Line Dropout,James Maloney,,,,Sharks,33:25,Cowboys vs Sharks,2016
56,Error,Sam Tagataese,,,,Sharks,31:21,Cowboys vs Sharks,2016
57,Interchange,,                   Paul Gallen,                   Jayson Bukuya,,Sharks,31:12,Cowboys vs Sharks,2016
58,Error,John Asiata,,,,Cowboys,30:52,Cowboys vs Sharks,2016
59,Interchange,,                   James Tamou,                   John Asiata,,Cowboys,30:36,Cowboys vs Sharks,2016
60,Error,Luke Lewis,,,,Sharks,29:36,Cowboys vs Sharks,2016
61,Penalty - 2nd Effort,Scott Bolton,,,,Cowboys,28:37,Cowboys vs Sharks,2016
62,Error,Michael Morgan,,,,Cowboys,27:22,Cowboys vs Sharks,2016
63,Penalty - Dangerous Tackle,Chris Heighington,,,,Sharks,26:22,Cowboys vs Sharks,2016
64,Line Dropout,James Maloney,,,,Sharks,26:13,Cowboys vs Sharks,2016
65,Interchange,,,,,Cowboys,25:03,Cowboys vs Sharks,2016
66,Interchange,,                   Jason Taumalolo,                   Ben Hannant,,Cowboys,24:55,Cowboys vs Sharks,2016
67,Penalty - Offside Downtown,Chad Townsend,,,,Sharks,24:11,Cowboys vs Sharks,2016
68,Kick Bomb,James Maloney,,,,Sharks,24:05,Cowboys vs Sharks,2016
69,Interchange,,                   Andrew Fifita,                   Sam Tagataese,,Sharks,23:44,Cowboys vs Sharks,2016
70,Kick Bomb,Johnathan Thurston,,,,Cowboys,23:18,Cowboys vs Sharks,2016
71,Conversion-Made,Johnathan Thurston,,,12-0,Cowboys,21:54,Cowboys vs Sharks,2016
72,Interchange,,                   Matt Prior,                   Chris Heighington,,Sharks,20:41,Cowboys vs Sharks,2016
73,Try,Kane Linnett,,,10-0,Cowboys,20:12,Cowboys vs Sharks,2016
74,Linebreak,Kane Linnett,,,,Cowboys,20:12,Cowboys vs Sharks,2016
75,Penalty - Dangerous Tackle,James Maloney,,,,Sharks,19:21,Cowboys vs Sharks,2016
76,Penalty - Dangerous Tackle,Wade Graham,,,,Sharks,18:24,Cowboys vs Sharks,2016
77,Conversion-Made,Johnathan Thurston,,,6-0,Cowboys,17:05,Cowboys vs Sharks,2016
78,Video Referee,Try,,,,Cowboys,15:52,Cowboys vs Sharks,2016
79,Try,Justin O'Neill,,,4-0,Cowboys,15:48,Cowboys vs Sharks,2016
80,Kick Bomb,Chad Townsend,,,,Sharks,14:40,Cowboys vs Sharks,2016
81,Error,Jason Taumalolo,,,,Cowboys,13:38,Cowboys vs Sharks,2016
82,Penalty - Marker Not Square,Andrew Fifita,,,,Sharks,12:50,Cowboys vs Sharks,2016
83,Error,Matt Prior,,,,Sharks,12:27,Cowboys vs Sharks,2016
84,Line Dropout,Kyle Feldt,,,,Cowboys,12:06,Cowboys vs Sharks,2016
85,Error,Kane Linnett,,,,Cowboys,10:34,Cowboys vs Sharks,2016
86,Error,Valentine Holmes,,,,Sharks,10:27,Cowboys vs Sharks,2016
87,Line Dropout,Kyle Feldt,,,,Cowboys,08:42,Cowboys vs Sharks,2016
88,Kick Bomb,James Maloney,,,,Sharks,07:55,Cowboys vs Sharks,2016
89,Penalty - Marker Not Square,Jason Taumalolo,,,,Cowboys,06:36,Cowboys vs Sharks,2016
90,Kick Bomb,Lachlan Coote,,,,Cowboys,06:12,Cowboys vs Sharks,2016
91,Error,Chad Townsend,,,,Sharks,04:35,Cowboys vs Sharks,2016
92,Penalty - Ball Strip,Justin O'Neill,,,,Cowboys,01:38,Cowboys vs Sharks,2016
93,KICK OFF,,,,,,00:00,Cowboys vs Sharks,2016
